"Four-Year Graduation Rates, 2014-15"
"All Districts, All Schools, High Needs"

"",,,,"Graduates",,"Non-Graduates",,,
"District","School","High Needs","Four-Year Cohort Count","Graduation Count","Graduation Rate","Still Enrolled Count","Still Enrolled Rate","Other Count","Other Rate"
"Amistad Academy District","Amistad Academy","All Students",29,24,82.8,"*","*","*","*"
"Amistad Academy District","Amistad Academy","Asian","*","*","*","*","*","*","*"
"Amistad Academy District","Amistad Academy","Black",21,18,85.7,"*","*","*","*"
"Amistad Academy District","Amistad Academy","ELL","*","*","*","*","*","*","*"
"Amistad Academy District","Amistad Academy","Eligible For Free Lunch",22,18,81.8,"*","*","*","*"
"Amistad Academy District","Amistad Academy","Eligible For Lunch",26,21,80.8,"*","*","*","*"
"Amistad Academy District","Amistad Academy","Eligible For Reduced Lunch","*","*","*","*","*","*","*"
"Amistad Academy District","Amistad Academy","Female",16,14,87.5,"*","*","*","*"
"Amistad Academy District","Amistad Academy","Hawaiian or Pacific Islander","*","*","*","*","*","*","*"
"Amistad Academy District","Amistad Academy","High Needs",26,21,80.8,"*","*","*","*"
"Amistad Academy District","Amistad Academy","Hispanic",8,6,75.0,"*","*","*","*"
"Amistad Academy District","Amistad Academy","Indian or Alaska Native","*","*","*","*","*","*","*"
"Amistad Academy District","Amistad Academy","Male",13,10,76.9,"*","*","*","*"
"Amistad Academy District","Amistad Academy","Non-ELL",27,24,88.9,"*","*","*","*"
"Amistad Academy District","Amistad Academy","Non-High Needs","*","*","*","*","*","*","*"
"Amistad Academy District","Amistad Academy","Non-Hispanic",21,18,85.7,"*","*","*","*"
"Amistad Academy District","Amistad Academy","Non-Special Education",28,23,82.1,"*","*","*","*"
"Amistad Academy District","Amistad Academy","Not Eligible For Lunch","*","*","*","*","*","*","*"
"Amistad Academy District","Amistad Academy","Special Education","*","*","*","*","*","*","*"
"Amistad Academy District","Amistad Academy","Two or More Races","*","*","*","*","*","*","*"
"Amistad Academy District","Amistad Academy","White","*","*","*","*","*","*","*"
"Ansonia School District","Ansonia High School","All Students",153,136,88.9,11,7.2,6,3.9
"Ansonia School District","Ansonia High School","Asian","*","*","*","*","*","*","*"
"Ansonia School District","Ansonia High School","Black",28,27,96.4,"*","*","*","*"
"Ansonia School District","Ansonia High School","ELL","*","*","*","*","*","*","*"
