"Four-Year Graduation Rates, 2013-14"
"All Districts, All Schools, Special Education"

"",,,,"Graduates",,"Non-Graduates",,,
"District","School","Special Education","Four-Year Cohort Count","Graduation Count","Graduation Rate","Still Enrolled Count","Still Enrolled Rate","Other Count","Other Rate"
"Amistad Academy District","Amistad Academy","All Students",23,19,82.6,"*","*","*","*"
"Amistad Academy District","Amistad Academy","Black",17,15,88.2,"*","*","*","*"
"Amistad Academy District","Amistad Academy","Eligible For Free Lunch",18,15,83.3,"*","*","*","*"
"Amistad Academy District","Amistad Academy","Eligible For Lunch",21,17,81.0,"*","*","*","*"
"Amistad Academy District","Amistad Academy","Eligible For Reduced Lunch","*","*","*","*","*","*","*"
"Amistad Academy District","Amistad Academy","Female",15,12,80.0,"*","*","*","*"
"Amistad Academy District","Amistad Academy","High Needs",21,17,81.0,"*","*","*","*"
"Amistad Academy District","Amistad Academy","Hispanic","*","*","*","*","*","*","*"
"Amistad Academy District","Amistad Academy","Indian or Alaska Native","*","*","*","*","*","*","*"
"Amistad Academy District","Amistad Academy","Male",8,7,87.5,"*","*","*","*"
"Amistad Academy District","Amistad Academy","Non-ELL",23,19,82.6,"*","*","*","*"
"Amistad Academy District","Amistad Academy","Non-High Needs","*","*","*","*","*","*","*"
"Amistad Academy District","Amistad Academy","Non-Hispanic",18,15,83.3,"*","*","*","*"
"Amistad Academy District","Amistad Academy","Non-Special Education",22,18,81.8,"*","*","*","*"
"Amistad Academy District","Amistad Academy","Not Eligible For Lunch","*","*","*","*","*","*","*"
"Amistad Academy District","Amistad Academy","Special Education","*","*","*","*","*","*","*"
"Ansonia School District","Ansonia High School","All Students",150,120,80.0,"*","*",27,18.0
"Ansonia School District","Ansonia High School","Black",35,25,71.4,"*","*",9,25.7
"Ansonia School District","Ansonia High School","Eligible For Free Lunch",83,59,71.1,"*","*",22,26.5
"Ansonia School District","Ansonia High School","Eligible For Lunch",105,79,75.2,"*","*",23,21.9
"Ansonia School District","Ansonia High School","Eligible For Reduced Lunch",22,20,90.9,"*","*","*","*"
"Ansonia School District","Ansonia High School","Female",72,58,80.6,"*","*",12,16.7
"Ansonia School District","Ansonia High School","High Needs",106,80,75.5,"*","*",23,21.7
"Ansonia School District","Ansonia High School","Hispanic",43,34,79.1,"*","*",8,18.6
"Ansonia School District","Ansonia High School","Male",78,62,79.5,"*","*",15,19.2
"Ansonia School District","Ansonia High School","Non-ELL",147,118,80.3,"*","*",26,17.7
"Ansonia School District","Ansonia High School","Non-High Needs",44,40,90.9,"*","*","*","*"
"Ansonia School District","Ansonia High School","Non-Hispanic",107,86,80.4,"*","*",19,17.8
"Ansonia School District","Ansonia High School","Non-Special Education",134,111,82.8,"*","*",22,16.4
"Ansonia School District","Ansonia High School","Not Eligible For Lunch",45,41,91.1,"*","*","*","*"
"Ansonia School District","Ansonia High School","Special Education",16,9,56.3,"*","*","*","*"
"Ansonia School District","Ansonia High School","ELL","*","*","*","*","*","*","*"
"Ansonia School District","Ansonia High School","Two or More Races","*","*","*","*","*","*","*"
"Ansonia School District","Ansonia High School","White",71,60,84.5,"*","*",10,14.1
"Avon School District","Avon High School","All Students",269,265,98.5,"*","*","*","*"
"Avon School District","Avon High School","Black","*","*","*","*","*","*","*"
"Avon School District","Avon High School","Eligible For Free Lunch",16,16,100.0,"*","*","*","*"
"Avon School District","Avon High School","Eligible For Lunch",21,21,100.0,"*","*","*","*"
"Avon School District","Avon High School","Eligible For Reduced Lunch","*","*","*","*","*","*","*"
"Avon School District","Avon High School","Female",147,147,100.0,"*","*","*","*"
"Avon School District","Avon High School","High Needs",41,39,95.1,"*","*","*","*"
"Avon School District","Avon High School","Hispanic",9,9,100.0,"*","*","*","*"
"Avon School District","Avon High School","Male",122,118,96.7,"*","*","*","*"
"Avon School District","Avon High School","Non-ELL",269,265,98.5,"*","*","*","*"
"Avon School District","Avon High School","Non-High Needs",228,226,99.1,"*","*","*","*"
"Avon School District","Avon High School","Non-Hispanic",260,256,98.5,"*","*","*","*"
"Avon School District","Avon High School","Non-Special Education",244,242,99.2,"*","*","*","*"
"Avon School District","Avon High School","Not Eligible For Lunch",248,244,98.4,"*","*","*","*"
"Avon School District","Avon High School","Special Education",25,23,92.0,"*","*","*","*"
