"Four-Year Graduation Rates, 2010-11"
"All Districts, All Schools, High Needs"

"",,,,"Graduates",,"Non-Graduates",,,
"District","School","High Needs","Four-Year Cohort Count","Graduation Count","Graduation Rate","Still Enrolled Count","Still Enrolled Rate","Other Count","Other Rate"
"Amistad Academy District","Amistad Academy","All Students",29,17,58.6,"*","*",9,31.0
"Amistad Academy District","Amistad Academy","Black",15,9,60.0,"*","*","*","*"
"Amistad Academy District","Amistad Academy","Eligible For Free Lunch","*","*","*","*","*","*","*"
"Amistad Academy District","Amistad Academy","Eligible For Lunch",16,8,50.0,"*","*","*","*"
"Amistad Academy District","Amistad Academy","Eligible For Reduced Lunch","*","*","*","*","*","*","*"
"Amistad Academy District","Amistad Academy","Female",17,11,64.7,"*","*","*","*"
"Amistad Academy District","Amistad Academy","High Needs",16,8,50.0,"*","*","*","*"
"Amistad Academy District","Amistad Academy","Hispanic",14,8,57.1,"*","*","*","*"
"Amistad Academy District","Amistad Academy","Male",12,6,50.0,"*","*","*","*"
"Amistad Academy District","Amistad Academy","Non-ELL",29,17,58.6,"*","*",9,31.0
"Amistad Academy District","Amistad Academy","Non-High Needs",13,9,69.2,"*","*","*","*"
"Amistad Academy District","Amistad Academy","Non-Hispanic",15,9,60.0,"*","*","*","*"
"Amistad Academy District","Amistad Academy","Non-Special Education",29,17,58.6,"*","*",9,31.0
"Amistad Academy District","Amistad Academy","Not Eligible For Lunch",13,9,69.2,"*","*","*","*"
"Ansonia School District","Ansonia High School","All Students",183,129,70.5,21,11.5,33,18.0
"Ansonia School District","Ansonia High School","Black",50,37,74.0,"*","*",9,18.0
"Ansonia School District","Ansonia High School","Eligible For Free Lunch",87,48,55.2,15,17.2,24,27.6
"Ansonia School District","Ansonia High School","Eligible For Lunch",95,54,56.8,17,17.9,24,25.3
"Ansonia School District","Ansonia High School","Eligible For Reduced Lunch",8,6,75.0,"*","*","*","*"
"Ansonia School District","Ansonia High School","Female",93,68,73.1,8,8.6,17,18.3
"Ansonia School District","Ansonia High School","High Needs",99,57,57.6,18,18.2,24,24.2
"Ansonia School District","Ansonia High School","Hispanic",39,23,59.0,8,20.5,8,20.5
"Ansonia School District","Ansonia High School","Male",90,61,67.8,13,14.4,16,17.8
"Ansonia School District","Ansonia High School","Non-ELL",179,126,70.4,20,11.2,33,18.4
"Ansonia School District","Ansonia High School","Non-High Needs",84,72,85.7,"*","*",9,10.7
"Ansonia School District","Ansonia High School","Non-Hispanic",144,106,73.6,13,9.0,25,17.4
"Ansonia School District","Ansonia High School","Non-Special Education",165,121,73.3,15,9.1,29,17.6
"Ansonia School District","Ansonia High School","Not Eligible For Lunch",88,75,85.2,"*","*",9,10.2
"Ansonia School District","Ansonia High School","Asian","*","*","*","*","*","*","*"
"Ansonia School District","Ansonia High School","ELL","*","*","*","*","*","*","*"
"Ansonia School District","Ansonia High School","Indian or Alaska Native","*","*","*","*","*","*","*"
"Ansonia School District","Ansonia High School","Special Education",18,8,44.4,6,33.3,"*","*"
"Ansonia School District","Ansonia High School","White",88,66,75.0,8,9.1,14,15.9
"Avon School District","Avon High School","All Students",254,243,95.7,9,3.5,"*","*"
"Avon School District","Avon High School","Black",8,7,87.5,"*","*","*","*"
"Avon School District","Avon High School","Eligible For Free Lunch","*","*","*","*","*","*","*"
"Avon School District","Avon High School","Eligible For Lunch",6,6,100.0,"*","*","*","*"
"Avon School District","Avon High School","Eligible For Reduced Lunch","*","*","*","*","*","*","*"
"Avon School District","Avon High School","Female",136,133,97.8,"*","*","*","*"
"Avon School District","Avon High School","High Needs",32,27,84.4,"*","*","*","*"
"Avon School District","Avon High School","Hispanic",14,13,92.9,"*","*","*","*"
"Avon School District","Avon High School","Male",118,110,93.2,7,5.9,"*","*"
"Avon School District","Avon High School","Non-ELL",253,243,96.0,9,3.6,"*","*"
"Avon School District","Avon High School","Non-High Needs",222,216,97.3,"*","*","*","*"
"Avon School District","Avon High School","Non-Hispanic",240,230,95.8,8,3.3,"*","*"
"Avon School District","Avon High School","Non-Special Education",229,222,96.9,"*","*","*","*"
"Avon School District","Avon High School","Not Eligible For Lunch",248,237,95.6,9,3.6,"*","*"
"Avon School District","Avon High School","Asian",19,18,94.7,"*","*","*","*"
"Avon School District","Avon High School","ELL","*","*","*","*","*","*","*"
"Avon School District","Avon High School","Indian or Alaska Native","*","*","*","*","*","*","*"
"Avon School District","Avon High School","Special Education",25,21,84.0,"*","*","*","*"
"Avon School District","Avon High School","White",212,204,96.2,7,3.3,"*","*"
"Berlin School District","Berlin High School","All Students",260,244,93.8,"*","*",13,5.0
"Berlin School District","Berlin High School","Black","*","*","*","*","*","*","*"
"Berlin School District","Berlin High School","Eligible For Free Lunch",8,"*","*","*","*","*","*"
"Berlin School District","Berlin High School","Eligible For Lunch",14,9,64.3,"*","*","*","*"
"Berlin School District","Berlin High School","Eligible For Reduced Lunch",6,6,100.0,"*","*","*","*"
"Berlin School District","Berlin High School","Female",124,116,93.5,"*","*",6,4.8
"Berlin School District","Berlin High School","High Needs",43,37,86.0,"*","*",6,14.0
"Berlin School District","Berlin High School","Hispanic",6,"*","*","*","*","*","*"
"Berlin School District","Berlin High School","Male",136,128,94.1,"*","*",7,5.1
"Berlin School District","Berlin High School","Non-ELL",256,240,93.8,"*","*",13,5.1
"Berlin School District","Berlin High School","Non-High Needs",217,207,95.4,"*","*",7,3.2
"Berlin School District","Berlin High School","Non-Hispanic",254,239,94.1,"*","*",12,4.7
"Berlin School District","Berlin High School","Non-Special Education",232,219,94.4,"*","*",10,4.3
"Berlin School District","Berlin High School","Not Eligible For Lunch",246,235,95.5,"*","*",8,3.3
"Berlin School District","Berlin High School","Asian",9,9,100.0,"*","*","*","*"
"Berlin School District","Berlin High School","ELL","*","*","*","*","*","*","*"
"Berlin School District","Berlin High School","Indian or Alaska Native","*","*","*","*","*","*","*"
"Berlin School District","Berlin High School","Special Education",28,25,89.3,"*","*","*","*"
"Berlin School District","Berlin High School","White",243,228,93.8,"*","*",12,4.9
"Bethel School District","Bethel High School","All Students",245,231,94.3,10,4.1,"*","*"
"Bethel School District","Bethel High School","Black","*","*","*","*","*","*","*"
"Bethel School District","Bethel High School","Eligible For Free Lunch",12,9,75.0,"*","*","*","*"
"Bethel School District","Bethel High School","Eligible For Lunch",19,16,84.2,"*","*","*","*"
"Bethel School District","Bethel High School","Eligible For Reduced Lunch",7,7,100.0,"*","*","*","*"
"Bethel School District","Bethel High School","Female",131,127,96.9,"*","*","*","*"
"Bethel School District","Bethel High School","High Needs",42,33,78.6,8,19.0,"*","*"
"Bethel School District","Bethel High School","Hispanic",21,19,90.5,"*","*","*","*"
"Bethel School District","Bethel High School","Male",114,104,91.2,9,7.9,"*","*"
"Bethel School District","Bethel High School","Non-ELL",243,229,94.2,10,4.1,"*","*"
"Bethel School District","Bethel High School","Non-High Needs",203,198,97.5,"*","*","*","*"
"Bethel School District","Bethel High School","Non-Hispanic",224,212,94.6,8,3.6,"*","*"
"Bethel School District","Bethel High School","Non-Special Education",221,215,97.3,"*","*","*","*"
