"Four-Year Graduation Rates, 2012-13"
"All Districts, All Schools, All Students"

"",,,"Graduates",,"Non-Graduates",,,
"District","School","Four-Year Cohort Count","Graduation Count","Graduation Rate","Still Enrolled Count","Still Enrolled Rate","Other Count","Other Rate"
"Amistad Academy District","Amistad Academy",23,16,69.6,"*","*","*","*"
"Ansonia School District","Ansonia High School",209,159,76.1,23,11.0,27,12.9
"Avon School District","Avon High School",261,252,96.6,"*","*","*","*"
"Berlin School District","Berlin High School",262,252,96.2,"*","*","*","*"
"Bethel School District","Bethel High School",233,217,93.1,"*","*","*","*"
"Bloomfield School District","Bloomfield High School",125,114,91.2,6,4.8,"*","*"
"Bloomfield School District","Global Experience Magnet School",30,"*","*","*","*","*","*"
"Bloomfield School District","Learning Academy at Bloomfield",8,"*","*","*","*","*","*"
"Bolton School District","Bolton High School",80,78,97.5,"*","*","*","*"
"Branford School District","Branford High School",269,250,92.9,7,2.6,12,4.5
"Bridgeport School District","Bassick High School",316,187,59.2,60,19.0,69,21.8
"Bridgeport School District","Central High School",541,420,77.6,46,8.5,75,13.9
"Bridgeport School District","Harding High School",335,204,60.9,17,5.1,114,34.0
"Bristol School District","Bristol Central High School",316,258,81.6,17,5.4,41,13.0
"Bristol School District","Bristol Eastern High School",303,247,81.5,26,8.6,30,9.9
"Brookfield School District","Brookfield High School",241,232,96.3,"*","*","*","*"
"Canton School District","Canton High School",123,117,95.1,"*","*","*","*"
"Capitol Region Education Council","Academy of Aerospace and Engineering",38,33,86.8,"*","*","*","*"
"Capitol Region Education Council","Greater Hartford Academy of  the Arts High School - Full Time",87,72,82.8,"*","*",13,14.9
"Capitol Region Education Council","Metropolitan Learning Center for Global and International Studies",91,86,94.5,"*","*","*","*"
"Cheshire School District","Cheshire High School",356,347,97.5,"*","*","*","*"
"Clinton School District","The Morgan School",143,128,89.5,8,5.6,7,4.9
"Colchester School District","Bacon Academy",250,235,94.0,"*","*","*","*"
"Common Ground High School District","Common Ground High School",38,34,89.5,"*","*","*","*"
"Connecticut Technical High School System","A. I. Prince Technical High School",172,152,88.4,"*","*",20,11.6
"Connecticut Technical High School System","Bullard-Havens Technical High School",196,189,96.4,"*","*",6,3.1
"Connecticut Technical High School System","E. C. Goodwin Technical High School",132,126,95.5,"*","*",6,4.5
"Connecticut Technical High School System","Eli Whitney Technical High School",120,100,83.3,"*","*",16,13.3
"Connecticut Technical High School System","Ella T. Grasso Southeastern Technical High School",147,144,98.0,"*","*","*","*"
