"Four-Year Graduation Rates, 2011-12"
"All Districts, All Schools, Free/Reduced Price Meal Eligibility"

"",,,,"Graduates",,"Non-Graduates",,,
"District","School","Free/Reduced Price Meal Eligibility","Four-Year Cohort Count","Graduation Count","Graduation Rate","Still Enrolled Count","Still Enrolled Rate","Other Count","Other Rate"
"Amistad Academy District","Amistad Academy","Eligible For Free Lunch",14,10,71.4,"*","*","*","*"
"Amistad Academy District","Amistad Academy","Eligible For Reduced Lunch","*","*","*","*","*","*","*"
"Amistad Academy District","Amistad Academy","Not Eligible For Lunch","*","*","*","*","*","*","*"
"Ansonia School District","Ansonia High School","Eligible For Free Lunch",86,56,65.1,6,7.0,24,27.9
"Ansonia School District","Ansonia High School","Eligible For Reduced Lunch",45,35,77.8,"*","*",6,13.3
"Ansonia School District","Ansonia High School","Not Eligible For Lunch",73,65,89.0,"*","*",6,8.2
"Avon School District","Avon High School","Eligible For Free Lunch","*","*","*","*","*","*","*"
"Avon School District","Avon High School","Eligible For Reduced Lunch","*","*","*","*","*","*","*"
"Avon School District","Avon High School","Not Eligible For Lunch",273,265,97.1,"*","*","*","*"
"Berlin School District","Berlin High School","Eligible For Free Lunch",21,19,90.5,"*","*","*","*"
"Berlin School District","Berlin High School","Eligible For Reduced Lunch",9,8,88.9,"*","*","*","*"
"Berlin School District","Berlin High School","Not Eligible For Lunch",231,222,96.1,"*","*",6,2.6
"Bethel School District","Bethel High School","Eligible For Free Lunch",21,18,85.7,"*","*","*","*"
"Bethel School District","Bethel High School","Eligible For Reduced Lunch",15,15,100.0,"*","*","*","*"
"Bethel School District","Bethel High School","Not Eligible For Lunch",201,192,95.5,"*","*","*","*"
"Bloomfield School District","Bloomfield High School","Eligible For Free Lunch",71,50,70.4,14,19.7,7,9.9
"Bloomfield School District","Bloomfield High School","Eligible For Reduced Lunch",23,21,91.3,"*","*","*","*"
"Bloomfield School District","Bloomfield High School","Not Eligible For Lunch",74,69,93.2,"*","*","*","*"
"Bloomfield School District","The Big Picture High School","Eligible For Free Lunch",8,6,75.0,"*","*","*","*"
"Bloomfield School District","The Big Picture High School","Eligible For Reduced Lunch","*","*","*","*","*","*","*"
"Bloomfield School District","The Big Picture High School","Not Eligible For Lunch","*","*","*","*","*","*","*"
"Bolton School District","Bolton High School","Eligible For Free Lunch","*","*","*","*","*","*","*"
"Bolton School District","Bolton High School","Eligible For Reduced Lunch","*","*","*","*","*","*","*"
"Bolton School District","Bolton High School","Not Eligible For Lunch",65,63,96.9,"*","*","*","*"
"Branford School District","Branford High School","Eligible For Free Lunch",37,34,91.9,"*","*","*","*"
"Branford School District","Branford High School","Eligible For Reduced Lunch",21,20,95.2,"*","*","*","*"
"Branford School District","Branford High School","Not Eligible For Lunch",193,185,95.9,"*","*",7,3.6
"Bridgeport School District","Bassick High School","Eligible For Free Lunch",299,144,48.2,29,9.7,126,42.1
"Bridgeport School District","Bassick High School","Eligible For Reduced Lunch",8,"*","*","*","*","*","*"
"Bridgeport School District","Bassick High School","Not Eligible For Lunch","*","*","*","*","*","*","*"
"Bridgeport School District","Central High School","Eligible For Free Lunch",527,413,78.4,47,8.9,67,12.7
"Bridgeport School District","Central High School","Eligible For Reduced Lunch",41,32,78.0,"*","*","*","*"
"Bridgeport School District","Central High School","Not Eligible For Lunch","*","*","*","*","*","*","*"
"Bridgeport School District","Harding High School","Eligible For Free Lunch",337,220,65.3,20,5.9,97,28.8
"Bridgeport School District","Harding High School","Eligible For Reduced Lunch",18,15,83.3,"*","*","*","*"
"Bridgeport School District","Harding High School","Not Eligible For Lunch","*","*","*","*","*","*","*"
"Bristol School District","Bristol Central High School","Eligible For Free Lunch",100,71,71.0,11,11.0,18,18.0
"Bristol School District","Bristol Central High School","Eligible For Reduced Lunch",38,33,86.8,"*","*","*","*"
"Bristol School District","Bristol Central High School","Not Eligible For Lunch",194,182,93.8,7,3.6,"*","*"
"Bristol School District","Bristol Eastern High School","Eligible For Free Lunch",70,47,67.1,9,12.9,14,20.0
"Bristol School District","Bristol Eastern High School","Eligible For Reduced Lunch",29,25,86.2,"*","*","*","*"
"Bristol School District","Bristol Eastern High School","Not Eligible For Lunch",191,178,93.2,"*","*",9,4.7
"Brookfield School District","Brookfield High School","Eligible For Free Lunch","*","*","*","*","*","*","*"
"Brookfield School District","Brookfield High School","Eligible For Reduced Lunch","*","*","*","*","*","*","*"
"Brookfield School District","Brookfield High School","Not Eligible For Lunch",238,232,97.5,6,2.5,"*","*"
"Canton School District","Canton High School","Eligible For Free Lunch",7,6,85.7,"*","*","*","*"
"Canton School District","Canton High School","Not Eligible For Lunch",111,109,98.2,"*","*","*","*"
"Capitol Region Education Council","Great Path Academy at MCC","Eligible For Free Lunch",39,30,76.9,"*","*",9,23.1
"Capitol Region Education Council","Great Path Academy at MCC","Eligible For Reduced Lunch",11,10,90.9,"*","*","*","*"
"Capitol Region Education Council","Great Path Academy at MCC","Not Eligible For Lunch",29,24,82.8,"*","*","*","*"
"Capitol Region Education Council","Greater Hartford Academy of  the Arts High School - Full Time","Eligible For Free Lunch",46,40,87.0,"*","*","*","*"
"Capitol Region Education Council","Greater Hartford Academy of  the Arts High School - Full Time","Eligible For Reduced Lunch",12,12,100.0,"*","*","*","*"
"Capitol Region Education Council","Greater Hartford Academy of  the Arts High School - Full Time","Not Eligible For Lunch",41,35,85.4,"*","*",6,14.6
"Capitol Region Education Council","Metropolitan Learning Center for Global and International Studies","Eligible For Free Lunch",20,17,85.0,"*","*","*","*"
"Capitol Region Education Council","Metropolitan Learning Center for Global and International Studies","Eligible For Reduced Lunch",23,21,91.3,"*","*","*","*"
"Capitol Region Education Council","Metropolitan Learning Center for Global and International Studies","Not Eligible For Lunch",33,33,100.0,"*","*","*","*"
"Cheshire School District","Cheshire High School","Eligible For Free Lunch",19,18,94.7,"*","*","*","*"
"Cheshire School District","Cheshire High School","Eligible For Reduced Lunch",22,22,100.0,"*","*","*","*"
"Cheshire School District","Cheshire High School","Not Eligible For Lunch",354,349,98.6,"*","*","*","*"
"Clinton School District","The Morgan School","Eligible For Free Lunch","*","*","*","*","*","*","*"
"Clinton School District","The Morgan School","Eligible For Reduced Lunch","*","*","*","*","*","*","*"
"Clinton School District","The Morgan School","Not Eligible For Lunch",108,99,91.7,"*","*",8,7.4
"Colchester School District","Bacon Academy","Eligible For Free Lunch",23,20,87.0,"*","*","*","*"
"Colchester School District","Bacon Academy","Eligible For Reduced Lunch",15,15,100.0,"*","*","*","*"
"Colchester School District","Bacon Academy","Not Eligible For Lunch",206,196,95.1,7,3.4,"*","*"
"Common Ground High School District","Common Ground High School","Eligible For Free Lunch",17,14,82.4,"*","*","*","*"
"Common Ground High School District","Common Ground High School","Eligible For Reduced Lunch",8,8,100.0,"*","*","*","*"
"Common Ground High School District","Common Ground High School","Not Eligible For Lunch",6,6,100.0,"*","*","*","*"
"Connecticut Technical High School System","A. I. Prince Technical High School","Eligible For Free Lunch",117,110,94.0,"*","*",6,5.1
"Connecticut Technical High School System","A. I. Prince Technical High School","Eligible For Reduced Lunch",28,25,89.3,"*","*","*","*"
"Connecticut Technical High School System","A. I. Prince Technical High School","Not Eligible For Lunch",23,21,91.3,"*","*","*","*"
"Connecticut Technical High School System","Bullard-Havens Technical High School","Eligible For Free Lunch",120,113,94.2,"*","*",7,5.8
"Connecticut Technical High School System","Bullard-Havens Technical High School","Eligible For Reduced Lunch",51,47,92.2,"*","*","*","*"
"Connecticut Technical High School System","Bullard-Havens Technical High School","Not Eligible For Lunch",35,35,100.0,"*","*","*","*"
"Connecticut Technical High School System","E. C. Goodwin Technical High School","Eligible For Free Lunch",78,71,91.0,"*","*",6,7.7
"Connecticut Technical High School System","E. C. Goodwin Technical High School","Eligible For Reduced Lunch",24,24,100.0,"*","*","*","*"
"Connecticut Technical High School System","E. C. Goodwin Technical High School","Not Eligible For Lunch",27,25,92.6,"*","*","*","*"
"Connecticut Technical High School System","Eli Whitney Technical High School","Eligible For Free Lunch",96,87,90.6,"*","*",9,9.4
"Connecticut Technical High School System","Eli Whitney Technical High School","Eligible For Reduced Lunch",22,22,100.0,"*","*","*","*"
"Connecticut Technical High School System","Eli Whitney Technical High School","Not Eligible For Lunch",7,6,85.7,"*","*","*","*"
"Connecticut Technical High School System","Ella T. Grasso Southeastern Technical High School","Eligible For Free Lunch",57,53,93.0,"*","*","*","*"
"Connecticut Technical High School System","Ella T. Grasso Southeastern Technical High School","Eligible For Reduced Lunch",23,20,87.0,"*","*","*","*"
