"Four-Year Graduation Rates, 2012-13"
"All Districts, All Schools, Free/Reduced Price Meal Eligibility"

"",,,,"Graduates",,"Non-Graduates",,,
"District","School","Free/Reduced Price Meal Eligibility","Four-Year Cohort Count","Graduation Count","Graduation Rate","Still Enrolled Count","Still Enrolled Rate","Other Count","Other Rate"
"Amistad Academy District","Amistad Academy","Eligible For Free Lunch",18,11,61.1,"*","*","*","*"
"Amistad Academy District","Amistad Academy","Eligible For Reduced Lunch","*","*","*","*","*","*","*"
"Amistad Academy District","Amistad Academy","Not Eligible For Lunch","*","*","*","*","*","*","*"
"Ansonia School District","Ansonia High School","Eligible For Free Lunch",107,70,65.4,13,12.1,24,22.4
"Ansonia School District","Ansonia High School","Eligible For Reduced Lunch",36,30,83.3,"*","*","*","*"
"Ansonia School District","Ansonia High School","Not Eligible For Lunch",66,59,89.4,"*","*","*","*"
"Avon School District","Avon High School","Eligible For Free Lunch","*","*","*","*","*","*","*"
"Avon School District","Avon High School","Eligible For Reduced Lunch","*","*","*","*","*","*","*"
"Avon School District","Avon High School","Not Eligible For Lunch",248,241,97.2,6,2.4,"*","*"
"Berlin School District","Berlin High School","Eligible For Free Lunch",25,20,80.0,"*","*","*","*"
"Berlin School District","Berlin High School","Eligible For Reduced Lunch",8,8,100.0,"*","*","*","*"
"Berlin School District","Berlin High School","Not Eligible For Lunch",229,224,97.8,"*","*","*","*"
"Bethel School District","Bethel High School","Eligible For Free Lunch",25,18,72.0,"*","*","*","*"
"Bethel School District","Bethel High School","Eligible For Reduced Lunch",15,13,86.7,"*","*","*","*"
"Bethel School District","Bethel High School","Not Eligible For Lunch",193,186,96.4,7,3.6,"*","*"
"Bloomfield School District","Bloomfield High School","Eligible For Free Lunch",50,42,84.0,"*","*","*","*"
"Bloomfield School District","Bloomfield High School","Eligible For Reduced Lunch",20,18,90.0,"*","*","*","*"
"Bloomfield School District","Bloomfield High School","Not Eligible For Lunch",55,54,98.2,"*","*","*","*"
"Bloomfield School District","Global Experience Magnet School","Eligible For Free Lunch",10,9,90.0,"*","*","*","*"
"Bloomfield School District","Global Experience Magnet School","Eligible For Reduced Lunch","*","*","*","*","*","*","*"
"Bloomfield School District","Global Experience Magnet School","Not Eligible For Lunch",14,14,100.0,"*","*","*","*"
"Bloomfield School District","Learning Academy at Bloomfield","Eligible For Free Lunch",7,"*","*","*","*","*","*"
