"Four-Year Graduation Rates, 2013-14"
"All Districts, All Schools, High Needs Status"

"",,,,"Graduates",,"Non-Graduates",,,
"District","School","High Needs Status","Four-Year Cohort Count","Graduation Count","Graduation Rate","Still Enrolled Count","Still Enrolled Rate","Other Count","Other Rate"
"Amistad Academy District","Amistad Academy","High Needs","*","*","*","*","*","*","*"
"Amistad Academy District","Amistad Academy","Non-High Needs","*","*","*","*","*","*","*"
"Ansonia School District","Ansonia High School","High Needs",106,80,75.5,"*","*","*","*"
"Ansonia School District","Ansonia High School","Non-High Needs",44,40,90.9,"*","*","*","*"
"Avon School District","Avon High School","High Needs",41,39,95.1,"*","*","*","*"
"Avon School District","Avon High School","Non-High Needs",228,226,99.1,"*","*","*","*"
"Berlin School District","Berlin High School","High Needs",61,52,85.2,"*","*","*","*"
"Berlin School District","Berlin High School","Non-High Needs",173,171,98.8,"*","*","*","*"
"Bethel School District","Bethel High School","High Needs",81,68,84.0,"*","*","*","*"
"Bethel School District","Bethel High School","Non-High Needs",163,158,96.9,"*","*","*","*"
"Bloomfield School District","Bloomfield High School","High Needs",95,86,90.5,"*","*","*","*"
"Bloomfield School District","Bloomfield High School","Non-High Needs",38,34,89.5,"*","*","*","*"
"Bloomfield School District","Global Experience Magnet School","High Needs",17,16,94.1,"*","*","*","*"
"Bloomfield School District","Global Experience Magnet School","Non-High Needs",9,9,100.0,"*","*","*","*"
"Bloomfield School District","Learning Academy at Bloomfield","High Needs","*","*","*","*","*","*","*"
"Bloomfield School District","Learning Academy at Bloomfield","Non-High Needs","*","*","*","*","*","*","*"
"Bolton School District","Bolton High School","High Needs",16,11,68.8,"*","*","*","*"
"Bolton School District","Bolton High School","Non-High Needs",85,85,100.0,"*","*","*","*"
"Branford School District","Branford High School","High Needs",105,90,85.7,"*","*",11,10.5
"Branford School District","Branford High School","Non-High Needs",187,181,96.8,"*","*",6,3.2
"Bridgeport School District","Bassick High School","High Needs",347,216,62.2,48,13.8,83,23.9
"Bridgeport School District","Central High School","High Needs",561,453,80.7,36,6.4,"*","*"
"Bridgeport School District","Central High School","Non-High Needs","*","*","*","*","*","*","*"
"Bridgeport School District","Harding High School","High Needs","*","*","*","*","*",75,24.6
"Bristol School District","Bristol Central High School","High Needs",160,115,71.9,19,11.9,26,16.3
"Bristol School District","Bristol Central High School","Non-High Needs",170,159,93.5,"*","*",7,4.1
"Bristol School District","Bristol Eastern High School","High Needs",164,123,75.0,20,12.2,21,12.8
"Bristol School District","Bristol Eastern High School","Non-High Needs",186,172,92.5,"*","*",7,3.8
"Brookfield School District","Brookfield High School","High Needs",45,41,91.1,"*","*","*","*"
"Brookfield School District","Brookfield High School","Non-High Needs",186,184,98.9,"*","*","*","*"
"Canton School District","Canton High School","High Needs",23,19,82.6,"*","*","*","*"
"Canton School District","Canton High School","Non-High Needs",112,109,97.3,"*","*","*","*"
"Capitol Region Education Council","Academy of Aerospace and Engineering","High Needs",16,"*","*","*","*","*","*"
"Capitol Region Education Council","Academy of Aerospace and Engineering","Non-High Needs",17,16,94.1,"*","*","*","*"
"Capitol Region Education Council","Greater Hartford Academy of  the Arts High School - Full Time","High Needs",61,50,82.0,"*","*",8,13.1
"Capitol Region Education Council","Greater Hartford Academy of  the Arts High School - Full Time","Non-High Needs",34,30,88.2,"*","*","*","*"
"Capitol Region Education Council","Medical Professions and Teacher Preparation Academy","High Needs",33,31,93.9,"*","*","*","*"
"Capitol Region Education Council","Medical Professions and Teacher Preparation Academy","Non-High Needs",13,12,92.3,"*","*","*","*"
"Capitol Region Education Council","Metropolitan Learning Center for Global and International Studies","High Needs",46,45,97.8,"*","*","*","*"
"Capitol Region Education Council","Metropolitan Learning Center for Global and International Studies","Non-High Needs",50,47,94.0,"*","*","*","*"
"Capitol Region Education Council","Public Safety Academy","High Needs",39,33,84.6,"*","*","*","*"
"Capitol Region Education Council","Public Safety Academy","Non-High Needs",6,"*","*","*","*","*","*"
"Cheshire School District","Cheshire High School","High Needs",74,69,93.2,"*","*","*","*"
"Cheshire School District","Cheshire High School","Non-High Needs",292,291,99.7,"*","*","*","*"
"Clinton School District","The Morgan School","High Needs",27,24,88.9,"*","*","*","*"
"Clinton School District","The Morgan School","Non-High Needs",101,97,96.0,"*","*","*","*"
"Colchester School District","Bacon Academy","High Needs",58,50,86.2,"*","*","*","*"
"Colchester School District","Bacon Academy","Non-High Needs",190,187,98.4,"*","*","*","*"
"Common Ground High School District","Common Ground High School","High Needs",22,19,86.4,"*","*","*","*"
"Common Ground High School District","Common Ground High School","Non-High Needs",7,7,100.0,"*","*","*","*"
"Connecticut Technical High School System","A. I. Prince Technical High School","High Needs",164,156,95.1,"*","*","*","*"
"Connecticut Technical High School System","A. I. Prince Technical High School","Non-High Needs",19,19,100.0,"*","*","*","*"
"Connecticut Technical High School System","Bullard-Havens Technical High School","High Needs",152,139,91.4,"*","*",12,7.9
"Connecticut Technical High School System","Bullard-Havens Technical High School","Non-High Needs",33,31,93.9,"*","*","*","*"
"Connecticut Technical High School System","E. C. Goodwin Technical High School","High Needs",123,118,95.9,"*","*","*","*"
"Connecticut Technical High School System","E. C. Goodwin Technical High School","Non-High Needs",20,18,90.0,"*","*","*","*"
"Connecticut Technical High School System","Eli Whitney Technical High School","High Needs",101,93,92.1,"*","*",8,7.9
"Connecticut Technical High School System","Eli Whitney Technical High School","Non-High Needs",10,9,90.0,"*","*","*","*"
"Connecticut Technical High School System","Ella T. Grasso Southeastern Technical High School","High Needs",85,80,94.1,"*","*","*","*"
"Connecticut Technical High School System","Ella T. Grasso Southeastern Technical High School","Non-High Needs",42,40,95.2,"*","*","*","*"
"Connecticut Technical High School System","Emmett O'Brien Technical High School","High Needs",63,60,95.2,"*","*","*","*"
"Connecticut Technical High School System","Emmett O'Brien Technical High School","Non-High Needs",64,62,96.9,"*","*","*","*"
"Connecticut Technical High School System","H. C. Wilcox Technical High School","High Needs",94,88,93.6,"*","*","*","*"
"Connecticut Technical High School System","H. C. Wilcox Technical High School","Non-High Needs",84,84,100.0,"*","*","*","*"
"Connecticut Technical High School System","H. H. Ellis Technical High School","High Needs",54,54,100.0,"*","*","*","*"
"Connecticut Technical High School System","H. H. Ellis Technical High School","Non-High Needs",57,53,93.0,"*","*","*","*"
"Connecticut Technical High School System","Henry Abbott Technical High School","High Needs",101,95,94.1,"*","*","*","*"
"Connecticut Technical High School System","Henry Abbott Technical High School","Non-High Needs",42,42,100.0,"*","*","*","*"
"Connecticut Technical High School System","Howell Cheney Technical High School","High Needs",91,91,100.0,"*","*","*","*"
"Connecticut Technical High School System","Howell Cheney Technical High School","Non-High Needs",63,62,98.4,"*","*","*","*"
"Connecticut Technical High School System","Norwich Technical High School","High Needs",79,76,96.2,"*","*","*","*"
"Connecticut Technical High School System","Norwich Technical High School","Non-High Needs",77,76,98.7,"*","*","*","*"
"Connecticut Technical High School System","Oliver Wolcott Technical High School","High Needs",58,55,94.8,"*","*","*","*"
"Connecticut Technical High School System","Oliver Wolcott Technical High School","Non-High Needs",87,85,97.7,"*","*","*","*"
"Connecticut Technical High School System","Platt Technical High School","High Needs",114,112,98.2,"*","*","*","*"
"Connecticut Technical High School System","Platt Technical High School","Non-High Needs",93,91,97.8,"*","*","*","*"
"Connecticut Technical High School System","Vinal Technical High School","High Needs",75,68,90.7,"*","*",7,9.3
"Connecticut Technical High School System","Vinal Technical High School","Non-High Needs",66,65,98.5,"*","*","*","*"
"Connecticut Technical High School System","W. F. Kaynor Technical High School","High Needs",105,104,99.0,"*","*","*","*"
