"Four-Year Graduation Rates, 2012-13"
"All Districts, All Schools, English Learner Status"

"",,,,"Graduates",,"Non-Graduates",,,
"District","School","English Learner Status","Four-Year Cohort Count","Graduation Count","Graduation Rate","Still Enrolled Count","Still Enrolled Rate","Other Count","Other Rate"
"Amistad Academy District","Amistad Academy","ELL","*","*","*","*","*","*","*"
"Amistad Academy District","Amistad Academy","Non-ELL","*","*","*","*","*","*","*"
"Ansonia School District","Ansonia High School","ELL",13,8,61.5,"*","*","*","*"
"Ansonia School District","Ansonia High School","Non-ELL",196,151,77.0,"*","*","*","*"
"Avon School District","Avon High School","ELL","*","*","*","*","*","*","*"
"Avon School District","Avon High School","Non-ELL","*","*","*","*","*","*","*"
"Berlin School District","Berlin High School","ELL","*","*","*","*","*","*","*"
"Berlin School District","Berlin High School","Non-ELL","*","*","*","*","*","*","*"
"Bethel School District","Bethel High School","ELL","*","*","*","*","*","*","*"
"Bethel School District","Bethel High School","Non-ELL","*","*","*","*","*","*","*"
"Bloomfield School District","Bloomfield High School","ELL","*","*","*","*","*","*","*"
"Bloomfield School District","Bloomfield High School","Non-ELL",124,113,91.1,6,4.8,"*","*"
"Bloomfield School District","Global Experience Magnet School","Non-ELL",30,29,96.7,"*","*","*","*"
"Bloomfield School District","Learning Academy at Bloomfield","ELL","*","*","*","*","*","*","*"
"Bloomfield School District","Learning Academy at Bloomfield","Non-ELL",6,"*","*","*","*","*","*"
"Bolton School District","Bolton High School","Non-ELL",80,78,97.5,"*","*","*","*"
"Branford School District","Branford High School","ELL","*","*","*","*","*","*","*"
"Branford School District","Branford High School","Non-ELL","*","*","*","*","*","*","*"
"Bridgeport School District","Bassick High School","ELL",55,31,56.4,8,14.5,16,29.1
"Bridgeport School District","Bassick High School","Non-ELL",261,156,59.8,52,19.9,53,20.3
"Bridgeport School District","Central High School","ELL",47,34,72.3,"*","*",9,19.1
"Bridgeport School District","Central High School","Non-ELL",494,386,78.1,42,8.5,66,13.4
"Bridgeport School District","Harding High School","ELL",64,32,50.0,"*","*",28,43.8
"Bridgeport School District","Harding High School","Non-ELL",271,172,63.5,13,4.8,86,31.7
"Bristol School District","Bristol Central High School","ELL",14,"*","*","*","*","*","*"
"Bristol School District","Bristol Central High School","Non-ELL",302,250,82.8,15,5.0,37,12.3
