"Four-Year Graduation Rates, 2011-12"
"All Districts, All Schools, Gender"

"",,,,"Graduates",,"Non-Graduates",,,
"District","School","Gender","Four-Year Cohort Count","Graduation Count","Graduation Rate","Still Enrolled Count","Still Enrolled Rate","Other Count","Other Rate"
"Amistad Academy District","Amistad Academy","Female",8,6,75.0,"*","*","*","*"
"Amistad Academy District","Amistad Academy","Male",13,9,69.2,"*","*","*","*"
"Ansonia School District","Ansonia High School","Female",99,82,82.8,"*","*",13,13.1
"Ansonia School District","Ansonia High School","Male",105,74,70.5,"*","*",23,21.9
"Avon School District","Avon High School","Female",141,138,97.9,"*","*","*","*"
"Avon School District","Avon High School","Male",143,136,95.1,"*","*","*","*"
"Berlin School District","Berlin High School","Female",146,141,96.6,"*","*","*","*"
"Berlin School District","Berlin High School","Male",115,108,93.9,"*","*","*","*"
"Bethel School District","Bethel High School","Female",128,124,96.9,"*","*","*","*"
"Bethel School District","Bethel High School","Male",109,101,92.7,"*","*","*","*"
"Bloomfield School District","Bloomfield High School","Female",86,75,87.2,"*","*",6,7.0
"Bloomfield School District","Bloomfield High School","Male",82,65,79.3,13,15.9,"*","*"
"Bloomfield School District","The Big Picture High School","Female","*","*","*","*","*","*","*"
"Bloomfield School District","The Big Picture High School","Male","*","*","*","*","*","*","*"
"Bolton School District","Bolton High School","Female",37,35,94.6,"*","*","*","*"
"Bolton School District","Bolton High School","Male",36,31,86.1,"*","*","*","*"
"Branford School District","Branford High School","Female",128,123,96.1,"*","*","*","*"
"Branford School District","Branford High School","Male",123,116,94.3,"*","*","*","*"
"Bridgeport School District","Bassick High School","Female",146,77,52.7,9,6.2,60,41.1
"Bridgeport School District","Bassick High School","Male",164,71,43.3,21,12.8,72,43.9
"Bridgeport School District","Central High School","Female",292,239,81.8,25,8.6,28,9.6
"Bridgeport School District","Central High School","Male",278,208,74.8,27,9.7,43,15.5
"Bridgeport School District","Harding High School","Female",184,137,74.5,7,3.8,40,21.7
"Bridgeport School District","Harding High School","Male",173,99,57.2,15,8.7,59,34.1
"Bristol School District","Bristol Central High School","Female",165,143,86.7,"*","*",15,9.1
"Bristol School District","Bristol Central High School","Male",167,143,85.6,14,8.4,10,6.0
"Bristol School District","Bristol Eastern High School","Female",149,135,90.6,"*","*",11,7.4
"Bristol School District","Bristol Eastern High School","Male",141,115,81.6,11,7.8,15,10.6
"Brookfield School District","Brookfield High School","Female",141,136,96.5,"*","*","*","*"
"Brookfield School District","Brookfield High School","Male",113,111,98.2,"*","*","*","*"
"Canton School District","Canton High School","Female",61,61,100.0,"*","*","*","*"
"Canton School District","Canton High School","Male",57,54,94.7,"*","*","*","*"
"Capitol Region Education Council","Great Path Academy at MCC","Female",49,44,89.8,"*","*","*","*"
"Capitol Region Education Council","Great Path Academy at MCC","Male",30,20,66.7,"*","*",10,33.3
"Capitol Region Education Council","Greater Hartford Academy of  the Arts High School - Full Time","Female",57,52,91.2,"*","*","*","*"
"Capitol Region Education Council","Greater Hartford Academy of  the Arts High School - Full Time","Male",42,35,83.3,"*","*",6,14.3
"Capitol Region Education Council","Metropolitan Learning Center for Global and International Studies","Female",33,32,97.0,"*","*","*","*"
"Capitol Region Education Council","Metropolitan Learning Center for Global and International Studies","Male",43,39,90.7,"*","*","*","*"
"Cheshire School District","Cheshire High School","Female",193,190,98.4,"*","*","*","*"
"Cheshire School District","Cheshire High School","Male",202,199,98.5,"*","*","*","*"
"Clinton School District","The Morgan School","Female",61,56,91.8,"*","*","*","*"
"Clinton School District","The Morgan School","Male",61,57,93.4,"*","*","*","*"
"Colchester School District","Bacon Academy","Female",140,134,95.7,"*","*","*","*"
"Colchester School District","Bacon Academy","Male",104,97,93.3,"*","*","*","*"
"Common Ground High School District","Common Ground High School","Female",13,11,84.6,"*","*","*","*"
"Common Ground High School District","Common Ground High School","Male",18,17,94.4,"*","*","*","*"
"Connecticut Technical High School System","A. I. Prince Technical High School","Female",97,87,89.7,"*","*",9,9.3
"Connecticut Technical High School System","A. I. Prince Technical High School","Male",71,69,97.2,"*","*","*","*"
"Connecticut Technical High School System","Bullard-Havens Technical High School","Female",114,107,93.9,"*","*",7,6.1
"Connecticut Technical High School System","Bullard-Havens Technical High School","Male",92,88,95.7,"*","*","*","*"
"Connecticut Technical High School System","E. C. Goodwin Technical High School","Female",45,43,95.6,"*","*","*","*"
"Connecticut Technical High School System","E. C. Goodwin Technical High School","Male",84,77,91.7,"*","*",6,7.1
"Connecticut Technical High School System","Eli Whitney Technical High School","Female",63,58,92.1,"*","*","*","*"
"Connecticut Technical High School System","Eli Whitney Technical High School","Male",62,57,91.9,"*","*","*","*"
"Connecticut Technical High School System","Ella T. Grasso Southeastern Technical High School","Female",60,57,95.0,"*","*","*","*"
"Connecticut Technical High School System","Ella T. Grasso Southeastern Technical High School","Male",95,89,93.7,"*","*",6,6.3
"Connecticut Technical High School System","Emmett O'Brien Technical High School","Female",37,37,100.0,"*","*","*","*"
"Connecticut Technical High School System","Emmett O'Brien Technical High School","Male",96,92,95.8,"*","*","*","*"
"Connecticut Technical High School System","H. C. Wilcox Technical High School","Female",74,72,97.3,"*","*","*","*"
"Connecticut Technical High School System","H. C. Wilcox Technical High School","Male",132,128,97.0,"*","*","*","*"
"Connecticut Technical High School System","H. H. Ellis Technical High School","Female",34,33,97.1,"*","*","*","*"
"Connecticut Technical High School System","H. H. Ellis Technical High School","Male",97,93,95.9,"*","*","*","*"
"Connecticut Technical High School System","Henry Abbott Technical High School","Female",55,54,98.2,"*","*","*","*"
"Connecticut Technical High School System","Henry Abbott Technical High School","Male",106,102,96.2,"*","*","*","*"
"Connecticut Technical High School System","Howell Cheney Technical High School","Female",38,37,97.4,"*","*","*","*"
"Connecticut Technical High School System","Howell Cheney Technical High School","Male",106,103,97.2,"*","*","*","*"
"Connecticut Technical High School System","Norwich Technical High School","Female",46,43,93.5,"*","*","*","*"
"Connecticut Technical High School System","Norwich Technical High School","Male",107,105,98.1,"*","*","*","*"
