"Four-Year Graduation Rates, 2011-12"
"All Districts, All Schools, Special Education Status"

"",,,,"Graduates",,"Non-Graduates",,,
"District","School","Special Education Status","Four-Year Cohort Count","Graduation Count","Graduation Rate","Still Enrolled Count","Still Enrolled Rate","Other Count","Other Rate"
"Amistad Academy District","Amistad Academy","Non-Special Education",21,15,71.4,"*","*","*","*"
"Ansonia School District","Ansonia High School","Non-Special Education",180,140,77.8,"*","*",30,16.7
"Ansonia School District","Ansonia High School","Special Education",24,16,66.7,"*","*",6,25.0
"Avon School District","Avon High School","Non-Special Education",248,243,98.0,"*","*","*","*"
"Avon School District","Avon High School","Special Education",36,31,86.1,"*","*","*","*"
"Berlin School District","Berlin High School","Non-Special Education",223,216,96.9,"*","*","*","*"
"Berlin School District","Berlin High School","Special Education",38,33,86.8,"*","*","*","*"
"Bethel School District","Bethel High School","Non-Special Education",210,204,97.1,"*","*","*","*"
"Bethel School District","Bethel High School","Special Education",27,21,77.8,"*","*","*","*"
"Bloomfield School District","Bloomfield High School","Non-Special Education",144,123,85.4,12,8.3,9,6.3
"Bloomfield School District","Bloomfield High School","Special Education",24,17,70.8,6,25.0,"*","*"
"Bloomfield School District","The Big Picture High School","Non-Special Education","*","*","*","*","*","*","*"
"Bloomfield School District","The Big Picture High School","Special Education","*","*","*","*","*","*","*"
"Bolton School District","Bolton High School","Non-Special Education",64,"*","*","*","*","*","*"
"Bolton School District","Bolton High School","Special Education",9,"*","*","*","*","*","*"
"Branford School District","Branford High School","Non-Special Education",224,214,95.5,"*","*","*","*"
"Branford School District","Branford High School","Special Education",27,25,92.6,"*","*","*","*"
"Bridgeport School District","Bassick High School","Non-Special Education",264,128,48.5,24,9.1,112,42.4
"Bridgeport School District","Bassick High School","Special Education",46,20,43.5,6,13.0,20,43.5
"Bridgeport School District","Central High School","Non-Special Education",512,415,81.1,39,7.6,58,11.3
"Bridgeport School District","Central High School","Special Education",58,32,55.2,13,22.4,13,22.4
"Bridgeport School District","Harding High School","Non-Special Education",305,211,69.2,11,3.6,83,27.2
"Bridgeport School District","Harding High School","Special Education",52,25,48.1,11,21.2,16,30.8
"Bristol School District","Bristol Central High School","Non-Special Education",286,253,88.5,13,4.5,20,7.0
"Bristol School District","Bristol Central High School","Special Education",46,33,71.7,"*","*","*","*"
"Bristol School District","Bristol Eastern High School","Non-Special Education",252,220,87.3,9,3.6,23,9.1
"Bristol School District","Bristol Eastern High School","Special Education",38,30,78.9,"*","*","*","*"
"Brookfield School District","Brookfield High School","Non-Special Education",235,232,98.7,"*","*","*","*"
"Brookfield School District","Brookfield High School","Special Education",19,15,78.9,"*","*","*","*"
"Canton School District","Canton High School","Non-Special Education",107,105,98.1,"*","*","*","*"
"Canton School District","Canton High School","Special Education",11,10,90.9,"*","*","*","*"
"Capitol Region Education Council","Great Path Academy at MCC","Non-Special Education",69,56,81.2,"*","*",13,18.8
