"Four-Year Graduation Rates, 2012-13"
"All Districts, All Schools, Lunch"

"",,,,"Graduates",,"Non-Graduates",,,
"District","School","Lunch","Four-Year Cohort Count","Graduation Count","Graduation Rate","Still Enrolled Count","Still Enrolled Rate","Other Count","Other Rate"
"Amistad Academy District","Amistad Academy","All Students",23,16,69.6,"*","*","*","*"
"Amistad Academy District","Amistad Academy","Black",18,14,77.8,"*","*","*","*"
"Amistad Academy District","Amistad Academy","ELL","*","*","*","*","*","*","*"
"Amistad Academy District","Amistad Academy","Eligible For Free Lunch",18,11,61.1,"*","*","*","*"
"Amistad Academy District","Amistad Academy","Eligible For Lunch",20,13,65.0,"*","*","*","*"
"Amistad Academy District","Amistad Academy","Eligible For Reduced Lunch","*","*","*","*","*","*","*"
"Amistad Academy District","Amistad Academy","Female",12,9,75.0,"*","*","*","*"
"Amistad Academy District","Amistad Academy","High Needs",20,13,65.0,"*","*","*","*"
"Amistad Academy District","Amistad Academy","Hispanic","*","*","*","*","*","*","*"
"Amistad Academy District","Amistad Academy","Male",11,7,63.6,"*","*","*","*"
"Amistad Academy District","Amistad Academy","Non-ELL",22,15,68.2,"*","*","*","*"
"Amistad Academy District","Amistad Academy","Non-High Needs","*","*","*","*","*","*","*"
"Amistad Academy District","Amistad Academy","Non-Hispanic",18,14,77.8,"*","*","*","*"
"Amistad Academy District","Amistad Academy","Non-Special Education",22,15,68.2,"*","*","*","*"
"Amistad Academy District","Amistad Academy","Not Eligible For Lunch","*","*","*","*","*","*","*"
"Amistad Academy District","Amistad Academy","Special Education","*","*","*","*","*","*","*"
"Ansonia School District","Ansonia High School","All Students",209,159,76.1,23,11.0,27,12.9
"Ansonia School District","Ansonia High School","Black",47,33,70.2,"*","*",11,23.4
"Ansonia School District","Ansonia High School","ELL",13,8,61.5,"*","*","*","*"
"Ansonia School District","Ansonia High School","Eligible For Free Lunch",107,70,65.4,13,12.1,24,22.4
"Ansonia School District","Ansonia High School","Eligible For Lunch",143,100,69.9,17,11.9,26,18.2
"Ansonia School District","Ansonia High School","Eligible For Reduced Lunch",36,30,83.3,"*","*","*","*"
"Ansonia School District","Ansonia High School","Female",104,93,89.4,"*","*",9,8.7
"Ansonia School District","Ansonia High School","High Needs",155,109,70.3,20,12.9,26,16.8
"Ansonia School District","Ansonia High School","Hispanic",49,32,65.3,8,16.3,9,18.4
"Ansonia School District","Ansonia High School","Male",105,66,62.9,21,20.0,18,17.1
"Ansonia School District","Ansonia High School","Non-ELL",196,151,77.0,20,10.2,25,12.8
"Ansonia School District","Ansonia High School","Non-High Needs",54,50,92.6,"*","*","*","*"
"Ansonia School District","Ansonia High School","Non-Hispanic",160,127,79.4,15,9.4,18,11.3
"Ansonia School District","Ansonia High School","Non-Special Education",187,144,77.0,18,9.6,25,13.4
"Ansonia School District","Ansonia High School","Not Eligible For Lunch",66,59,89.4,6,9.1,"*","*"
"Ansonia School District","Ansonia High School","Special Education",22,15,68.2,"*","*","*","*"
"Ansonia School District","Ansonia High School","Asian","*","*","*","*","*","*","*"
"Ansonia School District","Ansonia High School","Hawaiian or Pacific Islander","*","*","*","*","*","*","*"
"Ansonia School District","Ansonia High School","White",109,90,82.6,12,11.0,7,6.4
"Avon School District","Avon High School","All Students",261,252,96.6,7,2.7,"*","*"
"Avon School District","Avon High School","Black",7,"*","*","*","*","*","*"
"Avon School District","Avon High School","ELL","*","*","*","*","*","*","*"
