"Four-Year Graduation Rates, 2013-14"
"All Districts, All Schools, Special Education Status"

"",,,,"Graduates",,"Non-Graduates",,,
"District","School","Special Education Status","Four-Year Cohort Count","Graduation Count","Graduation Rate","Still Enrolled Count","Still Enrolled Rate","Other Count","Other Rate"
"Amistad Academy District","Amistad Academy","Non-Special Education","*","*","*","*","*","*","*"
"Amistad Academy District","Amistad Academy","Special Education","*","*","*","*","*","*","*"
"Ansonia School District","Ansonia High School","Non-Special Education",134,111,82.8,"*","*","*","*"
"Ansonia School District","Ansonia High School","Special Education",16,9,56.3,"*","*","*","*"
"Avon School District","Avon High School","Non-Special Education",244,242,99.2,"*","*","*","*"
"Avon School District","Avon High School","Special Education",25,23,92.0,"*","*","*","*"
"Berlin School District","Berlin High School","Non-Special Education",202,198,98.0,"*","*","*","*"
"Berlin School District","Berlin High School","Special Education",32,25,78.1,"*","*","*","*"
"Bethel School District","Bethel High School","Non-Special Education",213,201,94.4,"*","*","*","*"
"Bethel School District","Bethel High School","Special Education",31,25,80.6,"*","*","*","*"
"Bloomfield School District","Bloomfield High School","Non-Special Education",120,112,93.3,6,5.0,"*","*"
"Bloomfield School District","Bloomfield High School","Special Education",13,8,61.5,"*","*","*","*"
"Bloomfield School District","Global Experience Magnet School","Non-Special Education",22,21,95.5,"*","*","*","*"
"Bloomfield School District","Global Experience Magnet School","Special Education","*","*","*","*","*","*","*"
"Bloomfield School District","Learning Academy at Bloomfield","Non-Special Education",6,"*","*","*","*","*","*"
"Bloomfield School District","Learning Academy at Bloomfield","Special Education","*","*","*","*","*","*","*"
"Bolton School District","Bolton High School","Non-Special Education",94,"*","*","*","*","*","*"
"Bolton School District","Bolton High School","Special Education",7,"*","*","*","*","*","*"
"Branford School District","Branford High School","Non-Special Education",252,236,93.7,"*","*","*","*"
"Branford School District","Branford High School","Special Education",40,35,87.5,"*","*","*","*"
"Bridgeport School District","Bassick High School","Non-Special Education",304,195,64.1,33,10.9,76,25.0
"Bridgeport School District","Bassick High School","Special Education",43,21,48.8,15,34.9,"*","*"
"Bridgeport School District","Central High School","Non-Special Education",507,417,82.2,20,3.9,70,13.8
"Bridgeport School District","Central High School","Special Education",55,36,65.5,16,29.1,"*","*"
"Bridgeport School District","Harding High School","Non-Special Education",262,192,73.3,11,4.2,59,22.5
"Bridgeport School District","Harding High School","Special Education",43,21,48.8,6,14.0,16,37.2
"Bristol School District","Bristol Central High School","Non-Special Education",288,241,83.7,19,6.6,28,9.7
"Bristol School District","Bristol Central High School","Special Education",42,33,78.6,"*","*","*","*"
"Bristol School District","Bristol Eastern High School","Non-Special Education",287,249,86.8,17,5.9,21,7.3
"Bristol School District","Bristol Eastern High School","Special Education",63,46,73.0,"*","*","*","*"
"Brookfield School District","Brookfield High School","Non-Special Education",210,206,98.1,"*","*","*","*"
"Brookfield School District","Brookfield High School","Special Education",21,19,90.5,"*","*","*","*"
"Canton School District","Canton High School","Non-Special Education",118,115,97.5,"*","*","*","*"
"Canton School District","Canton High School","Special Education",17,13,76.5,"*","*","*","*"
"Capitol Region Education Council","Academy of Aerospace and Engineering","Non-Special Education",31,26,83.9,"*","*","*","*"
"Capitol Region Education Council","Academy of Aerospace and Engineering","Special Education","*","*","*","*","*","*","*"
"Capitol Region Education Council","Greater Hartford Academy of  the Arts High School - Full Time","Non-Special Education",87,74,85.1,"*","*",11,12.6
"Capitol Region Education Council","Greater Hartford Academy of  the Arts High School - Full Time","Special Education",8,6,75.0,"*","*","*","*"
"Capitol Region Education Council","Medical Professions and Teacher Preparation Academy","Non-Special Education",43,41,95.3,"*","*","*","*"
"Capitol Region Education Council","Medical Professions and Teacher Preparation Academy","Special Education","*","*","*","*","*","*","*"
"Capitol Region Education Council","Metropolitan Learning Center for Global and International Studies","Non-Special Education",92,88,95.7,"*","*","*","*"
"Capitol Region Education Council","Metropolitan Learning Center for Global and International Studies","Special Education","*","*","*","*","*","*","*"
"Capitol Region Education Council","Public Safety Academy","Non-Special Education",38,33,86.8,"*","*","*","*"
"Capitol Region Education Council","Public Safety Academy","Special Education",7,"*","*","*","*","*","*"
"Cheshire School District","Cheshire High School","Non-Special Education",326,325,99.7,"*","*","*","*"
"Cheshire School District","Cheshire High School","Special Education",40,35,87.5,"*","*","*","*"
"Clinton School District","The Morgan School","Non-Special Education",119,114,95.8,"*","*","*","*"
"Clinton School District","The Morgan School","Special Education",9,7,77.8,"*","*","*","*"
"Colchester School District","Bacon Academy","Non-Special Education",220,215,97.7,"*","*","*","*"
"Colchester School District","Bacon Academy","Special Education",28,22,78.6,"*","*","*","*"
"Common Ground High School District","Common Ground High School","Non-Special Education","*","*","*","*","*","*","*"
"Common Ground High School District","Common Ground High School","Special Education","*","*","*","*","*","*","*"
"Connecticut Technical High School System","A. I. Prince Technical High School","Non-Special Education",166,158,95.2,"*","*","*","*"
"Connecticut Technical High School System","A. I. Prince Technical High School","Special Education",17,17,100.0,"*","*","*","*"
"Connecticut Technical High School System","Bullard-Havens Technical High School","Non-Special Education",184,169,91.8,"*","*",14,7.6
"Connecticut Technical High School System","Bullard-Havens Technical High School","Special Education","*","*","*","*","*","*","*"
"Connecticut Technical High School System","E. C. Goodwin Technical High School","Non-Special Education",130,123,94.6,"*","*","*","*"
"Connecticut Technical High School System","E. C. Goodwin Technical High School","Special Education",13,13,100.0,"*","*","*","*"
"Connecticut Technical High School System","Eli Whitney Technical High School","Non-Special Education",101,92,91.1,"*","*",9,8.9
"Connecticut Technical High School System","Eli Whitney Technical High School","Special Education",10,10,100.0,"*","*","*","*"
"Connecticut Technical High School System","Ella T. Grasso Southeastern Technical High School","Non-Special Education",118,111,94.1,"*","*",6,5.1
"Connecticut Technical High School System","Ella T. Grasso Southeastern Technical High School","Special Education",9,9,100.0,"*","*","*","*"
"Connecticut Technical High School System","Emmett O'Brien Technical High School","Non-Special Education",121,117,96.7,"*","*","*","*"
"Connecticut Technical High School System","Emmett O'Brien Technical High School","Special Education","*","*","*","*","*","*","*"
"Connecticut Technical High School System","H. C. Wilcox Technical High School","Non-Special Education",168,164,97.6,"*","*","*","*"
"Connecticut Technical High School System","H. C. Wilcox Technical High School","Special Education",10,8,80.0,"*","*","*","*"
"Connecticut Technical High School System","H. H. Ellis Technical High School","Non-Special Education",103,99,96.1,"*","*","*","*"
"Connecticut Technical High School System","H. H. Ellis Technical High School","Special Education",8,8,100.0,"*","*","*","*"
"Connecticut Technical High School System","Henry Abbott Technical High School","Non-Special Education",121,117,96.7,"*","*","*","*"
