"Four-Year Graduation Rates, 2013-14"
"All Districts, All Schools, Free/Reduced Price Meal Eligibility"

"",,,,"Graduates",,"Non-Graduates",,,
"District","School","Free/Reduced Price Meal Eligibility","Four-Year Cohort Count","Graduation Count","Graduation Rate","Still Enrolled Count","Still Enrolled Rate","Other Count","Other Rate"
"Amistad Academy District","Amistad Academy","Eligible For Free Lunch",18,15,83.3,"*","*","*","*"
"Amistad Academy District","Amistad Academy","Eligible For Reduced Lunch","*","*","*","*","*","*","*"
"Amistad Academy District","Amistad Academy","Not Eligible For Lunch","*","*","*","*","*","*","*"
"Ansonia School District","Ansonia High School","Eligible For Free Lunch",83,59,71.1,"*","*",22,26.5
"Ansonia School District","Ansonia High School","Eligible For Reduced Lunch",22,20,90.9,"*","*","*","*"
"Ansonia School District","Ansonia High School","Not Eligible For Lunch",45,41,91.1,"*","*","*","*"
"Avon School District","Avon High School","Eligible For Free Lunch","*","*","*","*","*","*","*"
"Avon School District","Avon High School","Eligible For Reduced Lunch","*","*","*","*","*","*","*"
"Avon School District","Avon High School","Not Eligible For Lunch",248,244,98.4,"*","*","*","*"
"Berlin School District","Berlin High School","Eligible For Free Lunch",29,25,86.2,"*","*","*","*"
"Berlin School District","Berlin High School","Eligible For Reduced Lunch",9,9,100.0,"*","*","*","*"
"Berlin School District","Berlin High School","Not Eligible For Lunch",196,189,96.4,"*","*","*","*"
"Bethel School District","Bethel High School","Eligible For Free Lunch",36,26,72.2,7,19.4,"*","*"
"Bethel School District","Bethel High School","Eligible For Reduced Lunch",17,17,100.0,"*","*","*","*"
"Bethel School District","Bethel High School","Not Eligible For Lunch",191,183,95.8,"*","*","*","*"
"Bloomfield School District","Bloomfield High School","Eligible For Free Lunch",72,67,93.1,"*","*","*","*"
"Bloomfield School District","Bloomfield High School","Eligible For Reduced Lunch",18,17,94.4,"*","*","*","*"
"Bloomfield School District","Bloomfield High School","Not Eligible For Lunch",43,36,83.7,"*","*","*","*"
"Bloomfield School District","Global Experience Magnet School","Eligible For Free Lunch",14,13,92.9,"*","*","*","*"
"Bloomfield School District","Global Experience Magnet School","Eligible For Reduced Lunch","*","*","*","*","*","*","*"
"Bloomfield School District","Global Experience Magnet School","Not Eligible For Lunch",11,11,100.0,"*","*","*","*"
"Bloomfield School District","Learning Academy at Bloomfield","Eligible For Free Lunch",6,"*","*","*","*","*","*"
"Bloomfield School District","Learning Academy at Bloomfield","Not Eligible For Lunch","*","*","*","*","*","*","*"
"Bolton School District","Bolton High School","Eligible For Free Lunch","*","*","*","*","*","*","*"
"Bolton School District","Bolton High School","Eligible For Reduced Lunch","*","*","*","*","*","*","*"
"Bolton School District","Bolton High School","Not Eligible For Lunch",89,87,97.8,"*","*","*","*"
"Branford School District","Branford High School","Eligible For Free Lunch",53,46,86.8,"*","*","*","*"
"Branford School District","Branford High School","Eligible For Reduced Lunch",13,10,76.9,"*","*","*","*"
"Branford School District","Branford High School","Not Eligible For Lunch",226,215,95.1,"*","*",9,4.0
"Bridgeport School District","Bassick High School","Eligible For Free Lunch",337,211,62.6,45,13.4,81,24.0
"Bridgeport School District","Bassick High School","Eligible For Reduced Lunch",10,"*","*","*","*","*","*"
"Bridgeport School District","Central High School","Eligible For Free Lunch",540,433,80.2,35,6.5,72,13.3
"Bridgeport School District","Central High School","Eligible For Reduced Lunch",19,19,100.0,"*","*","*","*"
"Bridgeport School District","Central High School","Not Eligible For Lunch","*","*","*","*","*","*","*"
"Bridgeport School District","Harding High School","Eligible For Free Lunch",299,208,69.6,16,5.4,75,25.1
"Bridgeport School District","Harding High School","Eligible For Reduced Lunch","*","*","*","*","*","*","*"
"Bristol School District","Bristol Central High School","Eligible For Free Lunch",107,72,67.3,15,14.0,20,18.7
"Bristol School District","Bristol Central High School","Eligible For Reduced Lunch",34,28,82.4,"*","*","*","*"
"Bristol School District","Bristol Central High School","Not Eligible For Lunch",189,174,92.1,6,3.2,9,4.8
"Bristol School District","Bristol Eastern High School","Eligible For Free Lunch",100,73,73.0,14,14.0,13,13.0
"Bristol School District","Bristol Eastern High School","Eligible For Reduced Lunch",31,25,80.6,"*","*","*","*"
"Bristol School District","Bristol Eastern High School","Not Eligible For Lunch",219,197,90.0,11,5.0,11,5.0
"Brookfield School District","Brookfield High School","Eligible For Free Lunch",14,12,85.7,"*","*","*","*"
"Brookfield School District","Brookfield High School","Eligible For Reduced Lunch",9,9,100.0,"*","*","*","*"
"Brookfield School District","Brookfield High School","Not Eligible For Lunch",208,204,98.1,"*","*","*","*"
"Canton School District","Canton High School","Eligible For Free Lunch",8,8,100.0,"*","*","*","*"
