"Four-Year Graduation Rates, 2012-13"
"All Districts, All Schools, Special Education Status"

"",,,,"Graduates",,"Non-Graduates",,,
"District","School","Special Education Status","Four-Year Cohort Count","Graduation Count","Graduation Rate","Still Enrolled Count","Still Enrolled Rate","Other Count","Other Rate"
"Amistad Academy District","Amistad Academy","Non-Special Education","*","*","*","*","*","*","*"
"Amistad Academy District","Amistad Academy","Special Education","*","*","*","*","*","*","*"
"Ansonia School District","Ansonia High School","Non-Special Education",187,144,77.0,"*","*","*","*"
"Ansonia School District","Ansonia High School","Special Education",22,15,68.2,"*","*","*","*"
"Avon School District","Avon High School","Non-Special Education",230,224,97.4,"*","*","*","*"
"Avon School District","Avon High School","Special Education",31,28,90.3,"*","*","*","*"
"Berlin School District","Berlin High School","Non-Special Education",238,231,97.1,"*","*","*","*"
"Berlin School District","Berlin High School","Special Education",24,21,87.5,"*","*","*","*"
"Bethel School District","Bethel High School","Non-Special Education",212,204,96.2,7,3.3,"*","*"
"Bethel School District","Bethel High School","Special Education",21,13,61.9,7,33.3,"*","*"
"Bloomfield School District","Bloomfield High School","Non-Special Education",113,105,92.9,"*","*","*","*"
"Bloomfield School District","Bloomfield High School","Special Education",12,9,75.0,"*","*","*","*"
"Bloomfield School District","Global Experience Magnet School","Non-Special Education",27,26,96.3,"*","*","*","*"
"Bloomfield School District","Global Experience Magnet School","Special Education","*","*","*","*","*","*","*"
"Bloomfield School District","Learning Academy at Bloomfield","Non-Special Education","*","*","*","*","*","*","*"
"Bloomfield School District","Learning Academy at Bloomfield","Special Education","*","*","*","*","*","*","*"
"Bolton School District","Bolton High School","Non-Special Education",70,69,98.6,"*","*","*","*"
"Bolton School District","Bolton High School","Special Education",10,9,90.0,"*","*","*","*"
"Branford School District","Branford High School","Non-Special Education",238,224,94.1,"*","*","*","*"
"Branford School District","Branford High School","Special Education",31,26,83.9,"*","*","*","*"
"Bridgeport School District","Bassick High School","Non-Special Education",276,170,61.6,49,17.8,57,20.7
"Bridgeport School District","Bassick High School","Special Education",40,17,42.5,11,27.5,12,30.0
"Bridgeport School District","Central High School","Non-Special Education",482,383,79.5,36,7.5,63,13.1
"Bridgeport School District","Central High School","Special Education",59,37,62.7,"*","*",12,20.3
"Bridgeport School District","Harding High School","Non-Special Education",280,180,64.3,12,4.3,88,31.4
"Bridgeport School District","Harding High School","Special Education",55,24,43.6,"*","*",26,47.3
"Bristol School District","Bristol Central High School","Non-Special Education",272,234,86.0,10,3.7,28,10.3
"Bristol School District","Bristol Central High School","Special Education",44,24,54.5,7,15.9,"*","*"
"Bristol School District","Bristol Eastern High School","Non-Special Education",260,217,83.5,18,6.9,25,9.6
"Bristol School District","Bristol Eastern High School","Special Education",43,30,69.8,8,18.6,"*","*"
"Brookfield School District","Brookfield High School","Non-Special Education",227,220,96.9,"*","*","*","*"
"Brookfield School District","Brookfield High School","Special Education",14,12,85.7,"*","*","*","*"
"Canton School District","Canton High School","Non-Special Education",106,104,98.1,"*","*","*","*"
"Canton School District","Canton High School","Special Education",17,13,76.5,"*","*","*","*"
"Capitol Region Education Council","Academy of Aerospace and Engineering","Non-Special Education",35,30,85.7,"*","*","*","*"
"Capitol Region Education Council","Academy of Aerospace and Engineering","Special Education","*","*","*","*","*","*","*"
"Capitol Region Education Council","Greater Hartford Academy of  the Arts High School - Full Time","Non-Special Education",78,65,83.3,"*","*",11,14.1
"Capitol Region Education Council","Greater Hartford Academy of  the Arts High School - Full Time","Special Education",9,7,77.8,"*","*","*","*"
"Capitol Region Education Council","Metropolitan Learning Center for Global and International Studies","Non-Special Education",86,81,94.2,"*","*","*","*"
"Capitol Region Education Council","Metropolitan Learning Center for Global and International Studies","Special Education","*","*","*","*","*","*","*"
"Cheshire School District","Cheshire High School","Non-Special Education",320,314,98.1,"*","*","*","*"
"Cheshire School District","Cheshire High School","Special Education",36,33,91.7,"*","*","*","*"
"Clinton School District","The Morgan School","Non-Special Education",121,112,92.6,"*","*","*","*"
"Clinton School District","The Morgan School","Special Education",22,16,72.7,"*","*","*","*"
"Colchester School District","Bacon Academy","Non-Special Education",224,214,95.5,"*","*","*","*"
"Colchester School District","Bacon Academy","Special Education",26,21,80.8,"*","*","*","*"
"Common Ground High School District","Common Ground High School","Non-Special Education","*","*","*","*","*","*","*"
"Common Ground High School District","Common Ground High School","Special Education","*","*","*","*","*","*","*"
"Connecticut Technical High School System","A. I. Prince Technical High School","Non-Special Education",165,145,87.9,"*","*",20,12.1
"Connecticut Technical High School System","A. I. Prince Technical High School","Special Education",7,7,100.0,"*","*","*","*"
"Connecticut Technical High School System","Bullard-Havens Technical High School","Non-Special Education",190,183,96.3,"*","*",6,3.2
"Connecticut Technical High School System","Bullard-Havens Technical High School","Special Education","*","*","*","*","*","*","*"
"Connecticut Technical High School System","E. C. Goodwin Technical High School","Non-Special Education",123,117,95.1,"*","*",6,4.9
"Connecticut Technical High School System","E. C. Goodwin Technical High School","Special Education",9,9,100.0,"*","*","*","*"
"Connecticut Technical High School System","Eli Whitney Technical High School","Non-Special Education",111,91,82.0,"*","*",16,14.4
"Connecticut Technical High School System","Eli Whitney Technical High School","Special Education",9,9,100.0,"*","*","*","*"
"Connecticut Technical High School System","Ella T. Grasso Southeastern Technical High School","Non-Special Education",134,132,98.5,"*","*","*","*"
"Connecticut Technical High School System","Ella T. Grasso Southeastern Technical High School","Special Education",13,12,92.3,"*","*","*","*"
"Connecticut Technical High School System","Emmett O'Brien Technical High School","Non-Special Education",100,96,96.0,"*","*","*","*"
"Connecticut Technical High School System","Emmett O'Brien Technical High School","Special Education",16,16,100.0,"*","*","*","*"
"Connecticut Technical High School System","H. C. Wilcox Technical High School","Non-Special Education",162,161,99.4,"*","*","*","*"
"Connecticut Technical High School System","H. C. Wilcox Technical High School","Special Education",16,16,100.0,"*","*","*","*"
"Connecticut Technical High School System","H. H. Ellis Technical High School","Non-Special Education",104,104,100.0,"*","*","*","*"
"Connecticut Technical High School System","H. H. Ellis Technical High School","Special Education",9,9,100.0,"*","*","*","*"
"Connecticut Technical High School System","Henry Abbott Technical High School","Non-Special Education",123,119,96.7,"*","*","*","*"
"Connecticut Technical High School System","Henry Abbott Technical High School","Special Education",25,24,96.0,"*","*","*","*"
"Connecticut Technical High School System","Howell Cheney Technical High School","Non-Special Education",150,145,96.7,"*","*","*","*"
"Connecticut Technical High School System","Howell Cheney Technical High School","Special Education",18,18,100.0,"*","*","*","*"
"Connecticut Technical High School System","Norwich Technical High School","Non-Special Education",138,136,98.6,"*","*","*","*"
