"Student Counts by School and Race"
"All Districts, All Schools"
"Trend"

"",,,,"Race",,,,,,,,,,,,
"District","District Code","School","School Code","American Indian","American Indian or Alaska Native","Asian","Black or African American","Black, not of Hispanic Origin","Hispanic/Latino","Hispanic/Latino of any race","Native Hawaiian or Other Pacific Islander","Not Reported","Two or More Races","White","White, not of Hispanic Origin","Total"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","*",13,20,4883,619,73,1148,7,0,72,8,"*",6850
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","*",22,"*",4047,1256,631,2321,0,"*",104,93,36,8519
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",0,0,43,25,17,14,74,0,0,50,1846,958,3027
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""",9,8,109,1006,524,425,1078,33,0,27,2230,1257,6706
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","*","*",82,672,339,362,932,28,0,40,1528,922,4926
"Ansonia School District","=""0020011""","Mead School","=""0020311""",13,11,79,810,394,439,1437,41,0,119,1748,993,6084
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""",0,0,"*",44,0,0,"*",0,0,0,36,0,106
"Ansonia School District","=""0020011""","P.A.C.E. - PM (Positive And Creative Education - PM)","=""0020411""",0,0,0,"*",0,0,"*",0,0,0,"*",0,7
"Ansonia School District","=""0020011""","Pine Academy","=""0029011""",0,0,0,0,"*","*",0,0,0,0,0,22,39
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",12,16,158,861,450,563,1475,31,0,145,2286,1267,7264
"Area Cooperative Educational Services","=""2440014""","A. C. E. S. Special Education Town Campus Learning Center","=""2449014""",0,0,"*",0,0,"*",0,0,0,0,0,26,31
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""",0,0,16,40,0,0,14,0,0,14,155,0,239
"Area Cooperative Educational Services","=""2440014""","Collaborative Alternative Magnet School","=""2446114""",0,0,"*",0,91,"*",0,0,0,0,0,179,319
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""","*","*",10,480,237,139,340,0,0,76,221,111,1617
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""","*",9,265,724,352,815,2146,"*",0,117,1840,998,7278
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""",0,"*",82,208,111,76,203,"*",0,10,514,319,1531
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""",0,"*","*",241,131,91,240,0,0,17,300,151,1187
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""",0,"*","*",284,110,101,236,0,0,21,129,71,957
"Area Cooperative Educational Services","=""2440014""","Whitney High School West","=""2449314""",0,0,13,71,33,38,82,0,0,8,138,94,477
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""",12,16,335,1944,812,244,827,0,0,199,1250,642,6281
