"Student Counts by School and Free/Reduced Lunch Eligibility"
"All Districts, All Schools"
"Trend"

"",,,,"Free/Reduced Lunch Eligibility",,,
"District","District Code","School","School Code","Free","Non-Subsidized","Reduced","Total"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",6380,323,147,6850
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",5357,2107,1055,8519
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",263,2680,84,3027
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""",3067,2865,774,6706
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""",2352,2000,574,4926
"Ansonia School District","=""0020011""","Mead School","=""0020311""",3399,2095,590,6084
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""",78,"*","*",106
"Ansonia School District","=""0020011""","P.A.C.E. - PM (Positive And Creative Education - PM)","=""0020411""","*","*",0,7
"Ansonia School District","=""0020011""","Pine Academy","=""0029011""",22,"*","*",39
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",3743,2651,870,7264
"Area Cooperative Educational Services","=""2440014""","A. C. E. S. Special Education Town Campus Learning Center","=""2449014""","*","*",0,31
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""",67,148,24,239
"Area Cooperative Educational Services","=""2440014""","Collaborative Alternative Magnet School","=""2446114""",119,158,42,319
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",1230,288,99,1617
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""",3112,3468,698,7278
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""",653,780,98,1531
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""",939,208,40,1187
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""",753,157,47,957
"Area Cooperative Educational Services","=""2440014""","Whitney High School West","=""2449314""",382,77,18,477
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""",1821,3769,691,6281
"Ashford School District","=""0030011""","Ashford School","=""0030111""",952,3319,226,4497
