"Student Counts by School and Special Education Status"
"All Districts, All Schools"
"2012-13"

"",,,,"Special Education Status",,
"District","District Code","School","School Code","No","Yes","Total"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",760,64,824
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",859,45,904
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",290,24,314
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""",570,61,631
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""",405,58,463
"Ansonia School District","=""0020011""","Mead School","=""0020311""",545,74,619
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",612,87,699
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""",0,36,36
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",13,134,147
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""",648,74,722
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""","*","*",149
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""",0,114,114
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""",0,89,89
"Area Cooperative Educational Services","=""2440014""","Whitney High School West","=""2449314""",0,45,45
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""",571,59,630
"Ashford School District","=""0030011""","Ashford School","=""0030111""",384,55,439
"Avon School District","=""0040011""","Avon High School","=""0046111""",973,110,1083
"Avon School District","=""0040011""","Avon Middle School","=""0045111""",549,62,611
"Avon School District","=""0040011""","Pine Grove School","=""0040411""",529,66,595
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""",520,49,569
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""",480,68,548
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""",292,36,328
"Barkhamsted School District","=""0050011""","Shared Services Integrated Preschool","=""0058011""",14,7,21
"Berlin School District","=""0070011""","Berlin High School","=""0076111""",864,98,962
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""",646,66,712
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""",435,66,501
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""",522,45,567
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""",207,25,232
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""",416,57,473
"Bethel School District","=""0090011""","Anna H. Rockwell School","=""0090411""",361,31,392
"Bethel School District","=""0090011""","Bethel High School","=""0096111""",856,103,959
"Bethel School District","=""0090011""","Bethel Middle School","=""0095111""",607,77,684
"Bethel School District","=""0090011""","Frank A. Berry School","=""0090111""",445,52,497
"Bethel School District","=""0090011""","Ralph M. T. Johnson School","=""0090511""",387,56,443
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""",477,64,541
"Bloomfield School District","=""0110011""","Carmen Arace Intermediate School","=""0110711""",195,25,220
"Bloomfield School District","=""0110011""","Carmen Arace Middle School","=""0115211""",227,34,261
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""",171,11,182
"Bloomfield School District","=""0110011""","Laurel School","=""0110611""",317,18,335
"Bloomfield School District","=""0110011""","Learning Academy at Bloomfield","=""0116411""","*","*",10
"Bloomfield School District","=""0110011""","Metacomet School","=""0110511""",209,28,237
"Bloomfield School District","=""0110011""","Wintonbury Early Childhood Magnet School","=""0110811""",283,39,322
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""",480,53,533
"Bolton School District","=""0120011""","Bolton High School","=""0126111""",323,36,359
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""",214,27,241
"Branford School District","=""0140011""","Branford High School","=""0146111""",926,123,1049
"Branford School District","=""0140011""","Francis Walsh Intermediate School","=""0145111""",839,150,989
"Branford School District","=""0140011""","Indian Neck School","=""0148011""",21,26,47
"Branford School District","=""0140011""","John B. Sliney School","=""0141611""",334,37,371
"Branford School District","=""0140011""","Mary R. Tisko School","=""0141511""",323,50,373
"Branford School District","=""0140011""","Mary T. Murphy School","=""0141411""",396,33,429
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""",645,57,702
"Bridgeport School District","=""0150011""","Barnum School","=""0150111""",514,111,625
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""",995,182,1177
"Bridgeport School District","=""0150011""","Beardsley School","=""0150211""",334,43,377
"Bridgeport School District","=""0150011""","Black Rock School","=""0150311""",293,55,348
"Bridgeport School District","=""0150011""","Blackham School","=""0154011""",1004,126,1130
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","=""0159011""","*","*",52
"Bridgeport School District","=""0150011""","Bryant School","=""0150411""",377,35,412
"Bridgeport School District","=""0150011""","Central High School","=""0156211""",1902,235,2137
"Bridgeport School District","=""0150011""","Cesar Batalla School","=""0151411""",991,124,1115
"Bridgeport School District","=""0150011""","Classical Studies Academy","=""0152111""",296,14,310
"Bridgeport School District","=""0150011""","Columbus School","=""0150511""",784,93,877
"Bridgeport School District","=""0150011""","Cross School","=""0153911""",356,64,420
"Bridgeport School District","=""0150011""","Curiale School","=""0154211""",687,86,773
"Bridgeport School District","=""0150011""","Discovery Interdistrict Magnet School","=""0153711""",436,21,457
"Bridgeport School District","=""0150011""","Dunbar School","=""0154111""",279,34,313
"Bridgeport School District","=""0150011""","Edison School","=""0150711""",212,32,244
"Bridgeport School District","=""0150011""","Geraldine Johnson School","=""0153211""",714,104,818
"Bridgeport School District","=""0150011""","Hall School","=""0151111""",279,29,308
"Bridgeport School District","=""0150011""","Hallen School","=""0151211""",309,27,336
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""",1102,195,1297
"Bridgeport School District","=""0150011""","High Horizons Magnet School","=""0154511""",411,22,433
"Bridgeport School District","=""0150011""","Hooker School","=""0151311""",333,48,381
"Bridgeport School District","=""0150011""","Interdistrict Discovery Magnet School","=""0153711""",436,21,457
"Bridgeport School District","=""0150011""","Jettie S. Tisdale School","=""0152211""",497,132,629
"Bridgeport School District","=""0150011""","Luis Munoz Marin School","=""0151011""",751,120,871
"Bridgeport School District","=""0150011""","Madison School","=""0152011""",442,64,506
"Bridgeport School District","=""0150011""","Multicultural Magnet School","=""0154611""",427,29,456
"Bridgeport School District","=""0150011""","Park City Academy","=""0159211""","*","*",6
"Bridgeport School District","=""0150011""","Park City Magnet School","=""0151711""",469,57,526
"Bridgeport School District","=""0150011""","Read School","=""0152511""",767,90,857
"Bridgeport School District","=""0150011""","Roosevelt School","=""0152611""",451,73,524
"Bridgeport School District","=""0150011""","Skane Center","=""0154411""",117,114,231
"Bridgeport School District","=""0150011""","Waltersville School","=""0153011""",426,88,514
"Bridgeport School District","=""0150011""","Winthrop School","=""0153611""",644,42,686
"Bristol School District","=""0170011""","Alternative Special Education Program (ASEP)","=""0179011""",0,19,19
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""",1072,190,1262
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""",1093,212,1305
"Bristol School District","=""0170011""","Chippens Hill Middle School","=""0175111""",641,117,758
"Bristol School District","=""0170011""","Community/Vocational Program","=""0179211""",0,10,10
"Bristol School District","=""0170011""","Edgewood School","=""0170311""",326,39,365
"Bristol School District","=""0170011""","Ellen P. Hubbell School","=""0171411""",363,73,436
"Bristol School District","=""0170011""","Greene-Hills School","=""0170511""",796,97,893
"Bristol School District","=""0170011""","Ivy Drive School","=""0171911""",356,67,423
"Bristol School District","=""0170011""","Mountain View School","=""0171711""",370,61,431
"Bristol School District","=""0170011""","Northeast Middle School","=""0175211""",418,82,500
"Bristol School District","=""0170011""","South Side School","=""0171111""",422,67,489
"Bristol School District","=""0170011""","Stafford School","=""0171211""",411,92,503
"Bristol School District","=""0170011""","West Bristol School","=""0172011""",798,103,901
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""",828,90,918
"Brookfield School District","=""0180011""","Center Elementary School","=""0180311""",376,40,416
"Brookfield School District","=""0180011""","Huckleberry Hill Elementary School","=""0180411""",538,67,605
"Brookfield School District","=""0180011""","Whisconier Middle School","=""0185311""",757,94,851
"Brooklyn School District","=""0190011""","Brooklyn Elementary School","=""0190111""",490,53,543
"Brooklyn School District","=""0190011""","Brooklyn Middle School","=""0195111""",336,58,394
"Canaan School District","=""0210011""","Lee H. Kellogg School","=""0210111""",62,13,75
"Canterbury School District","=""0220011""","Canterbury Elementary School","=""0220211""",233,26,259
"Canterbury School District","=""0220011""","Dr. Helen Baldwin Middle School","=""0225111""",212,19,231
"Canton School District","=""0230011""","Canton High School","=""0236111""",461,50,511
"Canton School District","=""0230011""","Canton Intermediate School","=""0230311""",391,39,430
"Canton School District","=""0230011""","Canton Middle School","=""0235111""",248,22,270
"Canton School District","=""0230011""","Cherry Brook Primary School","=""0230211""",503,34,537
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering","=""2415114""",443,48,491
"Capitol Region Education Council","=""2410014""","Academy of Science and Innovation","=""2416514""",313,22,335
"Capitol Region Education Council","=""2410014""","Ana Grace Academy of the Arts Elementary School","=""2410614""",157,7,164
"Capitol Region Education Council","=""2410014""","CREC Discovery Academy","=""2418114""",206,15,221
"Capitol Region Education Council","=""2410014""","CREC Medical Professions and Teacher Preparation Academy","=""2416514""",313,22,335
"Capitol Region Education Council","=""2410014""","Discovery Academy","=""2418114""",206,15,221
"Capitol Region Education Council","=""2410014""","Farmington Valley Regional Diagnostic Center","=""2419214""","*","*",21
"Capitol Region Education Council","=""2410014""","Glastonbury/East Hartford Magnet School","=""2410114""",369,18,387
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""",385,38,423
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of the Arts Magnet Middle","=""2415314""",158,26,184
"Capitol Region Education Council","=""2410014""","Integrated Program Models","=""2419414""",0,6,6
"Capitol Region Education Council","=""2410014""","International Magnet School for Global Citizenship","=""2410414""",328,29,357
"Capitol Region Education Council","=""2410014""","John J. Allison Polaris Center","=""2419014""","*","*",58
"Capitol Region Education Council","=""2410014""","Lincoln Academy Regional Interdistrict Collaborative","=""2419614""","*","*",11
"Capitol Region Education Council","=""2410014""","Medical Professions and Teacher Preparation Academy","=""2416514""",313,22,335
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""",657,59,716
"Capitol Region Education Council","=""2410014""","Montessori Magnet School","=""2413114""",293,47,340
"Capitol Region Education Council","=""2410014""","Museum Academy","=""2410514""",284,27,311
"Capitol Region Education Council","=""2410014""","Public Safety Academy","=""2415214""",314,63,377
"Capitol Region Education Council","=""2410014""","Reggio Magnet School of the Arts","=""2410314""",305,51,356
"Capitol Region Education Council","=""2410014""","River Street Early Learning Center (Site 2)","=""2419514""",7,57,64
"Capitol Region Education Council","=""2410014""","River Street School","=""2419314""",0,151,151
"Capitol Region Education Council","=""2410014""","Soundbridge","=""2419114""",48,38,86
"Capitol Region Education Council","=""2410014""","Two Rivers Magnet High School","=""2416714""",82,14,96
"Capitol Region Education Council","=""2410014""","Two Rivers Magnet Middle School","=""2415014""",591,72,663
"Capitol Region Education Council","=""2410014""","University of Hartford Magnet School","=""2410214""",375,65,440
"Chaplin School District","=""0240011""","Chaplin Elementary School","=""0240211""",168,17,185
"Cheshire School District","=""0250011""","Chapman School","=""0250111""",265,18,283
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""",1352,162,1514
"Cheshire School District","=""0250011""","Darcey School","=""0250211""",249,57,306
"Cheshire School District","=""0250011""","Dodd Middle School","=""0255111""",693,64,757
"Cheshire School District","=""0250011""","Doolittle School","=""0250611""",496,43,539
"Cheshire School District","=""0250011""","Highland School","=""0250411""",712,64,776
"Cheshire School District","=""0250011""","Humiston School","=""0259011""",6,19,25
"Cheshire School District","=""0250011""","Norton School","=""0250511""",416,39,455
"Chester School District","=""0260011""","Chester Elementary School","=""0260111""",210,41,251
"Clinton School District","=""0270011""","Abraham Pierson School","=""0270111""",287,24,311
"Clinton School District","=""0270011""","Jared Eliot School","=""0275111""",392,54,446
"Clinton School District","=""0270011""","Lewin G. Joel Jr. School","=""0270311""",579,66,645
"Clinton School District","=""0270011""","The Morgan School","=""0276111""",521,58,579
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""",829,108,937
