"Student Counts by School and Special Education Status"
"All Districts, All Schools"
"Trend"

"",,,,"Special Education Status",,
"District","District Code","School","School Code","No","Yes","Total"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",6248,602,6850
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",8094,425,8519
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",2799,228,3027
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""",5910,796,6706
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""",4242,684,4926
"Ansonia School District","=""0020011""","Mead School","=""0020311""",5341,743,6084
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""",83,23,106
"Ansonia School District","=""0020011""","P.A.C.E. - PM (Positive And Creative Education - PM)","=""0020411""","*","*",7
"Ansonia School District","=""0020011""","Pine Academy","=""0029011""",32,7,39
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",6371,893,7264
"Area Cooperative Educational Services","=""2440014""","A. C. E. S. Special Education Town Campus Learning Center","=""2449014""","*","*",31
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""",0,239,239
"Area Cooperative Educational Services","=""2440014""","Collaborative Alternative Magnet School","=""2446114""",268,51,319
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",160,1457,1617
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""",6549,729,7278
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""","*","*",1531
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""","*","*",1187
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""","*","*",957
"Area Cooperative Educational Services","=""2440014""","Whitney High School West","=""2449314""",0,477,477
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""",5636,645,6281
"Ashford School District","=""0030011""","Ashford School","=""0030111""",3946,551,4497
"Avon School District","=""0040011""","Avon High School","=""0046111""",9573,1047,10620
"Avon School District","=""0040011""","Avon Middle School","=""0045111""",5174,600,5774
"Avon School District","=""0040011""","Avon Public Schools Pre-K","=""0040111""",94,55,149
"Avon School District","=""0040011""","Pine Grove School","=""0040411""",5516,617,6133
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""",5649,501,6150
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""",4990,623,5613
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""",2733,356,3089
"Barkhamsted School District","=""0050011""","Bridges at Barkhamsted Elementary School","=""0050211""",0,7,7
"Barkhamsted School District","=""0050011""","Shared Services Integrated Preschool","=""0058011""",118,116,234
"Berlin School District","=""0070011""","Berlin High School","=""0076111""",8661,1101,9762
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""",6423,770,7193
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""",4499,798,5297
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""",5144,419,5563
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""",2181,259,2440
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""",4042,649,4691
"Bethel School District","=""0090011""","Anna H. Rockwell School","=""0090411""",3710,364,4074
"Bethel School District","=""0090011""","Bethel High School","=""0096111""",8484,1004,9488
"Bethel School District","=""0090011""","Bethel Middle School","=""0095111""",6160,760,6920
"Bethel School District","=""0090011""","Frank A. Berry School","=""0090111""",4493,627,5120
"Bethel School District","=""0090011""","Ralph M. T. Johnson School","=""0090511""",3939,454,4393
"Bethel School District","=""0090011""","TASK","=""0090311""","*","*",12
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""",5071,709,5780
"Bloomfield School District","=""0110011""","Carmen Arace Intermediate School","=""0110711""",2314,310,2624
"Bloomfield School District","=""0110011""","Carmen Arace Middle School","=""0115211""",2260,331,2591
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""",965,92,1057
"Bloomfield School District","=""0110011""","J. P. Vincent School","=""0110311""",1392,166,1558
"Bloomfield School District","=""0110011""","Laurel School","=""0110611""",2548,225,2773
"Bloomfield School District","=""0110011""","Learning Academy at Bloomfield","=""0116411""",40,19,59
"Bloomfield School District","=""0110011""","Metacomet School","=""0110511""",1909,220,2129
"Bloomfield School District","=""0110011""","The Big Picture High School","=""0116211""",409,35,444
"Bloomfield School District","=""0110011""","Wintonbury Early Childhood Magnet School","=""0110811""",2204,292,2496
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""",4956,545,5501
"Bolton School District","=""0120011""","Bolton High School","=""0126111""",2825,297,3122
"Booker T. Washington Academy District","=""2950013""","Booker T. Washington Academy","=""2950113""",484,28,512
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""",2050,295,2345
"Branford School District","=""0140011""","Branford High School","=""0146111""",9144,1246,10390
"Branford School District","=""0140011""","Branford High School Horizons Program","=""0140211""",60,32,92
"Branford School District","=""0140011""","Francis Walsh Intermediate School","=""0145111""",8530,1436,9966
"Branford School District","=""0140011""","Indian Neck School","=""0148011""",208,285,493
"Branford School District","=""0140011""","John B. Sliney School","=""0141611""",3240,340,3580
"Branford School District","=""0140011""","Mary R. Tisko School","=""0141511""",3573,441,4014
"Branford School District","=""0140011""","Mary T. Murphy School","=""0141411""",3851,376,4227
"Brass City Charter School District","=""2900013""","Brass City Charter School","=""2900113""",626,44,670
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""",5520,489,6009
"Bridgeport School District","=""0150011""","Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus","=""0150811""",1453,131,1584
"Bridgeport School District","=""0150011""","Barnum School","=""0150111""",4848,1090,5938
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""",9143,2013,11156
"Bridgeport School District","=""0150011""","Beardsley School","=""0150211""",3518,440,3958
"Bridgeport School District","=""0150011""","Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus","=""0150611""",1450,107,1557
"Bridgeport School District","=""0150011""","Black Rock School","=""0150311""",3005,447,3452
"Bridgeport School District","=""0150011""","Blackham School","=""0154011""",9920,1194,11114
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","=""0159011""",16,548,564
"Bridgeport School District","=""0150011""","Bridgeport Military Academy","=""0151611""",763,185,948
"Bridgeport School District","=""0150011""","Bryant School","=""0150411""",3638,465,4103
"Bridgeport School District","=""0150011""","Career and Craftsmanship","=""0152711""",59,12,71
"Bridgeport School District","=""0150011""","Central High School","=""0156211""",17737,2270,20007
"Bridgeport School District","=""0150011""","Cesar Batalla School","=""0151411""",10012,1368,11380
"Bridgeport School District","=""0150011""","Classical Studies Academy","=""0152111""",3208,249,3457
"Bridgeport School District","=""0150011""","Columbus School","=""0150511""",6814,765,7579
"Bridgeport School District","=""0150011""","Cross School","=""0153911""",3396,605,4001
"Bridgeport School District","=""0150011""","Curiale School","=""0154211""",5894,739,6633
"Bridgeport School District","=""0150011""","Discovery Interdistrict Magnet School","=""0153711""",2757,167,2924
"Bridgeport School District","=""0150011""","Dunbar School","=""0154111""",3141,418,3559
"Bridgeport School District","=""0150011""","Edison School","=""0150711""",2447,352,2799
"Bridgeport School District","=""0150011""","Garfield School","=""0150911""",248,30,278
"Bridgeport School District","=""0150011""","Geraldine Johnson School","=""0153211""",6574,1023,7597
"Bridgeport School District","=""0150011""","Hall School","=""0151111""",2527,310,2837
"Bridgeport School District","=""0150011""","Hallen School","=""0151211""",2888,397,3285
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""",11128,2063,13191
"Bridgeport School District","=""0150011""","High Horizons Magnet School","=""0154511""",4071,200,4271
"Bridgeport School District","=""0150011""","Hooker School","=""0151311""",3524,547,4071
"Bridgeport School District","=""0150011""","Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus","=""0151511""",1497,98,1595
"Bridgeport School District","=""0150011""","Interdistrict Discovery Magnet School","=""0153711""",2757,167,2924
"Bridgeport School District","=""0150011""","Jettie S. Tisdale School","=""0152211""",5041,1122,6163
"Bridgeport School District","=""0150011""","Longfellow School","=""0151911""",1923,267,2190
"Bridgeport School District","=""0150011""","Luis Munoz Marin School","=""0151011""",7587,1120,8707
"Bridgeport School District","=""0150011""","Madison School","=""0152011""",4576,759,5335
"Bridgeport School District","=""0150011""","Make The Grade","=""0159511""",182,17,199
"Bridgeport School District","=""0150011""","Maplewood Annex","=""0154311""",147,40,187
"Bridgeport School District","=""0150011""","Multicultural Magnet School","=""0154611""",4273,327,4600
"Bridgeport School District","=""0150011""","New Start Program","=""0159411""",98,0,98
"Bridgeport School District","=""0150011""","Opportunities for Self-Discovery Community Partnership","=""0152811""",0,22,22
"Bridgeport School District","=""0150011""","Parent-Children Program","=""0158011""",0,"*","*"
"Bridgeport School District","=""0150011""","Park City Academy","=""0159211""",81,21,102
"Bridgeport School District","=""0150011""","Park City Magnet School","=""0151711""",4496,526,5022
"Bridgeport School District","=""0150011""","Pride Academy","=""0151811""",47,10,57
"Bridgeport School District","=""0150011""","Read School","=""0152511""",7912,840,8752
"Bridgeport School District","=""0150011""","Roosevelt School","=""0152611""",4894,765,5659
"Bridgeport School District","=""0150011""","Skane Center","=""0154411""",1302,1211,2513
"Bridgeport School District","=""0150011""","The University School","=""0159111""",15,83,98
"Bridgeport School District","=""0150011""","Waltersville School","=""0153011""",4263,808,5071
"Bridgeport School District","=""0150011""","Winthrop School","=""0153611""",6480,553,7033
"Bristol School District","=""0170011""","ACCESS","=""0170211""",0,"*","*"
"Bristol School District","=""0170011""","Alternative Special Education Program (ASEP)","=""0179011""","*","*",200
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""",10955,1916,12871
"Bristol School District","=""0170011""","Bristol Early Childhood Center-BECC","=""0170411""",106,117,223
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""",10947,1879,12826
"Bristol School District","=""0170011""","Bristol Preparatory Academy","=""0173311""",138,0,138
"Bristol School District","=""0170011""","CHMS GOAL","=""0173411""",0,21,21
"Bristol School District","=""0170011""","Chippens Hill Middle School","=""0175111""",6863,1246,8109
"Bristol School District","=""0170011""","Chippens Hill Middle School Functional Program","=""0171011""","*","*",32
"Bristol School District","=""0170011""","Chms Goal","=""0173411""",0,21,21
"Bristol School District","=""0170011""","Clara T. O'Connell School","=""0170711""",1584,209,1793
"Bristol School District","=""0170011""","Clarence A. Bingham School","=""0170111""",647,84,731
"Bristol School District","=""0170011""","Community/Vocational Program","=""0179211""",0,102,102
"Bristol School District","=""0170011""","Edgewood School","=""0170311""",3269,317,3586
"Bristol School District","=""0170011""","Ellen P. Hubbell School","=""0171411""",4088,633,4721
"Bristol School District","=""0170011""","Extended Resource Self-Contained","=""0173611""",0,8,8
"Bristol School District","=""0170011""","Greene-Hills GOAL","=""0170911""",0,"*","*"
"Bristol School District","=""0170011""","Greene-Hills School","=""0170511""",5571,771,6342
"Bristol School District","=""0170011""","Hubbell Autism Program","=""0173711""",0,10,10
