"Student Counts by School and Year"
"All Districts, All Schools"
"Trend"

"",,,,"Year",,,,,,,,,,
"District","District Code","School","School Code","2007-08","2008-09","2009-10","2010-11","2011-12","2012-13","2013-14","2014-15","2015-16","2016-17","Total"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",0,261,440,610,762,824,870,954,1063,1066,6850
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",547,641,744,812,857,904,937,984,1036,1057,8519
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",347,334,336,334,314,314,298,275,250,225,3027
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""",760,717,777,727,695,631,602,584,597,616,6706
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""",596,582,477,458,472,463,493,498,446,441,4926
"Ansonia School District","=""0020011""","Mead School","=""0020311""",599,616,660,642,610,619,566,597,595,580,6084
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""",0,0,0,0,0,0,0,40,35,31,106
"Ansonia School District","=""0020011""","P.A.C.E. - PM (Positive And Creative Education - PM)","=""0020411""",0,0,0,0,0,0,0,0,0,7,7
"Ansonia School District","=""0020011""","Pine Academy","=""0029011""",0,39,0,0,0,0,0,0,0,0,39
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",776,759,811,787,738,699,661,680,688,665,7264
"Area Cooperative Educational Services","=""2440014""","A. C. E. S. Special Education Town Campus Learning Center","=""2449014""",19,12,0,0,0,0,0,0,0,0,31
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""",0,0,0,19,31,36,36,39,38,40,239
"Area Cooperative Educational Services","=""2440014""","Collaborative Alternative Magnet School","=""2446114""",99,110,110,0,0,0,0,0,0,0,319
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",176,170,148,170,160,147,151,160,167,168,1617
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""",752,748,733,720,721,722,711,713,726,732,7278
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""",174,176,176,153,148,149,151,151,135,118,1531
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""",125,128,123,128,114,114,114,113,113,115,1187
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""",92,93,100,102,94,89,100,90,95,102,957
"Area Cooperative Educational Services","=""2440014""","Whitney High School West","=""2449314""",56,56,56,53,47,45,39,42,42,41,477
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""",605,605,630,646,640,630,631,631,632,631,6281
"Ashford School District","=""0030011""","Ashford School","=""0030111""",500,485,475,476,481,439,423,415,397,406,4497
"Avon School District","=""0040011""","Avon High School","=""0046111""",1036,1052,1079,1088,1112,1083,1057,1051,1038,1024,10620
"Avon School District","=""0040011""","Avon Middle School","=""0045111""",582,589,601,584,572,611,584,548,545,558,5774
"Avon School District","=""0040011""","Avon Public Schools Pre-K","=""0040111""",0,0,0,0,0,0,0,48,45,56,149
