"Percentage of Revenue by Source (Excluding School Construction), 2012-13"
"All Districts"

"","_","_","_","_"
"District","Local","State","Federal","Tuition & Other"
"Achievement First Hartford Academy Inc. District",0.0,82.1,7.7,10.1
="Amistad Academy District",0.0,83.8,14.0,2.2
="Andover School District",64.0,33.7,2.3,0.0
="Ansonia School District",40.1,54.3,5.2,0.4
="Ashford School District",57.7,39.5,2.8,0.0
="Avon School District",92.5,5.7,1.5,0.3
="Barkhamsted School District",74.0,23.2,2.8,0.0
="Berlin School District",80.6,17.2,2.2,0.1
="Bethany School District",81.8,15.7,2.6,0.0
="Bethel School District",77.6,20.5,1.9,0.0
="Bloomfield School District",72.4,21.6,4.3,1.7
="Bolton School District",71.7,26.7,1.5,0.1
="Bozrah School District",71.9,26.0,2.1,0.0
="Branford School District",91.7,5.4,2.5,0.4
="Bridgeport Achievement First District",0.0,76.5,12.4,11.0
="Bridgeport School District",18.3,73.1,7.8,0.8
="Bristol School District",51.2,45.1,3.4,0.3
="Brookfield School District",93.1,5.2,1.7,0.0
="Brooklyn School District",51.9,45.5,2.6,0.0
="Canaan School District",90.9,6.8,2.3,0.0
="Canterbury School District",55.0,40.7,4.4,0.0
="Canton School District",80.4,17.9,1.7,0.0
="Chaplin School District",59.3,37.9,2.7,0.0
="Cheshire School District",80.7,16.6,2.2,0.5
="Chester School District",88.9,8.1,2.3,0.7
="Clinton School District",75.7,22.5,1.9,0.0
="Colchester School District",58.5,38.6,2.1,0.7
="Colebrook School District",82.7,14.2,2.9,0.1
="Columbia School District",73.2,25.0,1.9,0.0
="Common Ground High School District",0.0,71.0,6.5,22.5
="Cornwall School District",94.7,3.1,1.8,0.3
="Coventry School District",59.4,37.4,3.0,0.2
="Cromwell School District",77.4,19.9,2.6,0.0
="Danbury School District",69.1,26.2,4.2,0.6
="Darien School District",94.1,4.8,0.9,0.1
="Deep River School District",78.9,18.1,3.0,0.0
="Derby School District",58.1,37.6,4.3,0.0
="East Granby School District",85.4,13.3,1.3,0.0
="East Haddam School District",72.6,21.9,2.4,3.1
="East Hampton School District",70.6,27.6,1.7,0.1
="East Hartford School District",43.1,49.9,6.6,0.4
="East Haven School District",51.3,42.2,2.9,3.6
="East Lyme School District",79.4,19.1,1.3,0.2
="East Windsor School District",65.5,32.1,2.4,0.0
="Eastford School District",63.5,32.6,3.2,0.6
="Easton School District",93.5,5.2,1.3,0.0
="Ellington School District",65.7,32.6,1.7,0.0
="Elm City College Preparatory School District",0.0,72.1,9.5,18.4
="Enfield School District",55.2,40.5,4.3,0.0
="Essex School District",94.2,3.3,2.5,0.0
="Explorations District",13.3,60.4,4.6,21.6
="Fairfield School District",94.0,4.1,1.8,0.1
="Farmington School District",92.6,4.8,1.6,0.9
="Franklin School District",73.0,25.0,2.0,0.1
="Glastonbury School District",89.5,8.7,1.9,0.0
="Granby School District",75.9,22.3,1.8,0.0
="Greenwich School District",94.9,3.1,2.0,0.0
="Griswold School District",51.5,45.1,3.0,0.3
="Groton School District",62.0,35.6,2.4,0.0
="Guilford School District",90.2,8.0,1.6,0.2
="Hamden School District",72.9,24.3,2.7,0.1
="Hampton School District",62.8,35.1,1.9,0.1
="Hartford School District",20.5,70.0,7.6,1.8
="Hartland School District",68.1,29.9,2.0,0.0
="Hebron School District",68.7,29.7,1.6,0.0
="Highville Charter School District",4.3,85.8,7.8,2.1
="Integrated Day Charter School District",0.0,92.3,2.6,5.1
="Interdistrict School for Arts and Comm District",0.0,81.1,3.0,16.0
="Jumoke Academy District",0.0,80.2,4.3,15.5
="Kent School District",92.2,5.3,2.5,0.0
="Killingly School District",53.6,43.7,2.5,0.2
="Lebanon School District",63.5,34.5,1.9,0.0
="Ledyard School District",57.9,39.9,1.9,0.2
="Lisbon School District",56.0,42.1,1.8,0.1
="Litchfield School District",87.0,9.5,2.3,1.2
="Madison School District",93.0,4.9,1.7,0.4
="Manchester School District",64.2,31.1,4.2,0.5
="Mansfield School District",62.7,34.0,3.3,0.0
="Marlborough School District",73.4,24.1,2.3,0.1
="Meriden School District",39.6,55.1,5.0,0.2
="Middletown School District",66.7,29.6,3.3,0.5
="Milford School District",86.5,11.4,2.1,0.1
="Monroe School District",84.9,13.5,1.6,0.1
="Montville School District",61.8,35.9,2.2,0.1
="Naugatuck School District",49.1,46.6,4.2,0.0
="New Beginnings Inc., Family Academy District",0.0,83.2,10.1,6.7
="New Britain School District",27.6,62.8,8.9,0.8
="New Canaan School District",95.8,3.0,1.2,0.0
="New Fairfield School District",85.2,12.9,1.7,0.2
="New Hartford School District",76.1,21.6,2.3,0.0
="New Haven School District",22.5,66.4,10.3,0.9
="New London School District",33.5,58.9,7.1,0.5
="New Milford School District",74.3,22.7,2.4,0.6
="Newington School District",76.1,22.2,1.7,0.0
