"Percentage of Revenue by Source (Excluding School Construction), 2010-11"
"All Districts"

"","_","_","_","_"
"District","Local","State","Federal","Tuition & Other"
"Achievement First Hartford Academy Inc. District",0.0,77.5,10.1,12.4
="Amistad Academy District",0.0,66.7,8.4,25.0
="Andover School District",60.7,28.1,11.1,0.2
="Ansonia School District",30.1,54.1,15.2,0.6
="Ashford School District",52.0,36.8,10.7,0.5
="Avon School District",92.2,4.7,2.5,0.6
="Barkhamsted School District",68.3,20.6,11.1,0.0
="Berlin School District",80.2,14.9,4.7,0.2
="Bethany School District",74.8,16.6,8.5,0.1
="Bethel School District",75.4,19.1,5.6,0.0
="Bloomfield School District",75.1,18.7,5.5,0.7
="Bolton School District",63.2,23.5,5.9,7.4
="Bozrah School District",69.9,22.1,8.0,0.0
="Branford School District",91.6,4.6,3.5,0.2
="Bridgeport Achievement First District",18.2,68.7,9.0,4.0
="Bridgeport School District",15.3,62.0,22.0,0.8
="Bristol School District",51.6,37.8,10.0,0.6
="Brookfield School District",91.2,5.4,3.3,0.0
="Brooklyn School District",49.5,39.2,11.4,0.0
="Canaan School District",89.3,5.4,5.3,0.1
="Canterbury School District",50.3,40.5,8.9,0.3
="Canton School District",79.9,15.5,3.9,0.7
="Chaplin School District",54.4,33.9,10.1,1.6
="Charter School for Young Children on Asylum Hill District",0.0,65.7,8.1,26.2
="Cheshire School District",79.7,14.5,5.1,0.7
="Chester School District",86.8,7.9,5.3,0.0
="Clinton School District",74.8,19.7,5.5,0.0
="Colchester School District",56.9,34.7,7.8,0.5
="Colebrook School District",81.0,10.9,8.1,0.0
="Columbia School District",73.2,21.1,5.6,0.1
="Common Ground High School District",2.3,63.6,16.4,17.7
="Cornwall School District",95.3,1.7,2.8,0.2
="Coventry School District",58.7,33.4,7.6,0.3
="Cromwell School District",77.1,16.0,6.8,0.0
="Danbury School District",67.7,23.1,8.6,0.6
="Darien School District",92.2,5.9,1.9,0.1
="Deep River School District",72.5,17.8,9.7,0.0
="Derby School District",57.0,32.7,10.3,0.1
="East Granby School District",85.8,10.6,3.6,0.0
="East Haddam School District",72.0,19.6,5.1,3.2
="East Hampton School District",66.0,26.7,7.2,0.1
="East Hartford School District",36.3,44.8,14.0,4.8
="East Haven School District",49.1,34.2,9.8,6.9
="East Lyme School District",72.6,17.1,3.6,6.7
="East Windsor School District",65.4,26.1,7.8,0.7
="Eastford School District",63.3,28.7,7.9,0.1
="Easton School District",92.2,4.7,2.3,0.8
="Ellington School District",63.4,29.5,6.7,0.5
="Elm City College Preparatory School District",0.0,70.0,8.3,21.7
="Enfield School District",53.4,34.7,11.5,0.4
="Essex School District",92.7,2.9,4.4,0.0
="Explorations District",0.0,66.2,2.9,30.9
="Fairfield School District",93.5,4.2,2.2,0.1
="Farmington School District",91.2,4.2,3.2,1.5
="Franklin School District",72.1,20.9,6.3,0.7
="Glastonbury School District",87.8,8.1,3.4,0.6
="Granby School District",72.1,19.5,5.3,3.0
="Greenwich School District",94.0,2.9,2.8,0.3
="Griswold School District",48.0,36.4,9.4,6.3
="Groton School District",60.2,30.8,8.8,0.2
="Guilford School District",90.1,6.7,3.1,0.1
="Hamden School District",71.7,20.9,7.3,0.0
="Hampton School District",54.9,32.6,11.6,1.0
="Hartford School District",22.8,59.1,16.8,1.3
="Hartland School District",64.9,25.4,9.5,0.2
="Hebron School District",62.6,26.9,10.5,0.0
="Highville Charter School District",0.0,87.8,9.6,2.6
="Integrated Day Charter School District",0.0,95.1,2.5,2.3
="Interdistrict School for Arts and Comm District",0.0,75.2,3.3,21.5
="Jumoke Academy District",0.0,84.1,6.2,9.7
="Kent School District",88.7,6.3,4.1,0.9
="Killingly School District",47.8,37.9,10.2,4.2
="Lebanon School District",56.4,29.5,7.5,6.7
="Ledyard School District",53.6,35.3,7.3,3.8
="Lisbon School District",51.9,35.8,8.2,4.1
="Litchfield School District",87.2,8.4,3.5,0.9
="Madison School District",92.0,4.7,2.8,0.4
="Manchester School District",61.3,26.4,10.8,1.6
="Mansfield School District",60.9,29.1,9.7,0.4
="Marlborough School District",69.9,21.1,9.1,0.0
="Meriden School District",39.1,46.2,14.2,0.5
="Middletown School District",64.4,26.5,8.2,0.9
="Milford School District",85.1,10.2,4.6,0.1
="Monroe School District",82.9,11.6,4.5,1.0
="Montville School District",59.9,30.5,8.4,1.1
="Naugatuck School District",47.0,40.9,12.1,0.1
="New Beginnings Inc., Family Academy District",0.0,86.4,10.1,3.5
="New Britain School District",25.2,52.8,21.1,1.0
="New Canaan School District",95.1,2.9,2.1,0.0
="New Fairfield School District",83.9,10.9,4.1,1.1
="New Hartford School District",73.8,18.3,7.8,0.1
="New Haven School District",24.2,54.6,19.8,1.4
="New London School District",34.9,49.7,14.4,0.9
="New Milford School District",72.5,18.8,6.4,2.3
="Newington School District",75.1,18.8,6.0,0.2
="Newtown School District",88.7,7.8,3.3,0.2
="Norfolk School District",87.4,6.8,5.3,0.5
="North Branford School District",68.6,25.0,6.4,0.0
="North Canaan School District",66.2,24.2,9.4,0.1
="North Haven School District",86.6,9.4,4.0,0.0
="North Stonington School District",72.4,21.1,6.4,0.1
="Norwalk School District",82.1,13.2,4.0,0.6
="Norwich School District",39.9,46.8,12.7,0.6
="Odyssey Community School District",0.0,88.6,2.4,9.1
="Old Saybrook School District",91.5,3.9,3.3,1.3
="Orange School District",91.8,4.9,3.3,0.0
="Oxford School District",77.7,16.9,5.4,0.0
="Park City Prep Charter School District",0.0,93.5,6.5,0.0
="Plainfield School District",43.0,40.6,11.7,4.7
="Plainville School District",62.0,29.8,7.5,0.8
="Plymouth School District",51.3,39.0,9.6,0.0
="Pomfret School District",59.9,30.9,8.7,0.6
="Portland School District",72.5,20.8,6.7,0.1
="Preston School District",65.4,28.1,5.9,0.6
="Putnam School District",41.1,43.8,13.2,2.0
="Redding School District",93.1,3.5,2.4,1.0
="Regional School District 01",85.3,10.1,4.3,0.3
="Regional School District 04",87.2,10.0,2.8,0.0
="Regional School District 05",91.0,6.8,2.0,0.2
="Regional School District 06",83.9,7.3,3.2,5.7
="Regional School District 07",74.0,17.1,2.6,6.3
="Regional School District 08",72.8,24.6,2.5,0.2
="Regional School District 09",94.1,4.5,1.4,0.0
="Regional School District 10",71.6,23.4,4.7,0.2
="Regional School District 11",66.2,29.8,3.3,0.6
="Regional School District 12",92.9,3.1,2.7,1.3
="Regional School District 13",76.9,18.5,4.4,0.3
="Regional School District 14",79.6,10.6,3.8,6.0
="Regional School District 15",89.6,7.3,2.7,0.5
="Regional School District 16",67.2,25.1,7.6,0.1
="Regional School District 17",84.1,11.3,4.4,0.1
="Regional School District 18",93.7,4.2,2.0,0.0
="Regional School District 19",61.4,29.4,2.8,6.4
="Ridgefield School District",93.6,3.5,2.5,0.3
="Rocky Hill School District",85.4,10.1,4.2,0.3
="Salem School District",65.3,28.2,6.4,0.1
="Salisbury School District",92.8,2.2,4.6,0.4
