"Percentage of Revenue by Source (Excluding School Construction), 2011-12"
"All Districts"

"","_","_","_","_"
"District","Local","State","Federal","Tuition & Other"
"Achievement First Hartford Academy Inc. District",0.0,87.0,5.1,7.9
="Amistad Academy District",7.0,66.5,8.7,17.8
="Andover School District",64.2,32.0,3.8,0.0
="Ansonia School District",31.6,59.7,7.9,0.8
="Ashford School District",53.5,41.4,5.1,0.0
="Avon School District",92.8,5.5,1.6,0.1
="Barkhamsted School District",71.6,23.6,4.3,0.6
="Berlin School District",81.0,16.5,2.5,0.0
="Bethany School District",78.3,17.6,4.1,0.0
="Bethel School District",75.8,21.2,3.0,0.0
="Bloomfield School District",73.9,20.9,4.8,0.3
="Bolton School District",69.5,27.3,3.1,0.1
="Bozrah School District",70.4,26.6,3.1,0.0
="Branford School District",92.1,5.2,2.5,0.1
="Bridgeport Achievement First District",0.0,67.2,8.6,24.2
="Bridgeport School District",16.9,72.5,10.1,0.5
="Bristol School District",50.9,43.1,5.8,0.2
="Brookfield School District",91.9,5.9,2.2,0.0
="Brooklyn School District",50.4,45.5,4.1,0.0
="Canaan School District",90.5,6.8,2.6,0.0
="Canterbury School District",51.3,45.5,3.3,0.0
="Canton School District",79.2,17.8,3.0,0.0
="Chaplin School District",58.3,37.6,4.1,0.0
="Cheshire School District",80.3,16.7,2.5,0.6
="Chester School District",89.1,8.0,2.8,0.0
="Clinton School District",74.5,22.6,3.0,0.0
="Colchester School District",57.5,38.5,3.4,0.6
="Colebrook School District",83.8,13.0,3.1,0.1
="Columbia School District",71.3,25.7,3.0,0.0
="Common Ground High School District",6.3,68.2,7.9,17.6
="Cornwall School District",96.0,2.1,1.7,0.2
="Coventry School District",61.7,35.7,2.5,0.1
="Cromwell School District",76.3,19.9,3.8,0.0
="Danbury School District",68.8,25.4,5.1,0.7
="Darien School District",93.4,5.4,1.1,0.1
="Deep River School District",76.6,20.0,3.4,0.0
="Derby School District",56.7,37.3,6.0,0.0
="East Granby School District",85.2,12.7,2.1,0.1
="East Haddam School District",72.5,21.6,2.9,3.0
="East Hampton School District",68.6,28.9,2.4,0.1
="East Hartford School District",40.2,50.1,9.4,0.3
="East Haven School District",50.4,39.8,5.5,4.3
="East Lyme School District",78.3,19.4,2.1,0.2
="East Windsor School District",65.8,30.8,3.3,0.2
="Eastford School District",63.0,33.4,2.8,0.7
="Easton School District",92.2,6.0,1.7,0.0
="Ellington School District",63.7,32.9,3.5,0.0
="Elm City College Preparatory School District",13.2,65.1,8.5,13.2
="Enfield School District",53.3,40.7,6.0,0.0
="Essex School District",94.7,3.1,2.2,0.0
="Explorations District",0.0,61.1,2.9,36.0
="Fairfield School District",94.2,4.2,1.5,0.0
="Farmington School District",92.8,4.7,1.5,1.0
="Franklin School District",72.9,23.8,3.2,0.0
="Glastonbury School District",89.0,8.7,2.2,0.1
="Granby School District",75.0,22.2,2.8,0.0
="Greenwich School District",94.9,3.1,2.1,0.0
="Griswold School District",50.2,44.4,5.2,0.2
="Groton School District",60.4,35.0,4.6,0.1
="Guilford School District",90.4,7.3,2.1,0.1
="Hamden School District",72.8,24.1,2.8,0.2
="Hampton School District",63.4,33.1,3.1,0.4
="Hartford School District",21.5,67.2,10.6,0.7
="Hartland School District",67.3,30.7,2.0,0.0
="Hebron School District",67.1,30.1,2.8,0.0
="Highville Charter School District",0.0,87.9,9.1,3.1
="Integrated Day Charter School District",0.3,91.5,2.8,5.4
="Interdistrict School for Arts and Comm District",0.0,70.9,3.3,25.8
="Jumoke Academy District",0.0,84.5,5.5,10.0
="Kent School District",92.2,5.4,2.4,0.1
="Killingly School District",50.8,43.9,5.0,0.3
="Lebanon School District",63.2,33.8,3.0,0.0
="Ledyard School District",56.8,39.0,4.1,0.1
="Lisbon School District",54.3,41.7,3.9,0.1
="Litchfield School District",87.0,9.9,2.9,0.2
="Madison School District",92.5,4.8,2.2,0.5
="Manchester School District",62.7,30.5,6.5,0.3
="Mansfield School District",63.7,33.5,2.8,0.0
="Marlborough School District",72.5,24.2,3.3,0.0
="Meriden School District",40.0,52.5,7.4,0.2
="Middletown School District",64.7,30.4,4.6,0.4
="Milford School District",85.8,11.5,2.6,0.1
="Monroe School District",84.4,13.4,1.9,0.2
="Montville School District",60.8,35.0,4.0,0.2
="Naugatuck School District",46.5,46.5,6.9,0.1
="New Beginnings Inc., Family Academy District",0.0,81.6,11.3,7.1
="New Britain School District",27.5,63.7,7.7,1.1
="New Canaan School District",95.9,2.9,1.2,0.0
="New Fairfield School District",84.9,12.4,2.5,0.2
="New Hartford School District",74.3,22.1,3.6,0.0
="New Haven School District",25.6,62.9,11.0,0.6
="New London School District",34.7,55.2,9.6,0.5
="New Milford School District",74.8,22.2,3.0,0.1
="Newington School District",75.4,21.6,3.0,0.0
="Newtown School District",88.5,8.2,2.2,1.1
="Norfolk School District",89.3,7.7,2.6,0.3
="North Branford School District",68.0,29.2,2.8,0.0
="North Canaan School District",67.7,28.0,4.2,0.1
="North Haven School District",87.1,10.3,2.6,0.0
="North Stonington School District",72.3,24.0,3.7,0.0
="Norwalk School District",82.6,13.6,3.2,0.6
="Norwich School District",41.3,52.9,5.4,0.4
="Odyssey Community School District",0.0,87.9,1.4,10.7
="Old Saybrook School District",92.1,4.6,2.0,1.3
="Orange School District",92.4,5.6,2.0,0.0
="Oxford School District",79.0,19.2,1.8,0.0
="Park City Prep Charter School District",0.0,94.1,5.9,0.0
="Plainfield School District",46.2,49.6,4.2,0.0
="Plainville School District",62.8,33.5,3.3,0.4
="Plymouth School District",50.4,44.8,4.9,0.0
="Pomfret School District",60.0,36.7,3.2,0.1
="Portland School District",72.2,24.4,3.3,0.0
="Preston School District",63.9,32.3,3.7,0.0
="Putnam School District",40.3,52.5,6.4,0.9
="Redding School District",94.9,3.5,1.6,0.0
="Regional School District 01",86.5,10.7,2.8,0.0
="Regional School District 04",89.7,8.7,1.5,0.1
="Regional School District 05",91.3,6.9,1.8,0.0
="Regional School District 06",89.5,8.4,2.1,0.0
="Regional School District 07",78.7,19.2,1.9,0.2
="Regional School District 08",68.8,28.3,2.9,0.0
="Regional School District 09",93.8,4.7,1.5,0.0
="Regional School District 10",71.9,24.7,3.2,0.2
="Regional School District 11",60.5,35.6,3.7,0.2
="Regional School District 12",95.1,3.3,1.6,0.0
="Regional School District 13",76.5,20.4,2.9,0.2
="Regional School District 14",86.6,11.1,2.3,0.0
="Regional School District 15",90.1,7.9,2.0,0.0
="Regional School District 16",67.5,30.2,2.2,0.0
="Regional School District 17",83.8,13.7,1.7,0.9
="Regional School District 18",94.0,4.7,1.3,0.0
="Regional School District 19",63.7,33.0,3.3,0.0
="Ridgefield School District",93.9,4.4,1.5,0.1
