"Percentage of Revenue by Source (Including School Construction), 2012-13"
"All Districts"

"","_","_","_","_"
"District","Local","State","Federal","Tuition & Other"
"Achievement First Hartford Academy Inc. District",0.0,77.5,7.3,15.2
="Amistad Academy District",0.0,80.5,12.3,7.2
="Andover School District",65.0,32.7,2.2,0.0
="Ansonia School District",39.2,56.2,4.3,0.3
="Ashford School District",57.7,39.5,2.8,0.0
="Avon School District",93.1,5.3,1.4,0.3
="Barkhamsted School District",74.0,23.2,2.8,0.0
="Berlin School District",78.3,19.6,2.1,0.0
="Bethany School District",80.8,16.8,2.4,0.0
="Bethel School District",78.5,19.6,1.8,0.0
="Bloomfield School District",73.2,21.5,3.8,1.5
="Bolton School District",72.7,25.8,1.4,0.1
="Bozrah School District",73.2,24.8,2.0,0.0
="Branford School District",90.7,6.6,2.4,0.4
="Bridgeport Achievement First District",0.0,71.4,11.6,16.9
="Bridgeport School District",17.0,76.0,6.3,0.7
="Bristol School District",49.5,47.2,3.0,0.3
="Brookfield School District",93.2,5.2,1.6,0.0
="Brooklyn School District",49.3,48.2,2.5,0.0
="Canaan School District",90.2,7.6,2.2,0.0
="Canterbury School District",50.5,45.1,4.4,0.0
="Canton School District",80.9,17.5,1.6,0.0
="Chaplin School District",59.3,37.9,2.7,0.0
="Cheshire School District",80.4,17.0,2.1,0.5
="Chester School District",88.9,8.1,2.3,0.7
="Clinton School District",76.0,22.1,1.8,0.0
="Colchester School District",59.4,37.9,2.0,0.7
="Colebrook School District",82.8,14.2,2.9,0.1
="Columbia School District",72.5,25.7,1.8,0.0
="Common Ground High School District",0.0,77.0,5.1,17.9
="Cornwall School District",95.0,2.9,1.7,0.3
="Coventry School District",61.1,35.8,2.9,0.2
="Cromwell School District",78.8,18.6,2.5,0.0
="Danbury School District",69.5,25.9,4.1,0.5
="Darien School District",94.4,4.6,0.8,0.1
="Deep River School District",78.9,18.1,3.0,0.0
="Derby School District",59.4,36.4,4.2,0.0
="East Granby School District",68.5,30.5,1.0,0.0
="East Haddam School District",73.5,21.5,2.2,2.8
="East Hampton School District",65.9,32.4,1.7,0.1
="East Hartford School District",42.6,50.5,6.5,0.4
="East Haven School District",51.4,42.7,2.7,3.3
="East Lyme School District",80.5,18.0,1.3,0.2
="East Windsor School District",64.7,32.8,2.4,0.0
="Eastford School District",66.8,29.7,2.9,0.6
="Easton School District",94.3,4.5,1.2,0.0
="Ellington School District",66.9,31.5,1.6,0.0
="Elm City College Preparatory School District",0.0,75.5,7.9,16.6
="Enfield School District",55.6,40.1,4.2,0.0
="Essex School District",92.2,5.5,2.2,0.0
="Explorations District",13.3,60.3,4.6,21.8
="Fairfield School District",93.6,4.8,1.6,0.1
="Farmington School District",92.7,4.9,1.5,0.9
="Franklin School District",71.2,26.7,2.0,0.1
="Glastonbury School District",86.7,11.5,1.7,0.0
="Granby School District",77.2,21.2,1.6,0.0
="Greenwich School District",95.1,3.0,1.9,0.0
="Griswold School District",54.7,42.2,2.8,0.3
="Groton School District",63.4,34.3,2.3,0.0
="Guilford School District",90.5,7.7,1.6,0.2
="Hamden School District",72.9,24.5,2.5,0.1
="Hampton School District",63.7,34.3,1.9,0.1
="Hartford School District",19.9,72.1,6.4,1.5
="Hartland School District",68.1,29.9,2.0,0.0
="Hebron School District",69.6,28.9,1.5,0.0
="Highville Charter School District",4.3,85.8,7.8,2.1
="Integrated Day Charter School District",0.0,87.9,2.5,9.6
="Interdistrict School for Arts and Comm District",0.0,44.8,1.7,53.6
="Jumoke Academy District",0.0,71.0,3.8,25.2
="Kent School District",93.0,4.8,2.2,0.0
="Killingly School District",55.7,41.7,2.4,0.2
="Lebanon School District",64.3,33.8,1.9,0.0
="Ledyard School District",58.8,39.1,1.9,0.2
="Lisbon School District",56.7,41.4,1.8,0.1
="Litchfield School District",88.1,8.7,2.1,1.1
="Madison School District",93.3,4.7,1.6,0.4
="Manchester School District",60.2,35.2,4.1,0.5
="Mansfield School District",62.9,33.8,3.3,0.0
="Marlborough School District",75.2,22.5,2.2,0.1
="Meriden School District",37.1,58.0,4.8,0.2
="Middletown School District",68.8,27.6,3.1,0.4
="Milford School District",85.6,12.4,1.9,0.0
="Monroe School District",84.9,13.6,1.5,0.1
="Montville School District",62.2,35.6,2.1,0.1
="Naugatuck School District",49.2,46.6,4.2,0.0
