"Percentage of Revenue by Source (Including School Construction), 2009-10"
"All Districts"

"","_","_","_","_"
"District","Local","State","Federal","Tuition & Other"
"Achievement First Hartford Academy Inc. District",0.0,72.5,11.2,16.3
="Amistad Academy District",0.0,79.5,7.1,13.3
="Andover School District",58.9,29.2,11.8,0.2
="Ansonia School District",29.1,56.5,13.5,0.9
="Ashford School District",48.8,38.6,12.5,0.0
="Avon School District",91.4,5.3,3.1,0.2
="Barkhamsted School District",67.9,21.3,10.8,0.0
="Berlin School District",79.6,15.4,4.9,0.2
="Bethany School District",76.2,16.7,7.1,0.1
="Bethel School District",73.6,20.8,5.6,0.1
="Bloomfield School District",56.3,38.6,4.4,0.7
="Bolton School District",64.9,25.0,4.4,5.6
="Bozrah School District",68.4,26.0,5.2,0.4
="Branford School District",90.0,5.9,3.7,0.4
="Bridgeport Achievement First District",1.2,52.9,9.9,36.0
="Bridgeport School District",17.2,64.3,17.6,0.8
="Bristol School District",50.0,38.5,10.6,0.9
="Brookfield School District",89.0,8.0,3.0,0.0
="Brooklyn School District",48.7,42.3,9.0,0.0
="Canaan School District",89.0,7.3,3.6,0.1
="Canterbury School District",51.4,39.4,9.2,0.0
="Canton School District",80.4,15.1,3.8,0.6
="Chaplin School District",51.9,35.5,11.1,1.6
="Charter School for Young Children on Asylum Hill District",0.4,66.6,10.9,22.1
="Cheshire School District",79.8,15.2,4.3,0.7
="Chester School District",84.8,9.6,5.2,0.3
="Clinton School District",74.7,19.7,5.5,0.1
="Colchester School District",56.6,34.8,8.2,0.4
="Colebrook School District",79.1,13.2,7.3,0.4
="Columbia School District",71.8,23.5,4.5,0.2
="Common Ground High School District",0.6,73.9,20.9,4.7
="Cornwall School District",93.4,4.7,1.9,0.1
="Coventry School District",56.7,35.6,7.4,0.3
="Cromwell School District",76.5,17.2,6.3,0.0
="Danbury School District",66.1,25.5,7.8,0.6
="Darien School District",90.1,8.0,1.8,0.1
="Deep River School District",72.5,18.1,9.4,0.0
="Derby School District",36.5,57.6,5.9,0.0
="East Granby School District",85.8,11.0,3.2,0.0
="East Haddam School District",72.3,19.7,5.0,3.1
="East Hampton School District",65.9,28.0,6.0,0.1
="East Hartford School District",33.4,47.2,15.1,4.4
="East Haven School District",49.3,36.2,8.6,5.9
="East Lyme School District",73.0,15.9,5.1,6.0
="East Windsor School District",63.7,28.1,7.4,0.8
="Eastford School District",62.1,28.9,8.3,0.7
="Easton School District",92.7,4.0,2.6,0.7
="Ellington School District",63.4,29.1,7.0,0.5
="Elm City College Preparatory School District",0.0,68.1,12.4,19.5
="Enfield School District",53.1,34.4,12.2,0.4
="Essex School District",92.6,3.7,3.6,0.0
="Explorations District",0.0,82.7,2.1,15.1
="Fairfield School District",93.6,3.5,2.8,0.1
="Farmington School District",91.3,5.0,2.7,1.0
="Franklin School District",73.7,19.2,6.6,0.4
="Glastonbury School District",85.0,11.2,3.3,0.4
="Granby School District",71.6,20.5,5.1,2.8
="Greenwich School District",93.4,3.9,2.4,0.3
="Griswold School District",20.6,69.6,5.7,4.2
="Groton School District",62.2,30.0,7.6,0.2
="Guilford School District",88.6,7.8,3.5,0.1
="Hamden School District",69.9,23.3,6.8,0.0
="Hampton School District",53.6,33.6,11.9,0.9
="Hartford School District",20.2,63.9,15.5,0.5
="Hartland School District",66.9,27.4,5.4,0.3
="Hebron School District",61.7,27.3,11.0,0.0
="Highville Charter School District",0.4,87.2,10.0,2.4
="Integrated Day Charter School District",0.3,86.6,5.0,8.0
="Interdistrict School for Arts and Comm District",0.0,76.5,4.6,18.9
="Jumoke Academy District",0.0,84.5,8.9,6.6
="Kent School District",94.6,3.1,2.2,0.1
="Killingly School District",33.6,58.3,6.0,2.1
="Lebanon School District",54.3,31.6,6.3,7.8
="Ledyard School District",53.9,35.0,7.8,3.3
="Lisbon School District",50.2,39.0,8.5,2.4
="Litchfield School District",87.3,8.9,3.6,0.2
="Madison School District",92.2,4.6,2.6,0.5
="Manchester School District",60.0,29.1,9.4,1.5
="Mansfield School District",55.9,35.4,8.4,0.2
="Marlborough School District",73.0,19.0,8.1,0.0
="Meriden School District",40.4,45.4,13.9,0.3
="Middletown School District",69.4,22.7,7.3,0.7
="Milford School District",82.6,12.7,4.6,0.1
="Monroe School District",82.6,12.7,3.8,1.0
="Montville School District",59.1,32.6,7.5,0.7
="Naugatuck School District",45.3,41.6,12.9,0.2
="New Beginnings Inc., Family Academy District",0.0,82.6,14.6,2.8
="New Britain School District",26.0,54.7,17.8,1.5
="New Canaan School District",94.1,3.5,2.4,0.0
="New Fairfield School District",82.7,12.2,4.0,1.1
="New Hartford School District",73.1,17.9,8.7,0.3
="New Haven School District",24.6,59.6,14.5,1.3
="New London School District",36.6,48.5,13.9,1.1
="New Milford School District",72.1,21.0,4.8,2.1
="Newington School District",73.8,21.2,4.9,0.1
="Newtown School District",84.8,12.1,2.9,0.2
="Norfolk School District",88.1,6.8,5.1,0.1
="North Branford School District",60.6,34.5,4.9,0.0
="North Canaan School District",66.4,25.6,7.8,0.1
="North Haven School District",87.6,9.8,2.5,0.1
