"District","District Code","School","School Code","Grade","Count","%"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","K","*","*"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",01,"*","*"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",02,"*","*"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",03,10,11.1
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",04,9,9.8
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",05,72,46.8
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",06,55,37.2
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",07,37,59.7
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",08,33,48.5
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",09,8,18.6
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",10,"*","*"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",11,"*","*"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",12,"*","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","K","*","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",01,11,12.2
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",02,"*","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",03,19,20.9
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",04,22,23.9
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",05,28,29.8
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",06,37,39.4
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",07,40,43.0
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",08,30,36.1
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",09,34,52.3
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",10,26,44.8
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",11,20,43.5
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",12,9,30.0
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","K","N/A","N/A"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",01,"N/A","N/A"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",02,"*","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",03,"N/A","N/A"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",04,"N/A","N/A"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",05,"*","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",06,"*","*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""",09,17,9.3
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""",10,18,11.9
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""",11,"*","*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""",12,"*","*"
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""",07,44,25.4
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""",08,44,22.8
"Ansonia School District","=""0020011""","Mead School","=""0020311""","K","*","*"
"Ansonia School District","=""0020011""","Mead School","=""0020311""",01,7,8.0
"Ansonia School District","=""0020011""","Mead School","=""0020311""",02,"*","*"
"Ansonia School District","=""0020011""","Mead School","=""0020311""",03,"*","*"
"Ansonia School District","=""0020011""","Mead School","=""0020311""",04,"N/A","N/A"
"Ansonia School District","=""0020011""","Mead School","=""0020311""",05,7,7.6
"Ansonia School District","=""0020011""","Mead School","=""0020311""",06,11,12.1
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""",09,6,"*"
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""",10,"*","*"
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""",11,"*","*"
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""",12,"N/A","*"
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","K","N/A","N/A"
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",01,"N/A","N/A"
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",02,"N/A","N/A"
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",03,"*","*"
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",04,"*","*"
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",05,9,9.3
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",06,7,8.0
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""",07,"N/A","*"
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""",08,"N/A","*"
