"District","District Code","School","School Code","Grade","Count","%"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","K",16,18.8
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",01,33,36.7
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",02,35,39.8
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",05,26,29.5
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",06,25,30.1
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","K","*","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",01,16,19.5
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",02,14,17.1
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",05,13,16.7
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",06,12,16.4
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",03,"*","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",07,14,23.0
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",08,11,19.6
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",09,11,30.6
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",10,12,37.5
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",11,7,25.9
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",12,7,31.8
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","K","N/A","N/A"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",01,"N/A","N/A"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",02,"N/A","N/A"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",05,"N/A","N/A"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",06,"N/A","N/A"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",03,"N/A","N/A"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",04,"N/A","N/A"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""",09,86,34.7
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""",10,50,25.5
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""",11,30,19.2
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""",12,30,18.0
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""",07,22,11.8
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""",08,28,13.7
"Ansonia School District","=""0020011""","Mead School","=""0020311""","K","*","*"
"Ansonia School District","=""0020011""","Mead School","=""0020311""",01,"*","*"
"Ansonia School District","=""0020011""","Mead School","=""0020311""",02,"*","*"
"Ansonia School District","=""0020011""","Mead School","=""0020311""",05,8,8.2
"Ansonia School District","=""0020011""","Mead School","=""0020311""",06,"*","*"
"Ansonia School District","=""0020011""","Mead School","=""0020311""",03,"*","*"
"Ansonia School District","=""0020011""","Mead School","=""0020311""",04,"*","*"
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","K","N/A","N/A"
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",01,"*","*"
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",02,"*","*"
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",05,"*","*"
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",06,"*","*"
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",03,"N/A","N/A"
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",04,"N/A","N/A"
"Area Cooperative Educational Services","=""2440014""","Collaborative Alternative Magnet School","=""2446114""",07,"*","*"
"Area Cooperative Educational Services","=""2440014""","Collaborative Alternative Magnet School","=""2446114""",08,24,96.0
"Area Cooperative Educational Services","=""2440014""","Collaborative Alternative Magnet School","=""2446114""",09,11,"*"
"Area Cooperative Educational Services","=""2440014""","Collaborative Alternative Magnet School","=""2446114""",10,16,72.7
"Area Cooperative Educational Services","=""2440014""","Collaborative Alternative Magnet School","=""2446114""",11,15,"*"
"Area Cooperative Educational Services","=""2440014""","Collaborative Alternative Magnet School","=""2446114""",12,"*","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""","K","*","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",01,"*","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",02,"*","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",05,12,31.6
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",06,8,27.6
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",03,7,35.0
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",07,14,56.0
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",08,23,71.9
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",04,"*","*"
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""",06,52,21.3
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""",07,63,26.5
"Area Cooperative Educational Services","=""2440014""","Thomas Edison Magnet Middle School","=""2445114""",08,52,21.4
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""","K","N/A","*"
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""",01,"N/A","*"
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""",02,"N/A","*"
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""",05,"N/A","N/A"
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""",06,"N/A","N/A"
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""",03,"N/A","*"
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""",07,"N/A","*"
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""",08,"N/A","*"
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""",09,"N/A","*"
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""",10,"N/A","*"
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""",11,"N/A","*"
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""",12,"N/A","*"
"Area Cooperative Educational Services","=""2440014""","Village School","=""2449514""",04,"N/A","N/A"
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""",08,"*","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""",09,"*","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""",10,"*","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""",11,"*","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""",12,"*","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""",08,"N/A","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""",09,13,56.5
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""",10,15,57.7
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""",11,10,40.0
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""",12,15,53.6
"Area Cooperative Educational Services","=""2440014""","Whitney High School West","=""2449314""",09,"N/A","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School West","=""2449314""",10,"N/A","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School West","=""2449314""",11,"N/A","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School West","=""2449314""",12,"N/A","N/A"
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""","K","*","*"
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""",01,"*","*"
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""",02,"*","*"
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""",05,"*","*"
