"District","District Code","School","School Code","Grade","Count","%"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","K",12,13.6
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",01,13,14.3
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",02,28,30.1
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",03,8,10.3
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",05,43,47.8
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",06,42,48.8
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",07,46,59.7
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","K",9,10.0
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",01,10,12.5
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",02,17,21.8
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",03,15,19.5
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",05,18,22.2
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",06,15,17.9
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",07,11,16.4
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",04,13,17.3
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",08,25,43.9
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",09,14,40.0
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",10,8,26.7
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",11,"*","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",12,"*","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","K","*","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",01,"N/A","N/A"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",02,"N/A","N/A"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",03,"N/A","N/A"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",05,"*","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",06,"*","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",04,"N/A","N/A"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""",09,71,33.6
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""",10,46,23.2
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""",11,23,14.1
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""",12,22,14.8
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""",07,20,10.9
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""",08,33,17.6
"Ansonia School District","=""0020011""","Mead School","=""0020311""","K","N/A","N/A"
"Ansonia School District","=""0020011""","Mead School","=""0020311""",01,"N/A","N/A"
"Ansonia School District","=""0020011""","Mead School","=""0020311""",02,"*","*"
"Ansonia School District","=""0020011""","Mead School","=""0020311""",03,"*","*"
"Ansonia School District","=""0020011""","Mead School","=""0020311""",05,9,7.8
"Ansonia School District","=""0020011""","Mead School","=""0020311""",06,8,9.1
"Ansonia School District","=""0020011""","Mead School","=""0020311""",04,"N/A","N/A"
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","K","*","*"
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",01,"*","*"
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",02,"N/A","N/A"
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",03,"*","*"
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",05,"*","*"
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",06,"*","*"
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",04,"*","*"
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""",05,"N/A","*"
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""",06,"N/A","*"
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""",07,"N/A","*"
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""",08,"N/A","*"
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""",09,"N/A","*"
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""",10,"N/A","*"
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""",11,"N/A","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""","K","*","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",01,"*","*"
