"District","District Code","School","School Code","Grade","Count","%"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","K",9,10.2
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",01,18,21.2
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",02,17,19.3
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",03,20,24.1
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",04,21,26.3
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",05,41,40.2
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",06,44,49.4
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",07,40,50.0
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",08,27,38.0
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",09,11,22.9
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",10,8,19.5
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","K",9,10.1
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",01,9,11.4
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",02,17,18.5
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",03,19,22.6
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",04,20,24.1
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",05,53,53.5
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",06,53,57.0
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",07,42,55.3
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",08,44,57.9
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",09,32,51.6
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",10,17,41.5
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",11,10,37.0
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",12,10,40.0
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","K","*","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",01,"N/A","N/A"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",02,"*","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",03,"N/A","N/A"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",04,"N/A","N/A"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",05,"N/A","N/A"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",06,"*","*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""",09,20,10.6
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""",10,16,11.1
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""",11,13,9.8
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""",12,12,9.5
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""",07,50,24.2
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""",08,61,31.3
"Ansonia School District","=""0020011""","Mead School","=""0020311""","K","*","*"
"Ansonia School District","=""0020011""","Mead School","=""0020311""",01,"N/A","N/A"
"Ansonia School District","=""0020011""","Mead School","=""0020311""",02,"*","*"
"Ansonia School District","=""0020011""","Mead School","=""0020311""",03,"N/A","N/A"
"Ansonia School District","=""0020011""","Mead School","=""0020311""",04,"N/A","N/A"
"Ansonia School District","=""0020011""","Mead School","=""0020311""",05,"*","*"
"Ansonia School District","=""0020011""","Mead School","=""0020311""",06,"*","*"
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","K","N/A","N/A"
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",01,"*","*"
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",02,"*","*"
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",03,"N/A","N/A"
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",04,"*","*"
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",05,"*","*"
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""",06,"*","*"
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""",06,"N/A","*"
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""",07,"N/A","*"
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""",08,"N/A","*"
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""",09,"N/A","*"
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""",10,"N/A","*"
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""",11,"N/A","*"
"Area Cooperative Educational Services","=""2440014""","Center for Autism Spectrum and Development Disorders","=""2449614""",12,"N/A","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""","K","N/A","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",01,"*","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",02,"*","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",03,"*","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",04,"*","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",05,6,20.7
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",06,"*","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",07,"*","*"
"Area Cooperative Educational Services","=""2440014""","Mill Road School","=""2449414""",08,8,32.0
