"District","District Code","School","School Code","Grade","Count","%"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","K",38,41.3
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",01,32,36.4
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",02,49,54.4
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",03,47,53.4
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",04,35,48.6
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",05,42,40.0
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",06,46,52.3
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",07,46,55.4
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",08,25,41.0
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",09,32,66.7
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","K",11,12.2
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",01,16,17.0
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",02,9,10.0
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",03,9,10.5
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",04,9,12.0
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",05,61,68.5
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",06,55,61.1
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",07,51,64.6
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",08,49,62.8
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",09,21,43.8
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",10,16,51.6
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",11,12,46.2
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",12,10,43.5
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","K","N/A","N/A"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",01,"*","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",02,"N/A","N/A"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",03,"N/A","N/A"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",04,"N/A","N/A"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",05,"*","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""",06,"*","*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""",09,39,22.3
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""",10,37,23.3
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""",11,18,14.2
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""",12,18,10.0
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""",07,44,23.4
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""",08,"*","*"
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""",09,"*","*"
"Ansonia School District","=""0020011""","Mead School","=""0020311""","K","N/A","N/A"
"Ansonia School District","=""0020011""","Mead School","=""0020311""",01,"*","*"
"Ansonia School District","=""0020011""","Mead School","=""0020311""",02,"N/A","N/A"
