"College Entrance and Persistence, 2007-08"
"All Districts"

"Notes:"
"* In this report, year means graduating class of that school year."
"* College entrance refers to the percent of high school graduates from the year who enrolled in college any time during the first year after high school."
"* College persistence refers to the percent of students who enrolled in college the first year after high school and returned for a second year (Freshman to Sophomore persistence)."

"District","District Code","Entrance(%)","Persistence(%)"
"Ansonia School District","=""0020011""",62.2,79.4
"Avon School District","=""0040011""",85.3,97.7
"Berlin School District","=""0070011""",76.9,89.7
"Bethel School District","=""0090011""",71.8,92.9
"Bloomfield School District","=""0110011""",70.1,86.5
"Bolton School District","=""0120011""",83.6,98.0
"Branford School District","=""0140011""",74.9,91.8
"Bridgeport School District","=""0150011""",49.5,83.4
"Bristol School District","=""0170011""",68.3,88.0
"Brookfield School District","=""0180011""",84.5,92.9
"Canton School District","=""0230011""",82.6,91.0
"Cheshire School District","=""0250011""",86.0,93.5
"Clinton School District","=""0270011""",75.5,89.7
"Colchester School District","=""0280011""",73.5,88.4
"Coventry School District","=""0320011""",75.8,91.0
"Cromwell School District","=""0330011""",75.0,91.1
"Danbury School District","=""0340011""",70.3,87.8
"Darien School District","=""0350011""",87.1,95.7
"Derby School District","=""0370011""",58.9,80.4
"East Granby School District","=""0400011""",80.0,88.5
"East Haddam School District","=""0410011""",75.0,77.2
"East Hampton School District","=""0420011""",75.2,87.4
"East Hartford School District","=""0430011""",58.6,75.6
"East Haven School District","=""0440011""",68.5,86.9
"East Lyme School District","=""0450011""",81.6,94.4
"East Windsor School District","=""0470011""",63.2,90.3
"Ellington School District","=""0480011""",79.5,92.6
"Enfield School District","=""0490011""",74.5,84.6
"Fairfield School District","=""0510011""",82.1,95.4
"Farmington School District","=""0520011""",77.5,93.8
"Glastonbury School District","=""0540011""",86.6,92.2
"Granby School District","=""0560011""",76.4,86.2
"Greenwich School District","=""0570011""",76.3,95.0
"Griswold School District","=""0580011""",63.2,83.5
"Groton School District","=""0590011""",64.7,85.0
"Guilford School District","=""0600011""",86.0,94.0
"Hamden School District","=""0620011""",74.1,85.8
"Hartford School District","=""0640011""",56.7,80.4
"Killingly School District","=""0690011""",50.0,87.1
"Lebanon School District","=""0710011""",71.5,93.2
"Ledyard School District","=""0720011""",68.7,86.4
"Litchfield School District","=""0740011""",78.5,92.9
"Madison School District","=""0760011""",84.8,97.8
"Manchester School District","=""0770011""",68.2,84.1
"Meriden School District","=""0800011""",63.0,79.6
"Middletown School District","=""0830011""",70.2,81.9
