"College Entrance and Persistence, 2006-07"
"All Districts"

"Notes:"
"* In this report, year means graduating class of that school year."
"* College entrance refers to the percent of high school graduates from the year who enrolled in college any time during the first year after high school."
"* College persistence refers to the percent of students who enrolled in college the first year after high school and returned for a second year (Freshman to Sophomore persistence)."

"District","District Code","Entrance(%)","Persistence(%)"
"Ansonia School District","=""0020011""",56.7,88.9
"Avon School District","=""0040011""",82.0,96.0
"Berlin School District","=""0070011""",79.3,93.1
"Bethel School District","=""0090011""",69.0,91.1
"Bloomfield School District","=""0110011""",60.5,84.8
"Bolton School District","=""0120011""",74.4,93.1
"Branford School District","=""0140011""",72.2,90.4
"Bridgeport School District","=""0150011""",47.8,77.0
"Bristol School District","=""0170011""",66.2,88.8
"Brookfield School District","=""0180011""",85.3,92.9
"Canton School District","=""0230011""",81.3,93.4
"Cheshire School District","=""0250011""",86.4,96.4
"Clinton School District","=""0270011""",68.7,89.3
"Colchester School District","=""0280011""",74.7,89.5
"Coventry School District","=""0320011""",73.6,88.3
"Cromwell School District","=""0330011""",79.2,87.4
"Danbury School District","=""0340011""",66.6,87.6
"Darien School District","=""0350011""",78.0,96.1
"Derby School District","=""0370011""",60.8,88.7
"Eastford School District","=""0390011""",*,*
"East Granby School District","=""0400011""",74.6,91.5
"East Haddam School District","=""0410011""",73.6,81.1
"East Hampton School District","=""0420011""",79.0,88.3
"East Hartford School District","=""0430011""",55.0,76.5
"East Haven School District","=""0440011""",65.0,82.1
"East Lyme School District","=""0450011""",67.0,88.3
"East Windsor School District","=""0470011""",53.2,83.6
"Ellington School District","=""0480011""",76.8,97.4
"Enfield School District","=""0490011""",70.2,85.9
"Fairfield School District","=""0510011""",79.5,94.2
"Farmington School District","=""0520011""",84.0,93.3
"Glastonbury School District","=""0540011""",85.5,94.2
"Granby School District","=""0560011""",80.0,95.8
"Greenwich School District","=""0570011""",75.9,94.1
"Griswold School District","=""0580011""",65.2,80.2
"Groton School District","=""0590011""",71.4,80.8
"Guilford School District","=""0600011""",84.1,92.0
"Hamden School District","=""0620011""",67.9,88.5
"Hartford School District","=""0640011""",52.2,76.5
"Killingly School District","=""0690011""",63.3,82.1
"Lebanon School District","=""0710011""",64.5,89.9
