"College Entrance and Persistence, 2013-14"
"All Districts"

"Notes:"
"* In this report, year means graduating class of that school year."
"* College entrance refers to the percent of high school graduates from the year who enrolled in college any time during the first year after high school."
"* College persistence refers to the percent of students who enrolled in college the first year after high school and returned for a second year (Freshman to Sophomore persistence)."

"District","District Code","Entrance(%)","Persistence(%)"
"Ansonia School District","=""0020011""",59.4,78.5
"Avon School District","=""0040011""",88.2,95.0
"Berlin School District","=""0070011""",88.1,92.0
"Bethel School District","=""0090011""",77.7,85.6
"Bloomfield School District","=""0110011""",70.9,80.4
"Bolton School District","=""0120011""",84.4,92.6
"Branford School District","=""0140011""",73.0,92.2
"Bridgeport School District","=""0150011""",52.8,79.6
"Bristol School District","=""0170011""",64.5,88.9
"Brookfield School District","=""0180011""",85.5,93.3
"Canton School District","=""0230011""",77.6,89.4
"Cheshire School District","=""0250011""",83.4,93.7
"Clinton School District","=""0270011""",75.8,91.8
"Colchester School District","=""0280011""",78.4,91.1
"Coventry School District","=""0320011""",71.1,91.2
"Cromwell School District","=""0330011""",78.5,93.1
"Danbury School District","=""0340011""",66.9,87.3
"Darien School District","=""0350011""",89.3,96.9
"Derby School District","=""0370011""",54.5,72.2
"East Granby School District","=""0400011""",80.0,83.3
"East Haddam School District","=""0410011""",62.9,88.5
"East Hampton School District","=""0420011""",81.5,91.8
"East Hartford School District","=""0430011""",59.2,74.3
"East Haven School District","=""0440011""",65.0,86.0
"East Lyme School District","=""0450011""",85.3,93.2
"East Windsor School District","=""0470011""",63.0,85.7
"Ellington School District","=""0480011""",71.9,87.0
"Enfield School District","=""0490011""",69.8,81.0
"Fairfield School District","=""0510011""",82.4,95.0
"Farmington School District","=""0520011""",85.4,91.6
"Glastonbury School District","=""0540011""",85.1,95.0
"Granby School District","=""0560011""",86.9,97.1
"Greenwich School District","=""0570011""",81.5,90.1
"Griswold School District","=""0580011""",63.3,76.3
"Groton School District","=""0590011""",62.7,77.5
"Guilford School District","=""0600011""",86.6,94.4
