"College Entrance and Persistence, 2013-14"
"All Districts"

"Notes:"
"* In this report, year means graduating class of that school year."
"* College entrance refers to the percent of high school graduates from the year who enrolled in college any time during the first year after high school."
"* College persistence refers to the percent of students who enrolled in college the first year after high school and returned for a second year (Freshman to Sophomore persistence)."

"District","District Code","Gender","Entrance(%)","Persistence(%)"
"Ansonia School District","=""0020011""","Female",65.5,81.6
"Ansonia School District","=""0020011""","Male",54.7,75.6
"Avon School District","=""0040011""","Female",92.7,97.1
"Avon School District","=""0040011""","Male",82.8,92.1
"Berlin School District","=""0070011""","Female",91.1,95.1
"Berlin School District","=""0070011""","Male",85.2,88.8
"Bethel School District","=""0090011""","Female",80.4,86.7
"Bethel School District","=""0090011""","Male",75.2,84.6
"Bloomfield School District","=""0110011""","Female",81.5,81.8
"Bloomfield School District","=""0110011""","Male",59.7,78.3
"Bolton School District","=""0120011""","Female",92.2,95.7
"Bolton School District","=""0120011""","Male",75.6,88.2
"Branford School District","=""0140011""","Female",80.1,92.3
"Branford School District","=""0140011""","Male",65.2,92.0
"Bridgeport School District","=""0150011""","Female",58.8,81.5
"Bridgeport School District","=""0150011""","Male",45.9,76.7
"Bristol School District","=""0170011""","Female",71.8,92.4
"Bristol School District","=""0170011""","Male",56.7,84.2
"Brookfield School District","=""0180011""","Female",92.1,96.2
"Brookfield School District","=""0180011""","Male",78.8,89.9
"Canton School District","=""0230011""","Female",87.7,91.2
"Canton School District","=""0230011""","Male",68.1,87.2
"Cheshire School District","=""0250011""","Female",86.9,95.2
"Cheshire School District","=""0250011""","Male",79.8,92.0
"Clinton School District","=""0270011""","Female",82.8,87.5
"Clinton School District","=""0270011""","Male",70.0,95.9
"Colchester School District","=""0280011""","Female",87.5,94.1
"Colchester School District","=""0280011""","Male",67.0,86.3
"Coventry School District","=""0320011""","Female",76.8,96.2
"Coventry School District","=""0320011""","Male",64.4,84.2
"Cromwell School District","=""0330011""","Female",82.2,91.7
"Cromwell School District","=""0330011""","Male",73.7,95.2
"Danbury School District","=""0340011""","Female",72.9,86.4
"Danbury School District","=""0340011""","Male",61.1,88.4
"Darien School District","=""0350011""","Female",91.4,99.3
"Darien School District","=""0350011""","Male",87.1,94.4
"Derby School District","=""0370011""","Female",60.4,78.1
"Derby School District","=""0370011""","Male",47.8,63.6
"East Granby School District","=""0400011""","Female",83.3,95.0
"East Granby School District","=""0400011""","Male",77.8,75.0
"East Haddam School District","=""0410011""","Female",73.5,94.4
"East Haddam School District","=""0410011""","Male",52.1,80.0
"East Hampton School District","=""0420011""","Female",76.6,95.9
"East Hampton School District","=""0420011""","Male",87.3,87.5
"East Hartford School District","=""0430011""","Female",70.2,79.1
"East Hartford School District","=""0430011""","Male",48.4,67.6
"East Haven School District","=""0440011""","Female",72.4,96.1
"East Haven School District","=""0440011""","Male",58.3,74.6
"East Lyme School District","=""0450011""","Female",88.5,95.7
