"College Entrance and Persistence, 2008-09"
"All Districts"

"Notes:"
"* In this report, year means graduating class of that school year."
"* College entrance refers to the percent of high school graduates from the year who enrolled in college any time during the first year after high school."
"* College persistence refers to the percent of students who enrolled in college the first year after high school and returned for a second year (Freshman to Sophomore persistence)."

"District","District Code","English Learner Status","Entrance(%)","Persistence(%)"
"Ansonia School District","=""0020011""","English Language Learners",*,*
"Avon School District","=""0040011""","English Language Learners",*,*
"Berlin School District","=""0070011""","English Language Learners",*,*
"Bethel School District","=""0090011""","English Language Learners",*,*
"Branford School District","=""0140011""","English Language Learners",*,*
"Bridgeport School District","=""0150011""","English Language Learners",48.3,81.0
"Bristol School District","=""0170011""","English Language Learners",*,*
"Brookfield School District","=""0180011""","English Language Learners",*,*
"Canton School District","=""0230011""","English Language Learners",*,*
"Clinton School District","=""0270011""","English Language Learners",*,*
"Colchester School District","=""0280011""","English Language Learners",*,*
"Cromwell School District","=""0330011""","English Language Learners",*,*
"Danbury School District","=""0340011""","English Language Learners",33.3,*
"Darien School District","=""0350011""","English Language Learners",*,*
"Derby School District","=""0370011""","English Language Learners",*,*
"East Haddam School District","=""0410011""","English Language Learners",*,*
"East Hampton School District","=""0420011""","English Language Learners",*,*
"East Hartford School District","=""0430011""","English Language Learners",*,*
"East Haven School District","=""0440011""","English Language Learners",*,*
"East Windsor School District","=""0470011""","English Language Learners",*,*
"Ellington School District","=""0480011""","English Language Learners",*,*
"Enfield School District","=""0490011""","English Language Learners",*,*
"Fairfield School District","=""0510011""","English Language Learners",*,*
"Farmington School District","=""0520011""","English Language Learners",*,*
"Glastonbury School District","=""0540011""","English Language Learners",*,*
"Greenwich School District","=""0570011""","English Language Learners",30.8,*
"Griswold School District","=""0580011""","English Language Learners",*,*
"Groton School District","=""0590011""","English Language Learners",*,*
"Guilford School District","=""0600011""","English Language Learners",*,*
"Hamden School District","=""0620011""","English Language Learners",40.7,*
"Hartford School District","=""0640011""","English Language Learners",55.9,69.7
"Killingly School District","=""0690011""","English Language Learners",*,*
"Lebanon School District","=""0710011""","English Language Learners",*,*
"Ledyard School District","=""0720011""","English Language Learners",*,*
"Manchester School District","=""0770011""","English Language Learners",*,*
"Meriden School District","=""0800011""","English Language Learners",25.0,*
"Middletown School District","=""0830011""","English Language Learners",*,*
"Milford School District","=""0840011""","English Language Learners",*,*
"Monroe School District","=""0850011""","English Language Learners",*,*
"Montville School District","=""0860011""","English Language Learners",*,*
"Naugatuck School District","=""0880011""","English Language Learners",*,*
"New Britain School District","=""0890011""","English Language Learners",61.8,74.5
"New Haven School District","=""0930011""","English Language Learners",33.3,65.0
"Newington School District","=""0940011""","English Language Learners",*,*
"New London School District","=""0950011""","English Language Learners",39.4,*
"New Milford School District","=""0960011""","English Language Learners",*,*
"North Haven School District","=""1010011""","English Language Learners",*,*
"Norwalk School District","=""1030011""","English Language Learners",40.0,80.0
"Old Saybrook School District","=""1060011""","English Language Learners",*,*
"Plainfield School District","=""1090011""","English Language Learners",*,*
"Plainville School District","=""1100011""","English Language Learners",*,*
"Putnam School District","=""1160011""","English Language Learners",*,*
"Ridgefield School District","=""1180011""","English Language Learners",*,*
"Rocky Hill School District","=""1190011""","English Language Learners",*,*
"Seymour School District","=""1240011""","English Language Learners",*,*
"Shelton School District","=""1260011""","English Language Learners",*,*
"Simsbury School District","=""1280011""","English Language Learners",*,*
"Southington School District","=""1310011""","English Language Learners",*,*
"South Windsor School District","=""1320011""","English Language Learners",*,*
"Stamford School District","=""1350011""","English Language Learners",38.0,84.2
"Stratford School District","=""1380011""","English Language Learners",*,*
"Suffield School District","=""1390011""","English Language Learners",*,*
"Torrington School District","=""1430011""","English Language Learners",*,*
"Trumbull School District","=""1440011""","English Language Learners",*,*
"Vernon School District","=""1460011""","English Language Learners",*,*
"Wallingford School District","=""1480011""","English Language Learners",*,*
"Waterbury School District","=""1510011""","English Language Learners",47.6,77.6
"Waterford School District","=""1520011""","English Language Learners",*,*
"Watertown School District","=""1530011""","English Language Learners",*,*
"West Hartford School District","=""1550011""","English Language Learners",44.0,*
"West Haven School District","=""1560011""","English Language Learners",*,*
"Westport School District","=""1580011""","English Language Learners",*,*
"Wethersfield School District","=""1590011""","English Language Learners",*,*
"Wilton School District","=""1610011""","English Language Learners",*,*
"Windham School District","=""1630011""","English Language Learners",52.4,*
"Windsor School District","=""1640011""","English Language Learners",*,*
"Windsor Locks School District","=""1650011""","English Language Learners",*,*
"Wolcott School District","=""1660011""","English Language Learners",*,*
"Regional School District 04","=""2040012""","English Language Learners",*,*
"Regional School District 05","=""2050012""","English Language Learners",*,*
"Regional School District 07","=""2070012""","English Language Learners",*,*
"Regional School District 14","=""2140012""","English Language Learners",*,*
"Regional School District 19","=""2190012""","English Language Learners",*,*
"Capitol Region Education Council","=""2410014""","English Language Learners",*,*
"Stamford Academy District","=""2820013""","English Language Learners",*,*
"Connecticut Technical High School System","=""9000016""","English Language Learners",32.7,68.6
"Norwich Free Academy District","=""9010022""","English Language Learners",60.7,*
"The Gilbert School District","=""9020022""","English Language Learners",*,*

