"College Entrance and Persistence, 2006-07"
"All Districts"

"Notes:"
"* In this report, year means graduating class of that school year."
"* College entrance refers to the percent of high school graduates from the year who enrolled in college any time during the first year after high school."
"* College persistence refers to the percent of students who enrolled in college the first year after high school and returned for a second year (Freshman to Sophomore persistence)."

"District","District Code","Free/Reduced Price Meal Eligibility","Entrance(%)","Persistence(%)"
"Ansonia School District","=""0020011""","Eligible for Free or Reduced-Price Meals",36.4,*
"Avon School District","=""0040011""","Eligible for Free or Reduced-Price Meals",*,*
"Berlin School District","=""0070011""","Eligible for Free or Reduced-Price Meals",*,*
"Bethel School District","=""0090011""","Eligible for Free or Reduced-Price Meals",*,*
"Bloomfield School District","=""0110011""","Eligible for Free or Reduced-Price Meals",59.3,85.7
"Bolton School District","=""0120011""","Eligible for Free or Reduced-Price Meals",*,*
"Branford School District","=""0140011""","Eligible for Free or Reduced-Price Meals",43.5,*
"Bridgeport School District","=""0150011""","Eligible for Free or Reduced-Price Meals",47.8,77.2
"Bristol School District","=""0170011""","Eligible for Free or Reduced-Price Meals",43.5,72.3
"Brookfield School District","=""0180011""","Eligible for Free or Reduced-Price Meals",*,*
"Cheshire School District","=""0250011""","Eligible for Free or Reduced-Price Meals",*,*
"Clinton School District","=""0270011""","Eligible for Free or Reduced-Price Meals",*,*
"Colchester School District","=""0280011""","Eligible for Free or Reduced-Price Meals",*,*
"Coventry School District","=""0320011""","Eligible for Free or Reduced-Price Meals",*,*
"Cromwell School District","=""0330011""","Eligible for Free or Reduced-Price Meals",*,*
"Danbury School District","=""0340011""","Eligible for Free or Reduced-Price Meals",49.4,80.2
"Derby School District","=""0370011""","Eligible for Free or Reduced-Price Meals",38.9,*
"East Granby School District","=""0400011""","Eligible for Free or Reduced-Price Meals",*,*
"East Haddam School District","=""0410011""","Eligible for Free or Reduced-Price Meals",*,*
"East Hampton School District","=""0420011""","Eligible for Free or Reduced-Price Meals",*,*
"East Hartford School District","=""0430011""","Eligible for Free or Reduced-Price Meals",50.9,77.7
"East Haven School District","=""0440011""","Eligible for Free or Reduced-Price Meals",51.2,71.4
"East Lyme School District","=""0450011""","Eligible for Free or Reduced-Price Meals",*,*
"East Windsor School District","=""0470011""","Eligible for Free or Reduced-Price Meals",*,*
"Ellington School District","=""0480011""","Eligible for Free or Reduced-Price Meals",*,*
"Enfield School District","=""0490011""","Eligible for Free or Reduced-Price Meals",52.2,91.7
"Fairfield School District","=""0510011""","Eligible for Free or Reduced-Price Meals",65.4,*
"Farmington School District","=""0520011""","Eligible for Free or Reduced-Price Meals",*,*
"Glastonbury School District","=""0540011""","Eligible for Free or Reduced-Price Meals",*,*
"Granby School District","=""0560011""","Eligible for Free or Reduced-Price Meals",*,*
"Greenwich School District","=""0570011""","Eligible for Free or Reduced-Price Meals",48.8,80.0
"Griswold School District","=""0580011""","Eligible for Free or Reduced-Price Meals",36.0,*
"Groton School District","=""0590011""","Eligible for Free or Reduced-Price Meals",53.2,68.0
"Guilford School District","=""0600011""","Eligible for Free or Reduced-Price Meals",*,*
"Hamden School District","=""0620011""","Eligible for Free or Reduced-Price Meals",57.4,75.9
"Hartford School District","=""0640011""","Eligible for Free or Reduced-Price Meals",50.7,77.3
"Killingly School District","=""0690011""","Eligible for Free or Reduced-Price Meals",36.7,*
"Lebanon School District","=""0710011""","Eligible for Free or Reduced-Price Meals",*,*
"Ledyard School District","=""0720011""","Eligible for Free or Reduced-Price Meals",*,*
"Litchfield School District","=""0740011""","Eligible for Free or Reduced-Price Meals",*,*
"Madison School District","=""0760011""","Eligible for Free or Reduced-Price Meals",*,*
"Manchester School District","=""0770011""","Eligible for Free or Reduced-Price Meals",58.2,78.9
"Meriden School District","=""0800011""","Eligible for Free or Reduced-Price Meals",41.7,74.4
"Middletown School District","=""0830011""","Eligible for Free or Reduced-Price Meals",63.2,69.4
"Milford School District","=""0840011""","Eligible for Free or Reduced-Price Meals",56.9,83.8
"Monroe School District","=""0850011""","Eligible for Free or Reduced-Price Meals",*,*
"Montville School District","=""0860011""","Eligible for Free or Reduced-Price Meals",*,*
"Naugatuck School District","=""0880011""","Eligible for Free or Reduced-Price Meals",40.7,87.9
"New Britain School District","=""0890011""","Eligible for Free or Reduced-Price Meals",46.7,72.2
"New Fairfield School District","=""0910011""","Eligible for Free or Reduced-Price Meals",*,*
"New Haven School District","=""0930011""","Eligible for Free or Reduced-Price Meals",49.9,73.9
"Newington School District","=""0940011""","Eligible for Free or Reduced-Price Meals",61.3,*
"New London School District","=""0950011""","Eligible for Free or Reduced-Price Meals",43.4,69.8
