"College Entrance and Persistence, Trend"
"All Districts"

"Notes:"
"* In this report, year means graduating class of that school year."
"* College entrance refers to the percent of high school graduates from the year who enrolled in college any time during the first year after high school."
"* College persistence refers to the percent of students who enrolled in college the first year after high school and returned for a second year (Freshman to Sophomore persistence)."

"",,"2009-10",,"2010-11",,"2011-12",,"2012-13",,"2013-14",
"District","District Code","Entrance(%)","Persistence(%)","Entrance(%)","Persistence(%)","Entrance(%)","Persistence(%)","Entrance(%)","Persistence(%)","Entrance(%)","Persistence(%)"
"Ansonia School District","=""0020011""",67.1,88.0,61.0,87.2,62.1,85.2,58.0,78.2,59.4,78.5
"Avon School District","=""0040011""",81.8,96.9,84.3,95.2,86.4,95.0,86.8,94.2,88.2,95.0
"Berlin School District","=""0070011""",75.7,94.4,83.5,92.3,81.7,93.2,82.5,95.8,88.1,92.0
"Bethel School District","=""0090011""",78.3,89.4,81.1,90.7,77.9,92.8,70.6,91.3,77.7,85.6
"Bloomfield School District","=""0110011""",67.1,77.4,76.5,84.2,67.9,74.6,64.7,81.5,70.9,80.4
"Bolton School District","=""0120011""",86.4,93.0,88.2,93.3,87.9,93.1,88.8,94.4,84.4,92.6
"Branford School District","=""0140011""",79.4,95.2,78.0,90.9,78.3,88.0,76.2,89.7,73.0,92.2
"Bridgeport School District","=""0150011""",57.6,79.9,57.5,78.3,55.7,81.4,56.3,76.7,52.8,79.6
"Bristol School District","=""0170011""",68.6,86.7,68.7,84.8,63.6,91.2,65.2,86.1,64.5,88.9
"Brookfield School District","=""0180011""",85.3,91.9,79.3,89.7,83.7,91.9,89.0,94.3,85.5,93.3
"Canton School District","=""0230011""",82.0,89.9,73.0,91.7,82.8,94.8,78.8,92.5,77.6,89.4
"Cheshire School District","=""0250011""",86.1,95.0,87.4,94.0,87.6,95.2,83.7,95.1,83.4,93.7
"Clinton School District","=""0270011""",75.7,90.6,70.2,87.9,67.8,96.3,76.2,90.9,75.8,91.8
"Colchester School District","=""0280011""",77.8,89.0,80.2,88.1,78.2,85.5,75.9,87.4,78.4,91.1
"Coventry School District","=""0320011""",73.2,89.0,65.8,89.6,67.4,82.8,71.5,89.2,71.1,91.2
"Cromwell School District","=""0330011""",75.5,86.1,79.2,90.5,78.1,88.8,80.5,91.6,78.5,93.1
"Danbury School District","=""0340011""",67.1,90.5,69.0,88.5,69.2,87.0,70.0,88.4,66.9,87.3
"Darien School District","=""0350011""",83.2,94.3,81.6,96.1,86.6,97.3,90.2,97.8,89.3,96.9
