"College Entrance and Persistence, 2010-11"
"All Districts"

"Notes:"
"* In this report, year means graduating class of that school year."
"* College entrance refers to the percent of high school graduates from the year who enrolled in college any time during the first year after high school."
"* College persistence refers to the percent of students who enrolled in college the first year after high school and returned for a second year (Freshman to Sophomore persistence)."

"District","District Code","Gender","Entrance(%)","Persistence(%)"
"Ansonia School District","=""0020011""","Female",72.5,94.0
"Ansonia School District","=""0020011""","Male",50.0,77.8
"Avon School District","=""0040011""","Female",83.0,95.5
"Avon School District","=""0040011""","Male",86.0,94.9
"Berlin School District","=""0070011""","Female",84.9,97.0
"Berlin School District","=""0070011""","Male",82.2,87.7
"Bethel School District","=""0090011""","Female",82.9,93.5
"Bethel School District","=""0090011""","Male",78.9,87.2
"Bloomfield School District","=""0110011""","Female",79.7,87.3
"Bloomfield School District","=""0110011""","Male",72.9,80.4
"Bolton School District","=""0120011""","Female",97.7,92.9
"Bolton School District","=""0120011""","Male",72.0,*
"Branford School District","=""0140011""","Female",80.9,88.7
"Branford School District","=""0140011""","Male",75.2,93.2
"Bridgeport School District","=""0150011""","Female",62.3,80.7
"Bridgeport School District","=""0150011""","Male",52.2,75.1
"Bristol School District","=""0170011""","Female",72.7,87.8
"Bristol School District","=""0170011""","Male",64.4,81.2
"Brookfield School District","=""0180011""","Female",86.0,91.3
"Brookfield School District","=""0180011""","Male",73.3,87.9
"Canton School District","=""0230011""","Female",84.6,90.9
"Canton School District","=""0230011""","Male",63.5,92.5
"Cheshire School District","=""0250011""","Female",90.4,94.7
"Cheshire School District","=""0250011""","Male",84.8,93.4
"Clinton School District","=""0270011""","Female",74.7,89.3
"Clinton School District","=""0270011""","Male",65.2,86.0
"Colchester School District","=""0280011""","Female",81.3,93.0
"Colchester School District","=""0280011""","Male",79.0,83.0
"Coventry School District","=""0320011""","Female",77.8,88.9
"Coventry School District","=""0320011""","Male",50.8,90.9
"Cromwell School District","=""0330011""","Female",86.5,90.9
"Cromwell School District","=""0330011""","Male",70.0,89.8
"Danbury School District","=""0340011""","Female",70.2,91.2
"Danbury School District","=""0340011""","Male",67.7,85.6
"Darien School District","=""0350011""","Female",87.4,97.1
"Darien School District","=""0350011""","Male",75.8,95.0
"Derby School District","=""0370011""","Female",70.2,87.9
"Derby School District","=""0370011""","Male",48.8,100.0
"East Granby School District","=""0400011""","Female",85.0,97.1
"East Granby School District","=""0400011""","Male",80.0,89.3
"East Haddam School District","=""0410011""","Female",80.0,100.0
"East Haddam School District","=""0410011""","Male",52.4,86.4
"East Hampton School District","=""0420011""","Female",90.5,91.2
"East Hampton School District","=""0420011""","Male",67.6,82.6
"East Hartford School District","=""0430011""","Female",64.0,76.9
"East Hartford School District","=""0430011""","Male",50.2,79.3
"East Haven School District","=""0440011""","Female",75.9,87.5
"East Haven School District","=""0440011""","Male",60.2,85.7
"East Lyme School District","=""0450011""","Female",86.6,91.5
"East Lyme School District","=""0450011""","Male",77.4,89.2
"East Windsor School District","=""0470011""","Female",64.9,91.7
"East Windsor School District","=""0470011""","Male",53.5,87.0
"Ellington School District","=""0480011""","Female",86.6,94.0
"Ellington School District","=""0480011""","Male",79.7,89.8
"Enfield School District","=""0490011""","Female",80.0,88.6
"Enfield School District","=""0490011""","Male",70.3,87.8
"Fairfield School District","=""0510011""","Female",84.4,95.4
"Fairfield School District","=""0510011""","Male",78.1,93.9
"Farmington School District","=""0520011""","Female",86.1,95.6
"Farmington School District","=""0520011""","Male",82.0,92.4
"Glastonbury School District","=""0540011""","Female",90.2,96.8
"Glastonbury School District","=""0540011""","Male",77.1,95.5
"Granby School District","=""0560011""","Female",89.7,97.4
"Granby School District","=""0560011""","Male",88.1,85.4
"Greenwich School District","=""0570011""","Female",86.1,94.5
"Greenwich School District","=""0570011""","Male",73.3,91.8
"Griswold School District","=""0580011""","Female",76.1,80.0
"Griswold School District","=""0580011""","Male",56.4,84.1
"Groton School District","=""0590011""","Female",84.8,87.0
"Groton School District","=""0590011""","Male",69.1,83.5
"Guilford School District","=""0600011""","Female",83.1,93.8
"Guilford School District","=""0600011""","Male",81.0,88.8
"Hamden School District","=""0620011""","Female",79.4,89.8
"Hamden School District","=""0620011""","Male",67.5,91.1
