"College Entrance and Persistence, 2013-14"
"All Districts"

"Notes:"
"* In this report, year means graduating class of that school year."
"* College entrance refers to the percent of high school graduates from the year who enrolled in college any time during the first year after high school."
"* College persistence refers to the percent of students who enrolled in college the first year after high school and returned for a second year (Freshman to Sophomore persistence)."

"District","District Code","Race/Ethnicity","Entrance(%)","Persistence(%)"
"Ansonia School District","=""0020011""","Black or African American",57.7,*
"Ansonia School District","=""0020011""","Hispanic or Latino",58.3,61.9
"Ansonia School District","=""0020011""","Two or More Races",*,*
"Ansonia School District","=""0020011""","White",61.4,90.7
"Avon School District","=""0040011""","Asian",*,*
"Avon School District","=""0040011""","Black or African American",*,*
"Avon School District","=""0040011""","Hispanic or Latino",*,*
"Avon School District","=""0040011""","Native Hawaiian or Other Pacific Islander",*,*
"Avon School District","=""0040011""","Two or More Races",*,*
"Avon School District","=""0040011""","White",89.1,94.8
"Berlin School District","=""0070011""","Asian",*,*
"Berlin School District","=""0070011""","Black or African American",*,*
"Berlin School District","=""0070011""","Hispanic or Latino",*,*
"Berlin School District","=""0070011""","Two or More Races",*,*
"Berlin School District","=""0070011""","White",87.8,94.2
"Bethel School District","=""0090011""","Asian",77.3,*
"Bethel School District","=""0090011""","Black or African American",*,*
"Bethel School District","=""0090011""","Hispanic or Latino",60.7,*
"Bethel School District","=""0090011""","Two or More Races",*,*
"Bethel School District","=""0090011""","White",81.1,87.3
"Bloomfield School District","=""0110011""","Asian",*,*
"Bloomfield School District","=""0110011""","Black or African American",73.0,81.0
"Bloomfield School District","=""0110011""","Hispanic or Latino",*,*
"Bloomfield School District","=""0110011""","Two or More Races",*,*
"Bloomfield School District","=""0110011""","White",*,*
"Bolton School District","=""0120011""","Asian",*,*
"Bolton School District","=""0120011""","Black or African American",*,*
"Bolton School District","=""0120011""","Hispanic or Latino",*,*
"Bolton School District","=""0120011""","Two or More Races",*,*
"Bolton School District","=""0120011""","White",86.0,93.2
"Branford School District","=""0140011""","Asian",81.8,*
"Branford School District","=""0140011""","Black or African American",*,*
"Branford School District","=""0140011""","Hispanic or Latino",71.4,*
"Branford School District","=""0140011""","Two or More Races",*,*
"Branford School District","=""0140011""","White",71.3,91.2
"Bridgeport School District","=""0150011""","American Indian or Alaska Native",*,*
"Bridgeport School District","=""0150011""","Asian",89.3,88.0
"Bridgeport School District","=""0150011""","Black or African American",60.8,79.2
"Bridgeport School District","=""0150011""","Hispanic or Latino",42.3,79.7
"Bridgeport School District","=""0150011""","Native Hawaiian or Other Pacific Islander",*,*
"Bridgeport School District","=""0150011""","Two or More Races",*,*
"Bridgeport School District","=""0150011""","White",49.2,80.6
"Bristol School District","=""0170011""","American Indian or Alaska Native",*,*
"Bristol School District","=""0170011""","Asian",*,*
"Bristol School District","=""0170011""","Black or African American",65.9,81.5
"Bristol School District","=""0170011""","Hispanic or Latino",46.2,75.0
"Bristol School District","=""0170011""","Two or More Races",*,*
"Bristol School District","=""0170011""","White",67.7,90.5
"Brookfield School District","=""0180011""","Asian",*,*
"Brookfield School District","=""0180011""","Black or African American",*,*
"Brookfield School District","=""0180011""","Hispanic or Latino",*,*
"Brookfield School District","=""0180011""","Two or More Races",*,*
"Brookfield School District","=""0180011""","White",87.1,93.4
"Canton School District","=""0230011""","Asian",*,*
"Canton School District","=""0230011""","Black or African American",*,*
"Canton School District","=""0230011""","Hispanic or Latino",*,*
"Canton School District","=""0230011""","Two or More Races",*,*
"Canton School District","=""0230011""","White",78.4,89.8
"Cheshire School District","=""0250011""","Asian",84.4,100.0
"Cheshire School District","=""0250011""","Black or African American",*,*
"Cheshire School District","=""0250011""","Hispanic or Latino",*,*
"Cheshire School District","=""0250011""","White",83.4,93.0
"Clinton School District","=""0270011""","Asian",*,*
"Clinton School District","=""0270011""","Black or African American",*,*
"Clinton School District","=""0270011""","Hispanic or Latino",*,*
"Clinton School District","=""0270011""","Native Hawaiian or Other Pacific Islander",*,*
"Clinton School District","=""0270011""","Two or More Races",*,*
"Clinton School District","=""0270011""","White",77.1,91.7
"Colchester School District","=""0280011""","American Indian or Alaska Native",*,*
"Colchester School District","=""0280011""","Asian",*,*
"Colchester School District","=""0280011""","Black or African American",*,*
"Colchester School District","=""0280011""","Hispanic or Latino",*,*
"Colchester School District","=""0280011""","Two or More Races",*,*
"Colchester School District","=""0280011""","White",77.7,91.0
"Coventry School District","=""0320011""","Asian",*,*
"Coventry School District","=""0320011""","Black or African American",*,*
"Coventry School District","=""0320011""","Hispanic or Latino",*,*
"Coventry School District","=""0320011""","Two or More Races",*,*
"Coventry School District","=""0320011""","White",70.0,92.9
"Cromwell School District","=""0330011""","Asian",*,*
"Cromwell School District","=""0330011""","Black or African American",*,*
"Cromwell School District","=""0330011""","Hispanic or Latino",*,*
"Cromwell School District","=""0330011""","Two or More Races",*,*
"Cromwell School District","=""0330011""","White",79.8,95.2
"Danbury School District","=""0340011""","Asian",80.3,96.2
"Danbury School District","=""0340011""","Black or African American",*,*
"Danbury School District","=""0340011""","Hispanic or Latino",52.0,78.3
"Danbury School District","=""0340011""","Two or More Races",*,*
"Danbury School District","=""0340011""","White",77.1,91.1
"Darien School District","=""0350011""","Asian",*,*
"Darien School District","=""0350011""","Black or African American",*,*
"Darien School District","=""0350011""","Hispanic or Latino",*,*
"Darien School District","=""0350011""","White",90.0,97.0
"Derby School District","=""0370011""","Asian",*,*
"Derby School District","=""0370011""","Black or African American",*,*
"Derby School District","=""0370011""","Hispanic or Latino",*,*
"Derby School District","=""0370011""","Two or More Races",*,*
"Derby School District","=""0370011""","White",59.0,72.2
"East Granby School District","=""0400011""","Asian",*,*
"East Granby School District","=""0400011""","Black or African American",*,*
"East Granby School District","=""0400011""","Hispanic or Latino",*,*
"East Granby School District","=""0400011""","White",81.1,86.0
"East Haddam School District","=""0410011""","Black or African American",*,*
"East Haddam School District","=""0410011""","Hispanic or Latino",*,*
"East Haddam School District","=""0410011""","Two or More Races",*,*
"East Haddam School District","=""0410011""","White",64.4,87.9
"East Hampton School District","=""0420011""","Asian",*,*
"East Hampton School District","=""0420011""","Black or African American",*,*
"East Hampton School District","=""0420011""","Hispanic or Latino",*,*
"East Hampton School District","=""0420011""","White",82.9,92.4
"East Hartford School District","=""0430011""","American Indian or Alaska Native",*,*
"East Hartford School District","=""0430011""","Asian",87.0,*
"East Hartford School District","=""0430011""","Black or African American",59.7,70.8
"East Hartford School District","=""0430011""","Hispanic or Latino",48.5,69.5
"East Hartford School District","=""0430011""","Two or More Races",*,*
"East Hartford School District","=""0430011""","White",70.5,77.6
"East Haven School District","=""0440011""","Asian",*,*
"East Haven School District","=""0440011""","Black or African American",*,*
"East Haven School District","=""0440011""","Hispanic or Latino",74.4,75.9
"East Haven School District","=""0440011""","Two or More Races",*,*
"East Haven School District","=""0440011""","White",63.8,90.4
"East Lyme School District","=""0450011""","American Indian or Alaska Native",*,*
"East Lyme School District","=""0450011""","Asian",91.7,100.0
"East Lyme School District","=""0450011""","Black or African American",*,*
"East Lyme School District","=""0450011""","Hispanic or Latino",*,*
"East Lyme School District","=""0450011""","Two or More Races",*,*
"East Lyme School District","=""0450011""","White",84.4,91.8
"East Windsor School District","=""0470011""","Asian",*,*
"East Windsor School District","=""0470011""","Black or African American",*,*
"East Windsor School District","=""0470011""","Hispanic or Latino",*,*
"East Windsor School District","=""0470011""","White",66.3,88.7
"Ellington School District","=""0480011""","Asian",*,*
"Ellington School District","=""0480011""","Black or African American",*,*
"Ellington School District","=""0480011""","Hispanic or Latino",*,*
"Ellington School District","=""0480011""","Two or More Races",*,*
"Ellington School District","=""0480011""","White",73.4,87.9
"Enfield School District","=""0490011""","Asian",*,*
"Enfield School District","=""0490011""","Black or African American",60.0,*
"Enfield School District","=""0490011""","Hispanic or Latino",71.4,*
"Enfield School District","=""0490011""","Two or More Races",*,*
"Enfield School District","=""0490011""","White",70.7,83.4
"Fairfield School District","=""0510011""","American Indian or Alaska Native",*,*
"Fairfield School District","=""0510011""","Asian",85.4,97.1
"Fairfield School District","=""0510011""","Black or African American",76.2,*
