"College Entrance and Persistence, 2010-11"
"All Districts"

"Notes:"
"* In this report, year means graduating class of that school year."
"* College entrance refers to the percent of high school graduates from the year who enrolled in college any time during the first year after high school."
"* College persistence refers to the percent of students who enrolled in college the first year after high school and returned for a second year (Freshman to Sophomore persistence)."

"District","District Code","Special Education Status","Entrance(%)","Persistence(%)"
"Ansonia School District","=""0020011""","Students with Disabilities",*,*
"Avon School District","=""0040011""","Students with Disabilities",73.5,84.0
"Berlin School District","=""0070011""","Students with Disabilities",58.6,*
"Bethel School District","=""0090011""","Students with Disabilities",61.9,*
"Bloomfield School District","=""0110011""","Students with Disabilities",*,*
"Bolton School District","=""0120011""","Students with Disabilities",*,*
"Branford School District","=""0140011""","Students with Disabilities",57.7,*
"Bridgeport School District","=""0150011""","Students with Disabilities",32.5,48.1
"Bristol School District","=""0170011""","Students with Disabilities",32.9,56.0
"Brookfield School District","=""0180011""","Students with Disabilities",*,*
"Canton School District","=""0230011""","Students with Disabilities",*,*
"Cheshire School District","=""0250011""","Students with Disabilities",59.1,76.9
"Clinton School District","=""0270011""","Students with Disabilities",53.6,*
"Colchester School District","=""0280011""","Students with Disabilities",62.5,55.0
"Coventry School District","=""0320011""","Students with Disabilities",*,*
"Cromwell School District","=""0330011""","Students with Disabilities",*,*
"Danbury School District","=""0340011""","Students with Disabilities",41.2,67.9
"Darien School District","=""0350011""","Students with Disabilities",73.0,85.2
"Derby School District","=""0370011""","Students with Disabilities",*,*
"East Granby School District","=""0400011""","Students with Disabilities",*,*
"East Haddam School District","=""0410011""","Students with Disabilities",*,*
"East Hampton School District","=""0420011""","Students with Disabilities",*,*
"East Hartford School District","=""0430011""","Students with Disabilities",23.9,*
"East Haven School District","=""0440011""","Students with Disabilities",26.7,*
"East Lyme School District","=""0450011""","Students with Disabilities",54.2,80.8
"East Windsor School District","=""0470011""","Students with Disabilities",*,*
"Ellington School District","=""0480011""","Students with Disabilities",*,*
"Enfield School District","=""0490011""","Students with Disabilities",56.5,73.1
"Fairfield School District","=""0510011""","Students with Disabilities",59.4,89.5
"Farmington School District","=""0520011""","Students with Disabilities",71.9,69.6
"Glastonbury School District","=""0540011""","Students with Disabilities",69.9,90.2
"Granby School District","=""0560011""","Students with Disabilities",*,*
"Greenwich School District","=""0570011""","Students with Disabilities",68.1,83.7
"Griswold School District","=""0580011""","Students with Disabilities",*,*
"Groton School District","=""0590011""","Students with Disabilities",47.6,*
"Guilford School District","=""0600011""","Students with Disabilities",57.6,*
"Hamden School District","=""0620011""","Students with Disabilities",54.4,78.4
"Hartford School District","=""0640011""","Students with Disabilities",33.3,68.3
"Killingly School District","=""0690011""","Students with Disabilities",*,*
"Lebanon School District","=""0710011""","Students with Disabilities",*,*
"Ledyard School District","=""0720011""","Students with Disabilities",39.1,*
"Lisbon School District","=""0730011""","Students with Disabilities",*,*
"Litchfield School District","=""0740011""","Students with Disabilities",*,*
"Madison School District","=""0760011""","Students with Disabilities",80.0,87.5
"Manchester School District","=""0770011""","Students with Disabilities",29.2,*
"Meriden School District","=""0800011""","Students with Disabilities",34.4,52.4
"Middletown School District","=""0830011""","Students with Disabilities",63.6,71.4
"Milford School District","=""0840011""","Students with Disabilities",53.0,94.3
"Monroe School District","=""0850011""","Students with Disabilities",42.9,*
"Montville School District","=""0860011""","Students with Disabilities",*,*
"Naugatuck School District","=""0880011""","Students with Disabilities",45.9,*
"New Britain School District","=""0890011""","Students with Disabilities",35.4,56.5
"New Canaan School District","=""0900011""","Students with Disabilities",71.9,82.6
"New Fairfield School District","=""0910011""","Students with Disabilities",63.0,*
"New Haven School District","=""0930011""","Students with Disabilities",41.2,54.8
"Newington School District","=""0940011""","Students with Disabilities",60.7,*
"New London School District","=""0950011""","Students with Disabilities",*,*
"New Milford School District","=""0960011""","Students with Disabilities",43.6,*
"Newtown School District","=""0970011""","Students with Disabilities",56.3,74.1
"North Branford School District","=""0990011""","Students with Disabilities",48.3,*
"North Haven School District","=""1010011""","Students with Disabilities",54.5,*
"North Stonington School District","=""1020011""","Students with Disabilities",*,*
"Norwalk School District","=""1030011""","Students with Disabilities",45.5,75.6
"Norwich School District","=""1040011""","Students with Disabilities",*,*
"Old Saybrook School District","=""1060011""","Students with Disabilities",*,*
"Oxford School District","=""1080011""","Students with Disabilities",*,*
"Plainfield School District","=""1090011""","Students with Disabilities",25.7,*
"Plainville School District","=""1100011""","Students with Disabilities",33.3,*
"Plymouth School District","=""1110011""","Students with Disabilities",*,*
"Portland School District","=""1130011""","Students with Disabilities",*,*
"Putnam School District","=""1160011""","Students with Disabilities",*,*
"Ridgefield School District","=""1180011""","Students with Disabilities",69.1,86.8
"Rocky Hill School District","=""1190011""","Students with Disabilities",*,*
"Seymour School District","=""1240011""","Students with Disabilities",*,*
"Shelton School District","=""1260011""","Students with Disabilities",33.3,*
"Simsbury School District","=""1280011""","Students with Disabilities",71.9,91.3
"Somers School District","=""1290011""","Students with Disabilities",*,*
"Southington School District","=""1310011""","Students with Disabilities",54.3,84.2
"South Windsor School District","=""1320011""","Students with Disabilities",64.1,84.0
"Stafford School District","=""1340011""","Students with Disabilities",*,*
"Stamford School District","=""1350011""","Students with Disabilities",64.2,77.2
"Stonington School District","=""1370011""","Students with Disabilities",70.0,*
"Stratford School District","=""1380011""","Students with Disabilities",47.1,75.0
"Suffield School District","=""1390011""","Students with Disabilities",*,*
"Thomaston School District","=""1400011""","Students with Disabilities",52.2,*
"Thompson School District","=""1410011""","Students with Disabilities",*,*
"Tolland School District","=""1420011""","Students with Disabilities",*,*
"Torrington School District","=""1430011""","Students with Disabilities",*,*
"Trumbull School District","=""1440011""","Students with Disabilities",59.0,78.3
"Vernon School District","=""1460011""","Students with Disabilities",27.6,*
"Wallingford School District","=""1480011""","Students with Disabilities",48.1,80.8
"Waterbury School District","=""1510011""","Students with Disabilities",26.0,70.6
"Waterford School District","=""1520011""","Students with Disabilities",55.0,*
"Watertown School District","=""1530011""","Students with Disabilities",37.5,*
"Westbrook School District","=""1540011""","Students with Disabilities",*,*
"West Hartford School District","=""1550011""","Students with Disabilities",62.2,87.5
"West Haven School District","=""1560011""","Students with Disabilities",46.7,*
"Weston School District","=""1570011""","Students with Disabilities",95.2,85.0
"Westport School District","=""1580011""","Students with Disabilities",73.9,88.2
"Wethersfield School District","=""1590011""","Students with Disabilities",45.0,*
"Wilton School District","=""1610011""","Students with Disabilities",77.8,92.9
"Windham School District","=""1630011""","Students with Disabilities",24.2,*
"Windsor School District","=""1640011""","Students with Disabilities",53.7,72.7
"Windsor Locks School District","=""1650011""","Students with Disabilities",*,*
"Wolcott School District","=""1660011""","Students with Disabilities",47.8,*
"Regional School District 01","=""2010012""","Students with Disabilities",*,*
"Regional School District 04","=""2040012""","Students with Disabilities",52.2,*
"Regional School District 05","=""2050012""","Students with Disabilities",64.3,88.9
"Regional School District 06","=""2060012""","Students with Disabilities",*,*
"Regional School District 07","=""2070012""","Students with Disabilities",41.4,*
"Regional School District 08","=""2080012""","Students with Disabilities",60.0,*
"Regional School District 09","=""2090012""","Students with Disabilities",80.6,82.8
"Regional School District 10","=""2100012""","Students with Disabilities",*,*
"Regional School District 11","=""2110012""","Students with Disabilities",*,*
"Regional School District 12","=""2120012""","Students with Disabilities",*,*
"Regional School District 13","=""2130012""","Students with Disabilities",*,*
"Regional School District 14","=""2140012""","Students with Disabilities",*,*
"Regional School District 15","=""2150012""","Students with Disabilities",66.7,91.2
"Regional School District 16","=""2160012""","Students with Disabilities",*,*
"Regional School District 17","=""2170012""","Students with Disabilities",46.4,*
"Regional School District 18","=""2180012""","Students with Disabilities",*,*
"Regional School District 19","=""2190012""","Students with Disabilities",43.8,*
"Capitol Region Education Council","=""2410014""","Students with Disabilities",56.8,72.0
"Education Connection","=""2420014""","Students with Disabilities",*,*
"Cooperative Educational Services","=""2430014""","Students with Disabilities",*,*
"Area Cooperative Educational Services","=""2440014""","Students with Disabilities",11.5,*
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Students with Disabilities",*,*
"Common Ground High School District","=""2680013""","Students with Disabilities",*,*
"The Bridge Academy District","=""2690013""","Students with Disabilities",*,*
"Explorations District","=""2720013""","Students with Disabilities",*,*
"Stamford Academy District","=""2820013""","Students with Disabilities",*,*
"Unified School District #1","=""3360015""","Students with Disabilities",*,*
"Department of Mental Health and Addiction Services","=""3370015""","Students with Disabilities",*,*
"Unified School District #2","=""3470015""","Students with Disabilities",*,*
"Connecticut Technical High School System","=""9000016""","Students with Disabilities",37.0,75.3
"Norwich Free Academy District","=""9010022""","Students with Disabilities",44.8,86.7
"The Gilbert School District","=""9020022""","Students with Disabilities",*,*
"Woodstock Academy District","=""9030022""","Students with Disabilities",40.7,*

