"College Entrance and Persistence, 2010-11"
"All Districts"

"Notes:"
"* In this report, year means graduating class of that school year."
"* College entrance refers to the percent of high school graduates from the year who enrolled in college any time during the first year after high school."
"* College persistence refers to the percent of students who enrolled in college the first year after high school and returned for a second year (Freshman to Sophomore persistence)."

"District","District Code","Free/Reduced Price Meal Eligibility","Entrance(%)","Persistence(%)"
"Ansonia School District","=""0020011""","Eligible for Free or Reduced-Price Meals",47.8,81.8
"Avon School District","=""0040011""","Eligible for Free or Reduced-Price Meals",*,*
"Berlin School District","=""0070011""","Eligible for Free or Reduced-Price Meals",58.3,*
"Bethel School District","=""0090011""","Eligible for Free or Reduced-Price Meals",54.1,95.0
"Bloomfield School District","=""0110011""","Eligible for Free or Reduced-Price Meals",68.7,77.2
"Bolton School District","=""0120011""","Eligible for Free or Reduced-Price Meals",*,*
"Branford School District","=""0140011""","Eligible for Free or Reduced-Price Meals",68.8,87.9
"Bridgeport School District","=""0150011""","Eligible for Free or Reduced-Price Meals",57.5,78.3
"Bristol School District","=""0170011""","Eligible for Free or Reduced-Price Meals",54.3,72.9
"Brookfield School District","=""0180011""","Eligible for Free or Reduced-Price Meals",55.0,*
"Canton School District","=""0230011""","Eligible for Free or Reduced-Price Meals",*,*
"Cheshire School District","=""0250011""","Eligible for Free or Reduced-Price Meals",73.0,85.2
"Clinton School District","=""0270011""","Eligible for Free or Reduced-Price Meals",48.3,*
"Colchester School District","=""0280011""","Eligible for Free or Reduced-Price Meals",66.7,68.2
"Coventry School District","=""0320011""","Eligible for Free or Reduced-Price Meals",33.3,*
"Cromwell School District","=""0330011""","Eligible for Free or Reduced-Price Meals",64.5,90.0
"Danbury School District","=""0340011""","Eligible for Free or Reduced-Price Meals",55.2,84.5
"Darien School District","=""0350011""","Eligible for Free or Reduced-Price Meals",*,*
"Derby School District","=""0370011""","Eligible for Free or Reduced-Price Meals",44.4,91.7
"East Granby School District","=""0400011""","Eligible for Free or Reduced-Price Meals",*,*
"East Haddam School District","=""0410011""","Eligible for Free or Reduced-Price Meals",*,*
"East Hampton School District","=""0420011""","Eligible for Free or Reduced-Price Meals",*,*
"East Hartford School District","=""0430011""","Eligible for Free or Reduced-Price Meals",49.7,75.9
"East Haven School District","=""0440011""","Eligible for Free or Reduced-Price Meals",54.9,80.6
"East Lyme School District","=""0450011""","Eligible for Free or Reduced-Price Meals",51.5,*
"East Windsor School District","=""0470011""","Eligible for Free or Reduced-Price Meals",36.7,*
"Ellington School District","=""0480011""","Eligible for Free or Reduced-Price Meals",*,*
"Enfield School District","=""0490011""","Eligible for Free or Reduced-Price Meals",55.0,83.6
"Fairfield School District","=""0510011""","Eligible for Free or Reduced-Price Meals",56.8,91.3
"Farmington School District","=""0520011""","Eligible for Free or Reduced-Price Meals",72.7,83.3
"Glastonbury School District","=""0540011""","Eligible for Free or Reduced-Price Meals",73.5,91.7
"Granby School District","=""0560011""","Eligible for Free or Reduced-Price Meals",*,*
"Greenwich School District","=""0570011""","Eligible for Free or Reduced-Price Meals",66.3,78.5
"Griswold School District","=""0580011""","Eligible for Free or Reduced-Price Meals",53.8,85.7
"Groton School District","=""0590011""","Eligible for Free or Reduced-Price Meals",69.1,80.0
"Guilford School District","=""0600011""","Eligible for Free or Reduced-Price Meals",78.6,77.3
"Hamden School District","=""0620011""","Eligible for Free or Reduced-Price Meals",62.9,85.5
"Hartford School District","=""0640011""","Eligible for Free or Reduced-Price Meals",55.7,75.9
"Killingly School District","=""0690011""","Eligible for Free or Reduced-Price Meals",44.0,86.4
"Lebanon School District","=""0710011""","Eligible for Free or Reduced-Price Meals",69.6,*
"Ledyard School District","=""0720011""","Eligible for Free or Reduced-Price Meals",48.1,65.4
"Lisbon School District","=""0730011""","Eligible for Free or Reduced-Price Meals",*,*
"Litchfield School District","=""0740011""","Eligible for Free or Reduced-Price Meals",*,*
"Madison School District","=""0760011""","Eligible for Free or Reduced-Price Meals",77.3,*
"Manchester School District","=""0770011""","Eligible for Free or Reduced-Price Meals",55.5,78.2
"Meriden School District","=""0800011""","Eligible for Free or Reduced-Price Meals",54.4,69.9
"Middletown School District","=""0830011""","Eligible for Free or Reduced-Price Meals",59.1,76.9
"Milford School District","=""0840011""","Eligible for Free or Reduced-Price Meals",57.6,91.2
