"College Entrance and Persistence, 2012-13"
"All Districts"

"Notes:"
"* In this report, year means graduating class of that school year."
"* College entrance refers to the percent of high school graduates from the year who enrolled in college any time during the first year after high school."
"* College persistence refers to the percent of students who enrolled in college the first year after high school and returned for a second year (Freshman to Sophomore persistence)."

"District","District Code","Free/Reduced Price Meal Eligibility","Entrance(%)","Persistence(%)"
"Ansonia School District","=""0020011""","Eligible for Free or Reduced-Price Meals",53.4,76.2
"Avon School District","=""0040011""","Eligible for Free or Reduced-Price Meals",90.0,*
"Berlin School District","=""0070011""","Eligible for Free or Reduced-Price Meals",54.5,*
"Bethel School District","=""0090011""","Eligible for Free or Reduced-Price Meals",63.0,86.2
"Bloomfield School District","=""0110011""","Eligible for Free or Reduced-Price Meals",64.2,78.6
"Bolton School District","=""0120011""","Eligible for Free or Reduced-Price Meals",*,*
"Branford School District","=""0140011""","Eligible for Free or Reduced-Price Meals",57.6,76.3
"Bridgeport School District","=""0150011""","Eligible for Free or Reduced-Price Meals",56.3,76.7
"Bristol School District","=""0170011""","Eligible for Free or Reduced-Price Meals",46.0,74.7
"Brookfield School District","=""0180011""","Eligible for Free or Reduced-Price Meals",89.7,88.5
"Canton School District","=""0230011""","Eligible for Free or Reduced-Price Meals",*,*
"Cheshire School District","=""0250011""","Eligible for Free or Reduced-Price Meals",58.3,89.3
"Clinton School District","=""0270011""","Eligible for Free or Reduced-Price Meals",51.6,*
"Colchester School District","=""0280011""","Eligible for Free or Reduced-Price Meals",47.2,*
"Coventry School District","=""0320011""","Eligible for Free or Reduced-Price Meals",51.7,*
"Cromwell School District","=""0330011""","Eligible for Free or Reduced-Price Meals",73.5,80.0
"Danbury School District","=""0340011""","Eligible for Free or Reduced-Price Meals",57.2,84.0
"Darien School District","=""0350011""","Eligible for Free or Reduced-Price Meals",*,*
"Derby School District","=""0370011""","Eligible for Free or Reduced-Price Meals",61.1,68.2
"East Granby School District","=""0400011""","Eligible for Free or Reduced-Price Meals",*,*
"East Haddam School District","=""0410011""","Eligible for Free or Reduced-Price Meals",*,*
