"College Entrance and Persistence, 2010-11"
"All Districts"

"Notes:"
"* In this report, year means graduating class of that school year."
"* College entrance refers to the percent of high school graduates from the year who enrolled in college any time during the first year after high school."
"* College persistence refers to the percent of students who enrolled in college the first year after high school and returned for a second year (Freshman to Sophomore persistence)."

"District","District Code","Entrance(%)","Persistence(%)"
"Ansonia School District","=""0020011""",61.0,87.2
"Avon School District","=""0040011""",84.3,95.2
"Berlin School District","=""0070011""",83.5,92.3
"Bethel School District","=""0090011""",81.1,90.7
"Bloomfield School District","=""0110011""",76.5,84.2
"Bolton School District","=""0120011""",88.2,93.3
"Branford School District","=""0140011""",78.0,90.9
"Bridgeport School District","=""0150011""",57.5,78.3
"Bristol School District","=""0170011""",68.7,84.8
"Brookfield School District","=""0180011""",79.3,89.7
"Canton School District","=""0230011""",73.0,91.7
"Cheshire School District","=""0250011""",87.4,94.0
"Clinton School District","=""0270011""",70.2,87.9
"Colchester School District","=""0280011""",80.2,88.1
"Coventry School District","=""0320011""",65.8,89.6
"Cromwell School District","=""0330011""",79.2,90.5
"Danbury School District","=""0340011""",69.0,88.5
"Darien School District","=""0350011""",81.6,96.1
"Derby School District","=""0370011""",60.0,92.6
"East Granby School District","=""0400011""",82.7,93.5
"East Haddam School District","=""0410011""",66.7,94.8
"East Hampton School District","=""0420011""",78.6,87.4
"East Hartford School District","=""0430011""",57.6,77.9
"East Haven School District","=""0440011""",68.3,86.7
"East Lyme School District","=""0450011""",82.1,90.5
"East Windsor School District","=""0470011""",58.8,89.4
"Ellington School District","=""0480011""",83.6,92.3
"Enfield School District","=""0490011""",75.1,88.3
"Fairfield School District","=""0510011""",81.5,94.7
"Farmington School District","=""0520011""",84.0,94.0
"Glastonbury School District","=""0540011""",83.9,96.2
"Granby School District","=""0560011""",88.8,91.0
"Greenwich School District","=""0570011""",78.9,93.1
"Griswold School District","=""0580011""",67.1,81.6
"Groton School District","=""0590011""",77.6,85.6
"Guilford School District","=""0600011""",82.1,91.5
"Hamden School District","=""0620011""",73.4,90.4
"Hartford School District","=""0640011""",56.7,76.9
"Killingly School District","=""0690011""",51.0,82.4
"Lebanon School District","=""0710011""",70.7,87.5
"Ledyard School District","=""0720011""",67.5,83.9
"Lisbon School District","=""0730011""",*,*
"Litchfield School District","=""0740011""",83.9,87.7
"Madison School District","=""0760011""",85.7,96.2
"Manchester School District","=""0770011""",64.7,85.5
"Meriden School District","=""0800011""",62.6,79.2
"Middletown School District","=""0830011""",72.7,86.5
"Milford School District","=""0840011""",77.1,93.6
"Monroe School District","=""0850011""",84.2,96.1
"Montville School District","=""0860011""",72.3,82.0
"Naugatuck School District","=""0880011""",67.4,89.1
"New Britain School District","=""0890011""",57.3,79.5
"New Canaan School District","=""0900011""",78.8,95.9
"New Fairfield School District","=""0910011""",80.3,91.3
"New Haven School District","=""0930011""",62.0,74.8
"Newington School District","=""0940011""",82.5,89.4
"New London School District","=""0950011""",56.2,79.0
"New Milford School District","=""0960011""",73.8,91.7
"Newtown School District","=""0970011""",85.4,90.9
"North Branford School District","=""0990011""",79.7,93.3
"North Haven School District","=""1010011""",81.5,92.3
"North Stonington School District","=""1020011""",72.1,81.8
"Norwalk School District","=""1030011""",73.0,87.9
"Norwich School District","=""1040011""",*,*
"Old Saybrook School District","=""1060011""",88.5,96.0
"Oxford School District","=""1080011""",79.2,90.7
"Plainfield School District","=""1090011""",57.4,84.2
"Plainville School District","=""1100011""",71.3,85.9
"Plymouth School District","=""1110011""",61.5,81.3
"Portland School District","=""1130011""",74.1,88.3
"Putnam School District","=""1160011""",52.3,79.4
"Ridgefield School District","=""1180011""",85.4,95.0
"Rocky Hill School District","=""1190011""",81.3,90.4
"Seymour School District","=""1240011""",80.0,88.3
"Shelton School District","=""1260011""",75.4,91.2
