"College Entrance and Persistence, 2008-09"
"All Districts"

"Notes:"
"* In this report, year means graduating class of that school year."
"* College entrance refers to the percent of high school graduates from the year who enrolled in college any time during the first year after high school."
"* College persistence refers to the percent of students who enrolled in college the first year after high school and returned for a second year (Freshman to Sophomore persistence)."

"District","District Code","Race/Ethnicity","Entrance(%)","Persistence(%)"
"Ansonia School District","=""0020011""","Asian",*,*
"Ansonia School District","=""0020011""","Black or African American",42.9,*
"Ansonia School District","=""0020011""","Hispanic or Latino",57.1,*
"Ansonia School District","=""0020011""","White",63.6,90.5
"Avon School District","=""0040011""","Asian",*,*
"Avon School District","=""0040011""","Black or African American",*,*
"Avon School District","=""0040011""","Hispanic or Latino",*,*
"Avon School District","=""0040011""","White",86.3,93.4
"Berlin School District","=""0070011""","Asian",*,*
"Berlin School District","=""0070011""","Black or African American",*,*
"Berlin School District","=""0070011""","Hispanic or Latino",*,*
"Berlin School District","=""0070011""","White",80.0,91.5
"Bethel School District","=""0090011""","American Indian or Alaska Native",*,*
"Bethel School District","=""0090011""","Asian",*,*
"Bethel School District","=""0090011""","Black or African American",*,*
"Bethel School District","=""0090011""","Hispanic or Latino",68.2,*
"Bethel School District","=""0090011""","White",78.0,87.3
"Bloomfield School District","=""0110011""","Black or African American",60.8,86.3
"Bloomfield School District","=""0110011""","Hispanic or Latino",*,*
"Bloomfield School District","=""0110011""","White",*,*
"Bolton School District","=""0120011""","American Indian or Alaska Native",*,*
"Bolton School District","=""0120011""","Black or African American",*,*
"Bolton School District","=""0120011""","Hispanic or Latino",*,*
"Bolton School District","=""0120011""","White",85.5,95.7
"Branford School District","=""0140011""","Asian",*,*
"Branford School District","=""0140011""","Black or African American",*,*
"Branford School District","=""0140011""","Hispanic or Latino",*,*
"Branford School District","=""0140011""","White",78.0,91.7
"Bridgeport School District","=""0150011""","American Indian or Alaska Native",*,*
"Bridgeport School District","=""0150011""","Asian",*,*
"Bridgeport School District","=""0150011""","Black or African American",62.4,76.9
