"College Entrance and Persistence, 2012-13"
"All Districts"

"Notes:"
"* In this report, year means graduating class of that school year."
"* College entrance refers to the percent of high school graduates from the year who enrolled in college any time during the first year after high school."
"* College persistence refers to the percent of students who enrolled in college the first year after high school and returned for a second year (Freshman to Sophomore persistence)."

"District","District Code","Special Education Status","Entrance(%)","Persistence(%)"
"Ansonia School District","=""0020011""","Students with Disabilities",*,*
"Avon School District","=""0040011""","Students with Disabilities",76.3,86.2
"Berlin School District","=""0070011""","Students with Disabilities",51.6,*
"Bethel School District","=""0090011""","Students with Disabilities",60.0,*
"Bloomfield School District","=""0110011""","Students with Disabilities",40.7,*
"Bolton School District","=""0120011""","Students with Disabilities",*,*
"Branford School District","=""0140011""","Students with Disabilities",50.0,*
"Bridgeport School District","=""0150011""","Students with Disabilities",41.8,69.6
"Bristol School District","=""0170011""","Students with Disabilities",31.0,69.2
"Brookfield School District","=""0180011""","Students with Disabilities",*,*
"Canton School District","=""0230011""","Students with Disabilities",*,*
"Cheshire School District","=""0250011""","Students with Disabilities",56.6,86.7
"Clinton School District","=""0270011""","Students with Disabilities",*,*
"Colchester School District","=""0280011""","Students with Disabilities",40.0,*
"Coventry School District","=""0320011""","Students with Disabilities",*,*
"Cromwell School District","=""0330011""","Students with Disabilities",*,*
"Danbury School District","=""0340011""","Students with Disabilities",37.1,80.8
"Darien School District","=""0350011""","Students with Disabilities",91.1,95.1
"Derby School District","=""0370011""","Students with Disabilities",*,*
"East Granby School District","=""0400011""","Students with Disabilities",*,*
"East Haddam School District","=""0410011""","Students with Disabilities",*,*
"East Hampton School District","=""0420011""","Students with Disabilities",*,*
"East Hartford School District","=""0430011""","Students with Disabilities",27.0,58.3
"East Haven School District","=""0440011""","Students with Disabilities",46.2,*
"East Lyme School District","=""0450011""","Students with Disabilities",66.7,84.4
"East Windsor School District","=""0470011""","Students with Disabilities",*,*
"Ellington School District","=""0480011""","Students with Disabilities",60.0,*
"Enfield School District","=""0490011""","Students with Disabilities",41.7,48.0
"Fairfield School District","=""0510011""","Students with Disabilities",71.6,88.2
"Farmington School District","=""0520011""","Students with Disabilities",75.8,92.0
"Glastonbury School District","=""0540011""","Students with Disabilities",76.9,90.0
"Granby School District","=""0560011""","Students with Disabilities",*,*
"Greenwich School District","=""0570011""","Students with Disabilities",75.3,81.4
"Griswold School District","=""0580011""","Students with Disabilities",*,*
"Groton School District","=""0590011""","Students with Disabilities",50.0,*
"Guilford School District","=""0600011""","Students with Disabilities",75.6,77.4
"Hamden School District","=""0620011""","Students with Disabilities",52.4,72.7
"Hartford School District","=""0640011""","Students with Disabilities",36.6,70.0
"Killingly School District","=""0690011""","Students with Disabilities",24.0,*
"Lebanon School District","=""0710011""","Students with Disabilities",*,*
"Ledyard School District","=""0720011""","Students with Disabilities",50.0,*
"Lisbon School District","=""0730011""","Students with Disabilities",*,*
"Litchfield School District","=""0740011""","Students with Disabilities",*,*
"Madison School District","=""0760011""","Students with Disabilities",72.9,85.7
"Manchester School District","=""0770011""","Students with Disabilities",39.0,56.5
"Meriden School District","=""0800011""","Students with Disabilities",33.9,71.4
"Middletown School District","=""0830011""","Students with Disabilities",30.2,*
"Milford School District","=""0840011""","Students with Disabilities",52.6,72.5
"Monroe School District","=""0850011""","Students with Disabilities",57.9,81.8
"Montville School District","=""0860011""","Students with Disabilities",32.0,*
"Naugatuck School District","=""0880011""","Students with Disabilities",32.5,*
"New Britain School District","=""0890011""","Students with Disabilities",32.9,57.1
"New Canaan School District","=""0900011""","Students with Disabilities",71.1,93.8
"New Fairfield School District","=""0910011""","Students with Disabilities",66.7,*
"New Haven School District","=""0930011""","Students with Disabilities",35.4,68.9
"Newington School District","=""0940011""","Students with Disabilities",52.9,*
"New London School District","=""0950011""","Students with Disabilities",31.8,*
"New Milford School District","=""0960011""","Students with Disabilities",35.8,*
"Newtown School District","=""0970011""","Students with Disabilities",68.3,89.3
"North Branford School District","=""0990011""","Students with Disabilities",45.5,*
"North Haven School District","=""1010011""","Students with Disabilities",67.9,*
"North Stonington School District","=""1020011""","Students with Disabilities",*,*
"Norwalk School District","=""1030011""","Students with Disabilities",55.8,77.1
"Norwich School District","=""1040011""","Students with Disabilities",*,*
"Old Saybrook School District","=""1060011""","Students with Disabilities",*,*
"Oxford School District","=""1080011""","Students with Disabilities",*,*
"Plainfield School District","=""1090011""","Students with Disabilities",23.3,*
"Plainville School District","=""1100011""","Students with Disabilities",56.0,*
"Plymouth School District","=""1110011""","Students with Disabilities",*,*
"Portland School District","=""1130011""","Students with Disabilities",*,*
"Putnam School District","=""1160011""","Students with Disabilities",*,*
"Ridgefield School District","=""1180011""","Students with Disabilities",74.5,94.7
"Rocky Hill School District","=""1190011""","Students with Disabilities",72.0,*
"Seymour School District","=""1240011""","Students with Disabilities",*,*
"Shelton School District","=""1260011""","Students with Disabilities",*,*
"Simsbury School District","=""1280011""","Students with Disabilities",78.7,89.6
"Somers School District","=""1290011""","Students with Disabilities",*,*
"Southington School District","=""1310011""","Students with Disabilities",49.3,67.6
"South Windsor School District","=""1320011""","Students with Disabilities",45.7,90.5
"Stafford School District","=""1340011""","Students with Disabilities",*,*
"Stamford School District","=""1350011""","Students with Disabilities",54.7,78.1
"Stonington School District","=""1370011""","Students with Disabilities",*,*
"Stratford School District","=""1380011""","Students with Disabilities",35.0,57.1
"Suffield School District","=""1390011""","Students with Disabilities",68.2,*
"Thomaston School District","=""1400011""","Students with Disabilities",*,*
"Thompson School District","=""1410011""","Students with Disabilities",*,*
"Tolland School District","=""1420011""","Students with Disabilities",39.4,*
"Torrington School District","=""1430011""","Students with Disabilities",30.8,*
"Trumbull School District","=""1440011""","Students with Disabilities",61.7,86.5
"Vernon School District","=""1460011""","Students with Disabilities",31.0,*
"Wallingford School District","=""1480011""","Students with Disabilities",58.0,80.0
"Waterbury School District","=""1510011""","Students with Disabilities",32.2,53.1
"Waterford School District","=""1520011""","Students with Disabilities",*,*
