"College Entrance and Persistence, 2007-08"
"All Districts"

"Notes:"
"* In this report, year means graduating class of that school year."
"* College entrance refers to the percent of high school graduates from the year who enrolled in college any time during the first year after high school."
"* College persistence refers to the percent of students who enrolled in college the first year after high school and returned for a second year (Freshman to Sophomore persistence)."

"District","District Code","Free/Reduced Price Meal Eligibility","Entrance(%)","Persistence(%)"
"Ansonia School District","=""0020011""","Eligible for Free or Reduced-Price Meals",55.7,70.6
"Avon School District","=""0040011""","Eligible for Free or Reduced-Price Meals",*,*
"Berlin School District","=""0070011""","Eligible for Free or Reduced-Price Meals",*,*
"Bethel School District","=""0090011""","Eligible for Free or Reduced-Price Meals",50.0,*
"Bloomfield School District","=""0110011""","Eligible for Free or Reduced-Price Meals",61.1,84.8
"Bolton School District","=""0120011""","Eligible for Free or Reduced-Price Meals",*,*
"Branford School District","=""0140011""","Eligible for Free or Reduced-Price Meals",64.0,*
"Bridgeport School District","=""0150011""","Eligible for Free or Reduced-Price Meals",48.7,83.0
"Bristol School District","=""0170011""","Eligible for Free or Reduced-Price Meals",47.7,79.0
"Brookfield School District","=""0180011""","Eligible for Free or Reduced-Price Meals",*,*
"Canton School District","=""0230011""","Eligible for Free or Reduced-Price Meals",*,*
"Cheshire School District","=""0250011""","Eligible for Free or Reduced-Price Meals",*,*
"Clinton School District","=""0270011""","Eligible for Free or Reduced-Price Meals",*,*
"Colchester School District","=""0280011""","Eligible for Free or Reduced-Price Meals",*,*
"Coventry School District","=""0320011""","Eligible for Free or Reduced-Price Meals",*,*
"Cromwell School District","=""0330011""","Eligible for Free or Reduced-Price Meals",*,*
"Danbury School District","=""0340011""","Eligible for Free or Reduced-Price Meals",51.4,73.1
"Derby School District","=""0370011""","Eligible for Free or Reduced-Price Meals",48.3,*
"East Granby School District","=""0400011""","Eligible for Free or Reduced-Price Meals",*,*
"East Haddam School District","=""0410011""","Eligible for Free or Reduced-Price Meals",*,*
"East Hampton School District","=""0420011""","Eligible for Free or Reduced-Price Meals",*,*
"East Hartford School District","=""0430011""","Eligible for Free or Reduced-Price Meals",48.8,70.1
"East Haven School District","=""0440011""","Eligible for Free or Reduced-Price Meals",52.9,86.5
"East Lyme School District","=""0450011""","Eligible for Free or Reduced-Price Meals",*,*
"East Windsor School District","=""0470011""","Eligible for Free or Reduced-Price Meals",32.3,*
"Ellington School District","=""0480011""","Eligible for Free or Reduced-Price Meals",*,*
"Enfield School District","=""0490011""","Eligible for Free or Reduced-Price Meals",61.2,78.0
"Fairfield School District","=""0510011""","Eligible for Free or Reduced-Price Meals",58.3,*
"Farmington School District","=""0520011""","Eligible for Free or Reduced-Price Meals",75.0,*
"Glastonbury School District","=""0540011""","Eligible for Free or Reduced-Price Meals",71.0,72.7
"Granby School District","=""0560011""","Eligible for Free or Reduced-Price Meals",*,*
"Greenwich School District","=""0570011""","Eligible for Free or Reduced-Price Meals",59.7,90.7
"Griswold School District","=""0580011""","Eligible for Free or Reduced-Price Meals",57.1,*
"Groton School District","=""0590011""","Eligible for Free or Reduced-Price Meals",39.7,64.0
"Guilford School District","=""0600011""","Eligible for Free or Reduced-Price Meals",*,*
"Hamden School District","=""0620011""","Eligible for Free or Reduced-Price Meals",63.1,71.3
"Hartford School District","=""0640011""","Eligible for Free or Reduced-Price Meals",55.4,80.0
"Killingly School District","=""0690011""","Eligible for Free or Reduced-Price Meals",35.9,82.6
"Lebanon School District","=""0710011""","Eligible for Free or Reduced-Price Meals",*,*
"Ledyard School District","=""0720011""","Eligible for Free or Reduced-Price Meals",50.0,*
"Litchfield School District","=""0740011""","Eligible for Free or Reduced-Price Meals",*,*
