"College Entrance and Persistence, 2013-14"
"All Districts"

"Notes:"
"* In this report, year means graduating class of that school year."
"* College entrance refers to the percent of high school graduates from the year who enrolled in college any time during the first year after high school."
"* College persistence refers to the percent of students who enrolled in college the first year after high school and returned for a second year (Freshman to Sophomore persistence)."

"District","District Code","Free/Reduced Price Meal Eligibility","Entrance(%)","Persistence(%)"
"Ansonia School District","=""0020011""","Eligible for Free or Reduced-Price Meals",53.8,71.4
"Avon School District","=""0040011""","Eligible for Free or Reduced-Price Meals",76.9,85.0
"Berlin School District","=""0070011""","Eligible for Free or Reduced-Price Meals",71.1,78.1
"Bethel School District","=""0090011""","Eligible for Free or Reduced-Price Meals",59.2,72.4
"Bloomfield School District","=""0110011""","Eligible for Free or Reduced-Price Meals",66.7,75.6
"Bolton School District","=""0120011""","Eligible for Free or Reduced-Price Meals",*,*
"Branford School District","=""0140011""","Eligible for Free or Reduced-Price Meals",61.3,91.8
"Bridgeport School District","=""0150011""","Eligible for Free or Reduced-Price Meals",52.8,79.6
"Bristol School District","=""0170011""","Eligible for Free or Reduced-Price Meals",45.8,77.6
"Brookfield School District","=""0180011""","Eligible for Free or Reduced-Price Meals",81.3,88.5
"Canton School District","=""0230011""","Eligible for Free or Reduced-Price Meals",*,*
"Cheshire School District","=""0250011""","Eligible for Free or Reduced-Price Meals",76.1,88.6
"Clinton School District","=""0270011""","Eligible for Free or Reduced-Price Meals",40.7,*
"Colchester School District","=""0280011""","Eligible for Free or Reduced-Price Meals",62.8,74.1
"Coventry School District","=""0320011""","Eligible for Free or Reduced-Price Meals",*,*
"Cromwell School District","=""0330011""","Eligible for Free or Reduced-Price Meals",67.7,85.7
"Danbury School District","=""0340011""","Eligible for Free or Reduced-Price Meals",54.9,81.5
"Darien School District","=""0350011""","Eligible for Free or Reduced-Price Meals",*,*
"Derby School District","=""0370011""","Eligible for Free or Reduced-Price Meals",44.4,64.3
"East Granby School District","=""0400011""","Eligible for Free or Reduced-Price Meals",*,*
"East Haddam School District","=""0410011""","Eligible for Free or Reduced-Price Meals",39.1,*
"East Hampton School District","=""0420011""","Eligible for Free or Reduced-Price Meals",*,*
"East Hartford School District","=""0430011""","Eligible for Free or Reduced-Price Meals",54.4,70.8
"East Haven School District","=""0440011""","Eligible for Free or Reduced-Price Meals",62.9,79.5
"East Lyme School District","=""0450011""","Eligible for Free or Reduced-Price Meals",69.7,91.3
"East Windsor School District","=""0470011""","Eligible for Free or Reduced-Price Meals",46.7,71.4
"Ellington School District","=""0480011""","Eligible for Free or Reduced-Price Meals",48.0,*
