"College Entrance and Persistence, 2011-12"
"All Districts"

"Notes:"
"* In this report, year means graduating class of that school year."
"* College entrance refers to the percent of high school graduates from the year who enrolled in college any time during the first year after high school."
"* College persistence refers to the percent of students who enrolled in college the first year after high school and returned for a second year (Freshman to Sophomore persistence)."

"District","District Code","Special Education Status","Entrance(%)","Persistence(%)"
"Ansonia School District","=""0020011""","Students with Disabilities",24.0,*
"Avon School District","=""0040011""","Students with Disabilities",76.2,96.9
"Berlin School District","=""0070011""","Students with Disabilities",40.5,*
"Bethel School District","=""0090011""","Students with Disabilities",51.9,*
"Bloomfield School District","=""0110011""","Students with Disabilities",55.2,*
"Bolton School District","=""0120011""","Students with Disabilities",*,*
"Branford School District","=""0140011""","Students with Disabilities",56.3,*
"Bridgeport School District","=""0150011""","Students with Disabilities",29.9,62.1
"Bristol School District","=""0170011""","Students with Disabilities",25.6,82.6
"Brookfield School District","=""0180011""","Students with Disabilities",*,*
"Canton School District","=""0230011""","Students with Disabilities",*,*
"Cheshire School District","=""0250011""","Students with Disabilities",55.1,96.3
"Clinton School District","=""0270011""","Students with Disabilities",*,*
"Colchester School District","=""0280011""","Students with Disabilities",63.0,*
"Coventry School District","=""0320011""","Students with Disabilities",36.0,*
"Cromwell School District","=""0330011""","Students with Disabilities",*,*
"Danbury School District","=""0340011""","Students with Disabilities",42.9,74.1
"Darien School District","=""0350011""","Students with Disabilities",75.0,90.9
"Derby School District","=""0370011""","Students with Disabilities",*,*
"East Granby School District","=""0400011""","Students with Disabilities",*,*
"East Haddam School District","=""0410011""","Students with Disabilities",*,*
"East Hampton School District","=""0420011""","Students with Disabilities",*,*
"East Hartford School District","=""0430011""","Students with Disabilities",37.1,57.6
"East Haven School District","=""0440011""","Students with Disabilities",34.8,*
"East Lyme School District","=""0450011""","Students with Disabilities",48.9,65.2
"East Windsor School District","=""0470011""","Students with Disabilities",*,*
"Ellington School District","=""0480011""","Students with Disabilities",*,*
"Enfield School District","=""0490011""","Students with Disabilities",50.0,71.0
"Fairfield School District","=""0510011""","Students with Disabilities",70.3,87.3
"Farmington School District","=""0520011""","Students with Disabilities",62.5,*
"Glastonbury School District","=""0540011""","Students with Disabilities",67.1,87.8
"Granby School District","=""0560011""","Students with Disabilities",70.8,*
"Greenwich School District","=""0570011""","Students with Disabilities",67.4,89.1
"Griswold School District","=""0580011""","Students with Disabilities",*,*
"Groton School District","=""0590011""","Students with Disabilities",43.3,*
"Guilford School District","=""0600011""","Students with Disabilities",54.3,*
"Hamden School District","=""0620011""","Students with Disabilities",47.7,74.2
"Hartford School District","=""0640011""","Students with Disabilities",37.1,62.9
"Killingly School District","=""0690011""","Students with Disabilities",41.7,*
"Lebanon School District","=""0710011""","Students with Disabilities",*,*
"Ledyard School District","=""0720011""","Students with Disabilities",60.0,*
"Litchfield School District","=""0740011""","Students with Disabilities",*,*
"Madison School District","=""0760011""","Students with Disabilities",78.0,84.4
"Manchester School District","=""0770011""","Students with Disabilities",35.6,57.7
"Meriden School District","=""0800011""","Students with Disabilities",29.7,68.2
"Middletown School District","=""0830011""","Students with Disabilities",38.9,*
"Milford School District","=""0840011""","Students with Disabilities",40.8,82.8
"Monroe School District","=""0850011""","Students with Disabilities",75.0,*
"Montville School District","=""0860011""","Students with Disabilities",44.8,*
"Naugatuck School District","=""0880011""","Students with Disabilities",24.4,*
"New Britain School District","=""0890011""","Students with Disabilities",31.1,*
"New Canaan School District","=""0900011""","Students with Disabilities",83.7,91.7
"New Fairfield School District","=""0910011""","Students with Disabilities",61.9,*
"New Haven School District","=""0930011""","Students with Disabilities",45.6,63.8
"Newington School District","=""0940011""","Students with Disabilities",42.9,*
"New London School District","=""0950011""","Students with Disabilities",60.7,*
"New Milford School District","=""0960011""","Students with Disabilities",55.1,85.2
"Newtown School District","=""0970011""","Students with Disabilities",63.9,91.3
"North Branford School District","=""0990011""","Students with Disabilities",*,*
"North Haven School District","=""1010011""","Students with Disabilities",60.9,*
"North Stonington School District","=""1020011""","Students with Disabilities",*,*
"Norwalk School District","=""1030011""","Students with Disabilities",47.6,76.0
"Norwich School District","=""1040011""","Students with Disabilities",*,*
"Old Saybrook School District","=""1060011""","Students with Disabilities",*,*
"Oxford School District","=""1080011""","Students with Disabilities",*,*
"Plainfield School District","=""1090011""","Students with Disabilities",29.7,*
"Plainville School District","=""1100011""","Students with Disabilities",45.5,*
"Plymouth School District","=""1110011""","Students with Disabilities",*,*
"Portland School District","=""1130011""","Students with Disabilities",*,*
"Putnam School District","=""1160011""","Students with Disabilities",*,*
"Ridgefield School District","=""1180011""","Students with Disabilities",77.2,86.4
"Rocky Hill School District","=""1190011""","Students with Disabilities",*,*
"Seymour School District","=""1240011""","Students with Disabilities",*,*
"Shelton School District","=""1260011""","Students with Disabilities",35.7,*
"Simsbury School District","=""1280011""","Students with Disabilities",71.7,78.9
"Somers School District","=""1290011""","Students with Disabilities",*,*
"Southington School District","=""1310011""","Students with Disabilities",50.0,86.2
"South Windsor School District","=""1320011""","Students with Disabilities",58.8,76.7
"Stafford School District","=""1340011""","Students with Disabilities",43.5,*
"Stamford School District","=""1350011""","Students with Disabilities",53.7,81.5
"Stonington School District","=""1370011""","Students with Disabilities",*,*
"Stratford School District","=""1380011""","Students with Disabilities",52.3,82.6
"Suffield School District","=""1390011""","Students with Disabilities",61.9,*
"Thomaston School District","=""1400011""","Students with Disabilities",*,*
"Thompson School District","=""1410011""","Students with Disabilities",*,*
"Tolland School District","=""1420011""","Students with Disabilities",62.5,*
"Torrington School District","=""1430011""","Students with Disabilities",25.0,*
"Trumbull School District","=""1440011""","Students with Disabilities",68.0,91.2
"Vernon School District","=""1460011""","Students with Disabilities",34.6,*
"Wallingford School District","=""1480011""","Students with Disabilities",54.5,69.4
"Waterbury School District","=""1510011""","Students with Disabilities",30.0,60.6
"Waterford School District","=""1520011""","Students with Disabilities",44.0,*
"Watertown School District","=""1530011""","Students with Disabilities",48.1,*
"Westbrook School District","=""1540011""","Students with Disabilities",*,*
"West Hartford School District","=""1550011""","Students with Disabilities",58.5,80.0
"West Haven School District","=""1560011""","Students with Disabilities",42.4,*
"Weston School District","=""1570011""","Students with Disabilities",86.4,*
"Westport School District","=""1580011""","Students with Disabilities",77.4,87.5
"Wethersfield School District","=""1590011""","Students with Disabilities",66.7,*
"Wilton School District","=""1610011""","Students with Disabilities",73.5,92.0
"Windham School District","=""1630011""","Students with Disabilities",27.0,*
"Windsor School District","=""1640011""","Students with Disabilities",44.4,*
"Windsor Locks School District","=""1650011""","Students with Disabilities",*,*
"Wolcott School District","=""1660011""","Students with Disabilities",46.4,*
"Regional School District 01","=""2010012""","Students with Disabilities",38.5,*
"Regional School District 04","=""2040012""","Students with Disabilities",44.0,*
"Regional School District 05","=""2050012""","Students with Disabilities",65.2,80.0
"Regional School District 06","=""2060012""","Students with Disabilities",*,*
"Regional School District 07","=""2070012""","Students with Disabilities",*,*
"Regional School District 08","=""2080012""","Students with Disabilities",72.7,87.5
"Regional School District 09","=""2090012""","Students with Disabilities",90.9,90.0
"Regional School District 10","=""2100012""","Students with Disabilities",50.0,*
"Regional School District 11","=""2110012""","Students with Disabilities",*,*
"Regional School District 12","=""2120012""","Students with Disabilities",*,*
"Regional School District 13","=""2130012""","Students with Disabilities",60.9,*
"Regional School District 14","=""2140012""","Students with Disabilities",45.5,*
"Regional School District 15","=""2150012""","Students with Disabilities",61.2,86.7
"Regional School District 16","=""2160012""","Students with Disabilities",*,*
"Regional School District 17","=""2170012""","Students with Disabilities",44.0,*
"Regional School District 18","=""2180012""","Students with Disabilities",*,*
"Regional School District 19","=""2190012""","Students with Disabilities",45.1,69.6
"Capitol Region Education Council","=""2410014""","Students with Disabilities",41.7,70.0
"Education Connection","=""2420014""","Students with Disabilities",*,*
"Cooperative Educational Services","=""2430014""","Students with Disabilities",*,*
"Area Cooperative Educational Services","=""2440014""","Students with Disabilities",*,*
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Students with Disabilities",30.4,*
"Common Ground High School District","=""2680013""","Students with Disabilities",*,*
