"College Entrance and Persistence, 2008-09"
"All Districts"

"Notes:"
"* In this report, year means graduating class of that school year."
"* College entrance refers to the percent of high school graduates from the year who enrolled in college any time during the first year after high school."
"* College persistence refers to the percent of students who enrolled in college the first year after high school and returned for a second year (Freshman to Sophomore persistence)."

"District","District Code","Special Education Status","Entrance(%)","Persistence(%)"
"Ansonia School District","=""0020011""","Students with Disabilities",*,*
"Avon School District","=""0040011""","Students with Disabilities",50.0,*
"Berlin School District","=""0070011""","Students with Disabilities",51.5,*
"Bethel School District","=""0090011""","Students with Disabilities",*,*
"Bloomfield School District","=""0110011""","Students with Disabilities",*,*
"Bolton School District","=""0120011""","Students with Disabilities",*,*
"Branford School District","=""0140011""","Students with Disabilities",48.1,*
"Bridgeport School District","=""0150011""","Students with Disabilities",35.2,59.4
"Bristol School District","=""0170011""","Students with Disabilities",35.7,72.0
"Brookfield School District","=""0180011""","Students with Disabilities",*,*
"Canton School District","=""0230011""","Students with Disabilities",*,*
"Cheshire School District","=""0250011""","Students with Disabilities",63.4,84.6
"Clinton School District","=""0270011""","Students with Disabilities",*,*
"Colchester School District","=""0280011""","Students with Disabilities",41.7,*
"Coventry School District","=""0320011""","Students with Disabilities",*,*
"Cromwell School District","=""0330011""","Students with Disabilities",*,*
"Danbury School District","=""0340011""","Students with Disabilities",37.5,*
"Darien School District","=""0350011""","Students with Disabilities",82.9,82.8
"Derby School District","=""0370011""","Students with Disabilities",*,*
"Eastford School District","=""0390011""","Students with Disabilities",*,*
"East Granby School District","=""0400011""","Students with Disabilities",*,*
"East Haddam School District","=""0410011""","Students with Disabilities",*,*
"East Hampton School District","=""0420011""","Students with Disabilities",*,*
"East Hartford School District","=""0430011""","Students with Disabilities",24.6,*
"East Haven School District","=""0440011""","Students with Disabilities",25.9,*
"East Lyme School District","=""0450011""","Students with Disabilities",66.7,68.2
"East Windsor School District","=""0470011""","Students with Disabilities",*,*
"Ellington School District","=""0480011""","Students with Disabilities",*,*
"Enfield School District","=""0490011""","Students with Disabilities",53.7,79.3
"Fairfield School District","=""0510011""","Students with Disabilities",70.6,85.4
"Farmington School District","=""0520011""","Students with Disabilities",71.4,70.0
"Glastonbury School District","=""0540011""","Students with Disabilities",77.6,80.0
"Granby School District","=""0560011""","Students with Disabilities",*,*
"Greenwich School District","=""0570011""","Students with Disabilities",66.7,77.6
"Griswold School District","=""0580011""","Students with Disabilities",*,*
"Groton School District","=""0590011""","Students with Disabilities",55.6,70.0
"Guilford School District","=""0600011""","Students with Disabilities",60.0,*
"Hamden School District","=""0620011""","Students with Disabilities",43.6,75.0
"Hartford School District","=""0640011""","Students with Disabilities",39.6,62.5
"Killingly School District","=""0690011""","Students with Disabilities",*,*
"Lebanon School District","=""0710011""","Students with Disabilities",*,*
"Ledyard School District","=""0720011""","Students with Disabilities",37.5,*
"Litchfield School District","=""0740011""","Students with Disabilities",*,*
"Madison School District","=""0760011""","Students with Disabilities",77.8,81.0
"Manchester School District","=""0770011""","Students with Disabilities",26.7,*
"Meriden School District","=""0800011""","Students with Disabilities",32.3,45.0
"Middletown School District","=""0830011""","Students with Disabilities",37.5,*
"Milford School District","=""0840011""","Students with Disabilities",43.7,83.9
"Monroe School District","=""0850011""","Students with Disabilities",52.0,*
"Montville School District","=""0860011""","Students with Disabilities",26.1,*
"Naugatuck School District","=""0880011""","Students with Disabilities",39.5,*
"New Britain School District","=""0890011""","Students with Disabilities",18.5,*
"New Canaan School District","=""0900011""","Students with Disabilities",82.8,95.8
"New Fairfield School District","=""0910011""","Students with Disabilities",68.2,*
"New Haven School District","=""0930011""","Students with Disabilities",42.9,43.8
"Newington School District","=""0940011""","Students with Disabilities",60.9,*
"New London School District","=""0950011""","Students with Disabilities",30.0,*
"New Milford School District","=""0960011""","Students with Disabilities",58.6,*
"Newtown School District","=""0970011""","Students with Disabilities",42.9,*
"North Branford School District","=""0990011""","Students with Disabilities",*,*
"North Haven School District","=""1010011""","Students with Disabilities",50.0,*
