"College Entrance and Persistence, 2011-12"
"All Districts"

"Notes:"
"* In this report, year means graduating class of that school year."
"* College entrance refers to the percent of high school graduates from the year who enrolled in college any time during the first year after high school."
"* College persistence refers to the percent of students who enrolled in college the first year after high school and returned for a second year (Freshman to Sophomore persistence)."

"District","District Code","Gender","Entrance(%)","Persistence(%)"
"Ansonia School District","=""0020011""","Female",64.4,87.5
"Ansonia School District","=""0020011""","Male",59.8,82.7
"Avon School District","=""0040011""","Female",88.5,95.9
"Avon School District","=""0040011""","Male",84.4,94.1
"Berlin School District","=""0070011""","Female",88.1,98.4
"Berlin School District","=""0070011""","Male",73.4,85.0
"Bethel School District","=""0090011""","Female",82.4,92.2
"Bethel School District","=""0090011""","Male",72.6,93.5
"Bloomfield School District","=""0110011""","Female",71.1,81.4
"Bloomfield School District","=""0110011""","Male",64.7,67.3
"Bolton School District","=""0120011""","Female",85.7,96.7
"Bolton School District","=""0120011""","Male",90.3,89.3
"Branford School District","=""0140011""","Female",84.9,90.7
"Branford School District","=""0140011""","Male",71.2,84.5
"Bridgeport School District","=""0150011""","Female",58.4,81.5
"Bridgeport School District","=""0150011""","Male",52.4,81.4
"Bristol School District","=""0170011""","Female",69.9,91.9
"Bristol School District","=""0170011""","Male",57.2,90.4
"Brookfield School District","=""0180011""","Female",84.6,93.9
"Brookfield School District","=""0180011""","Male",82.8,89.6
"Canton School District","=""0230011""","Female",85.5,96.2
"Canton School District","=""0230011""","Male",79.6,93.0
"Cheshire School District","=""0250011""","Female",86.5,95.8
"Cheshire School District","=""0250011""","Male",88.6,94.7
"Clinton School District","=""0270011""","Female",75.4,100.0
"Clinton School District","=""0270011""","Male",60.7,91.9
"Colchester School District","=""0280011""","Female",82.7,91.8
"Colchester School District","=""0280011""","Male",72.4,76.3
"Coventry School District","=""0320011""","Female",71.6,89.6
"Coventry School District","=""0320011""","Male",63.4,75.6
"Cromwell School District","=""0330011""","Female",82.9,84.5
"Cromwell School District","=""0330011""","Male",73.1,93.9
"Danbury School District","=""0340011""","Female",75.6,89.2
"Danbury School District","=""0340011""","Male",61.9,83.9
"Darien School District","=""0350011""","Female",87.4,97.1
"Darien School District","=""0350011""","Male",85.6,97.6
"Derby School District","=""0370011""","Female",70.7,93.1
"Derby School District","=""0370011""","Male",55.1,81.5
"East Granby School District","=""0400011""","Female",76.7,87.0
"East Granby School District","=""0400011""","Male",76.7,95.7
"East Haddam School District","=""0410011""","Female",88.7,89.4
"East Haddam School District","=""0410011""","Male",61.5,95.8
"East Hampton School District","=""0420011""","Female",72.4,89.1
"East Hampton School District","=""0420011""","Male",64.2,78.8
"East Hartford School District","=""0430011""","Female",71.4,81.6
"East Hartford School District","=""0430011""","Male",53.9,78.6
"East Haven School District","=""0440011""","Female",76.3,90.5
"East Haven School District","=""0440011""","Male",64.0,85.4
"East Lyme School District","=""0450011""","Female",84.9,93.0
"East Lyme School District","=""0450011""","Male",78.4,81.9
"East Windsor School District","=""0470011""","Female",67.4,86.2
"East Windsor School District","=""0470011""","Male",54.1,85.0
"Ellington School District","=""0480011""","Female",83.3,94.7
"Ellington School District","=""0480011""","Male",75.0,91.7
"Enfield School District","=""0490011""","Female",77.7,89.9
"Enfield School District","=""0490011""","Male",61.0,88.2
"Fairfield School District","=""0510011""","Female",88.0,95.4
"Fairfield School District","=""0510011""","Male",79.7,89.8
"Farmington School District","=""0520011""","Female",82.6,94.3
"Farmington School District","=""0520011""","Male",87.1,92.6
"Glastonbury School District","=""0540011""","Female",93.0,95.6
"Glastonbury School District","=""0540011""","Male",83.3,94.8
"Granby School District","=""0560011""","Female",91.8,92.2
"Granby School District","=""0560011""","Male",72.5,87.9
"Greenwich School District","=""0570011""","Female",78.3,94.6
"Greenwich School District","=""0570011""","Male",75.2,95.3
"Griswold School District","=""0580011""","Female",62.5,84.0
"Griswold School District","=""0580011""","Male",53.4,91.5
"Groton School District","=""0590011""","Female",81.2,86.1
"Groton School District","=""0590011""","Male",66.4,87.1
"Guilford School District","=""0600011""","Female",82.9,96.7
"Guilford School District","=""0600011""","Male",73.5,87.0
"Hamden School District","=""0620011""","Female",76.0,90.1
"Hamden School District","=""0620011""","Male",64.0,84.2
"Hartford School District","=""0640011""","Female",60.4,78.0
"Hartford School District","=""0640011""","Male",53.5,77.2
"Killingly School District","=""0690011""","Female",65.1,81.5
"Killingly School District","=""0690011""","Male",65.3,78.7
"Lebanon School District","=""0710011""","Female",79.0,85.7
"Lebanon School District","=""0710011""","Male",67.3,86.5
"Ledyard School District","=""0720011""","Female",71.3,88.3
"Ledyard School District","=""0720011""","Male",75.3,76.6
"Lisbon School District","=""0730011""","Female",*,*
"Litchfield School District","=""0740011""","Female",80.0,92.5
"Litchfield School District","=""0740011""","Male",82.7,93.0
"Madison School District","=""0760011""","Female",89.4,96.7
"Madison School District","=""0760011""","Male",87.8,96.4
"Manchester School District","=""0770011""","Female",74.2,83.9
"Manchester School District","=""0770011""","Male",56.9,81.1
"Meriden School District","=""0800011""","Female",59.8,85.6
"Meriden School District","=""0800011""","Male",49.3,81.1
"Middletown School District","=""0830011""","Female",73.7,88.7
"Middletown School District","=""0830011""","Male",60.9,85.2
"Milford School District","=""0840011""","Female",79.4,93.5
"Milford School District","=""0840011""","Male",67.8,86.5
"Monroe School District","=""0850011""","Female",90.3,97.1
"Monroe School District","=""0850011""","Male",81.0,95.3
"Montville School District","=""0860011""","Female",67.0,87.7
"Montville School District","=""0860011""","Male",60.6,84.1
"Naugatuck School District","=""0880011""","Female",71.7,94.1
"Naugatuck School District","=""0880011""","Male",57.2,79.3
"New Britain School District","=""0890011""","Female",61.7,80.0
"New Britain School District","=""0890011""","Male",51.8,78.1
"New Canaan School District","=""0900011""","Female",89.7,97.5
"New Canaan School District","=""0900011""","Male",83.1,93.5
"New Fairfield School District","=""0910011""","Female",92.3,94.2
"New Fairfield School District","=""0910011""","Male",74.8,89.6
"New Haven School District","=""0930011""","Female",67.8,78.8
"New Haven School District","=""0930011""","Male",57.4,76.7
"Newington School District","=""0940011""","Female",86.9,96.2
"Newington School District","=""0940011""","Male",71.8,90.2
"New London School District","=""0950011""","Female",66.7,70.0
"New London School District","=""0950011""","Male",61.5,67.9
"New Milford School District","=""0960011""","Female",83.6,92.3
"New Milford School District","=""0960011""","Male",78.0,90.3
"Newtown School District","=""0970011""","Female",87.8,95.9
"Newtown School District","=""0970011""","Male",79.0,91.1
"North Branford School District","=""0990011""","Female",85.5,94.4
"North Branford School District","=""0990011""","Male",73.5,94.0
"North Haven School District","=""1010011""","Female",86.9,95.8
"North Haven School District","=""1010011""","Male",72.9,93.8
"North Stonington School District","=""1020011""","Female",*,*
"North Stonington School District","=""1020011""","Male",48.3,*
"Norwalk School District","=""1030011""","Female",80.2,88.0
"Norwalk School District","=""1030011""","Male",67.9,88.1
"Norwich School District","=""1040011""","Female",*,*
"Norwich School District","=""1040011""","Male",*,*
"Old Saybrook School District","=""1060011""","Female",92.0,92.8
"Old Saybrook School District","=""1060011""","Male",71.4,100.0
"Oxford School District","=""1080011""","Female",83.1,96.3
"Oxford School District","=""1080011""","Male",78.1,94.7
"Plainfield School District","=""1090011""","Female",61.4,84.3
"Plainfield School District","=""1090011""","Male",44.1,64.4
"Plainville School District","=""1100011""","Female",73.7,87.7
"Plainville School District","=""1100011""","Male",69.8,80.6
"Plymouth School District","=""1110011""","Female",72.1,86.4
"Plymouth School District","=""1110011""","Male",48.5,87.5
"Portland School District","=""1130011""","Female",81.6,93.5
"Portland School District","=""1130011""","Male",74.5,91.4
"Putnam School District","=""1160011""","Female",59.1,*
"Putnam School District","=""1160011""","Male",51.3,80.0
"Ridgefield School District","=""1180011""","Female",92.3,93.8
"Ridgefield School District","=""1180011""","Male",85.8,95.4
"Rocky Hill School District","=""1190011""","Female",84.4,93.8
"Rocky Hill School District","=""1190011""","Male",75.8,92.0
