"College Entrance and Persistence, 2008-09"
"All Districts"

"Notes:"
"* In this report, year means graduating class of that school year."
"* College entrance refers to the percent of high school graduates from the year who enrolled in college any time during the first year after high school."
"* College persistence refers to the percent of students who enrolled in college the first year after high school and returned for a second year (Freshman to Sophomore persistence)."

"District","District Code","Entrance(%)","Persistence(%)"
"Ansonia School District","=""0020011""",58.0,88.5
"Avon School District","=""0040011""",86.6,93.7
"Berlin School District","=""0070011""",80.3,92.0
"Bethel School District","=""0090011""",77.1,87.8
"Bloomfield School District","=""0110011""",58.6,84.6
"Bolton School District","=""0120011""",86.7,96.2
"Branford School District","=""0140011""",77.1,91.0
"Bridgeport School District","=""0150011""",56.3,77.0
"Bristol School District","=""0170011""",69.1,86.1
"Brookfield School District","=""0180011""",85.9,94.0
"Canton School District","=""0230011""",76.4,96.4
"Cheshire School District","=""0250011""",87.0,93.2
"Clinton School District","=""0270011""",75.8,92.2
"Colchester School District","=""0280011""",76.5,91.7
"Coventry School District","=""0320011""",70.2,85.9
"Cromwell School District","=""0330011""",79.2,91.9
"Danbury School District","=""0340011""",67.8,88.5
"Darien School District","=""0350011""",85.6,95.2
"Derby School District","=""0370011""",56.5,86.5
"Eastford School District","=""0390011""",*,*
"East Granby School District","=""0400011""",81.1,95.3
"East Haddam School District","=""0410011""",79.4,93.8
"East Hampton School District","=""0420011""",81.2,87.2
"East Hartford School District","=""0430011""",54.5,82.1
"East Haven School District","=""0440011""",63.1,85.2
"East Lyme School District","=""0450011""",79.3,93.1
"East Windsor School District","=""0470011""",48.2,90.6
"Ellington School District","=""0480011""",81.2,90.1
"Enfield School District","=""0490011""",76.5,88.0
"Fairfield School District","=""0510011""",83.3,94.8
"Farmington School District","=""0520011""",85.8,96.2
"Glastonbury School District","=""0540011""",88.7,94.6
"Granby School District","=""0560011""",77.1,93.0
"Greenwich School District","=""0570011""",77.0,93.8
"Griswold School District","=""0580011""",65.9,86.4
"Groton School District","=""0590011""",71.5,81.9
"Guilford School District","=""0600011""",84.4,93.9
"Hamden School District","=""0620011""",71.1,85.5
"Hartford School District","=""0640011""",62.1,76.6
"Killingly School District","=""0690011""",58.5,81.0
"Lebanon School District","=""0710011""",75.5,93.5
"Ledyard School District","=""0720011""",70.2,89.5
"Litchfield School District","=""0740011""",79.8,89.3
"Madison School District","=""0760011""",89.6,94.6
"Manchester School District","=""0770011""",68.1,89.7
"Meriden School District","=""0800011""",56.5,79.9
"Middletown School District","=""0830011""",69.9,81.5
"Milford School District","=""0840011""",73.7,89.4
"Monroe School District","=""0850011""",82.6,91.9
"Montville School District","=""0860011""",69.7,87.0
"Naugatuck School District","=""0880011""",64.8,87.4
"New Britain School District","=""0890011""",58.2,80.9
"New Canaan School District","=""0900011""",85.1,94.9
"New Fairfield School District","=""0910011""",81.4,93.0
"New Haven School District","=""0930011""",61.3,74.4
"Newington School District","=""0940011""",76.5,92.9
"New London School District","=""0950011""",48.6,77.5
"New Milford School District","=""0960011""",83.0,90.5
"Newtown School District","=""0970011""",81.6,95.8
"North Branford School District","=""0990011""",80.0,88.2
"North Haven School District","=""1010011""",77.9,89.3
"North Stonington School District","=""1020011""",67.3,97.0
"Norwalk School District","=""1030011""",76.0,86.2
"Norwich School District","=""1040011""",*,*
"Old Saybrook School District","=""1060011""",77.8,94.5
"Plainfield School District","=""1090011""",58.6,72.5
"Plainville School District","=""1100011""",70.9,81.9
"Plymouth School District","=""1110011""",58.5,87.3
"Portland School District","=""1130011""",83.1,81.3
"Putnam School District","=""1160011""",63.6,85.7
"Ridgefield School District","=""1180011""",85.8,97.3
"Rocky Hill School District","=""1190011""",81.3,93.3
"Seymour School District","=""1240011""",74.0,92.9
"Shelton School District","=""1260011""",82.9,92.3
"Simsbury School District","=""1280011""",84.8,91.0
"Somers School District","=""1290011""",84.0,93.7
"Southington School District","=""1310011""",81.7,89.4
"South Windsor School District","=""1320011""",83.1,91.7
"Stafford School District","=""1340011""",68.4,89.7
"Stamford School District","=""1350011""",70.9,90.0
"Stonington School District","=""1370011""",72.2,90.0
"Stratford School District","=""1380011""",71.2,87.1
"Suffield School District","=""1390011""",80.0,92.3
"Thomaston School District","=""1400011""",64.0,81.3
"Thompson School District","=""1410011""",66.7,80.8
"Tolland School District","=""1420011""",80.9,93.6
"Torrington School District","=""1430011""",68.9,85.3
"Trumbull School District","=""1440011""",81.1,95.1
"Vernon School District","=""1460011""",74.3,86.0
"Wallingford School District","=""1480011""",73.3,89.1
"Waterbury School District","=""1510011""",55.5,80.8
"Waterford School District","=""1520011""",77.1,86.3
"Watertown School District","=""1530011""",76.5,91.5
"Westbrook School District","=""1540011""",87.9,86.2
"West Hartford School District","=""1550011""",81.2,92.9
"West Haven School District","=""1560011""",66.3,87.1
"Weston School District","=""1570011""",81.1,98.7
"Westport School District","=""1580011""",83.1,96.0
"Wethersfield School District","=""1590011""",80.5,92.6
"Wilton School District","=""1610011""",84.9,97.4
"Windham School District","=""1630011""",60.4,78.8
"Windsor School District","=""1640011""",69.3,86.9
"Windsor Locks School District","=""1650011""",63.8,86.3
"Wolcott School District","=""1660011""",74.5,88.4
"Regional School District 01","=""2010012""",67.3,91.1
"Regional School District 04","=""2040012""",80.4,87.4
"Regional School District 05","=""2050012""",83.7,93.6
"Regional School District 06","=""2060012""",68.3,84.5
"Regional School District 07","=""2070012""",69.8,89.5
"Regional School District 08","=""2080012""",78.8,92.0
"Regional School District 09","=""2090012""",83.2,92.6
"Regional School District 10","=""2100012""",82.1,90.7
"Regional School District 11","=""2110012""",70.6,86.1
"Regional School District 12","=""2120012""",78.6,92.2
"Regional School District 13","=""2130012""",84.3,87.3
"Regional School District 14","=""2140012""",79.7,89.8
"Regional School District 15","=""2150012""",89.1,95.0
"Regional School District 16","=""2160012""",83.8,92.4
"Regional School District 17","=""2170012""",81.8,92.2
"Regional School District 18","=""2180012""",81.9,88.4
"Regional School District 19","=""2190012""",75.0,90.3
"Capitol Region Education Council","=""2410014""",65.3,85.4
"Education Connection","=""2420014""",*,*
"Cooperative Educational Services","=""2430014""",*,*
"Area Cooperative Educational Services","=""2440014""",24.0,*
"Common Ground High School District","=""2680013""",63.0,*
"The Bridge Academy District","=""2690013""",88.5,73.9
"Explorations District","=""2720013""",*,*
"Stamford Academy District","=""2820013""",28.9,*
"Unified School District #1","=""3360015""",*,*
"Department of Mental Health and Addiction Services","=""3370015""",*,*
"Unified School District #2","=""3470015""",*,*
"Connecticut Technical High School System","=""9000016""",40.2,71.3
"Norwich Free Academy District","=""9010022""",73.8,84.1
"The Gilbert School District","=""9020022""",70.8,84.1
"Woodstock Academy District","=""9030022""",79.8,90.1

