"College Entrance and Persistence, 2012-13"
"All Districts"

"Notes:"
"* In this report, year means graduating class of that school year."
"* College entrance refers to the percent of high school graduates from the year who enrolled in college any time during the first year after high school."
"* College persistence refers to the percent of students who enrolled in college the first year after high school and returned for a second year (Freshman to Sophomore persistence)."

"District","District Code","Entrance(%)","Persistence(%)"
"Ansonia School District","=""0020011""",58.0,78.2
"Avon School District","=""0040011""",86.8,94.2
"Berlin School District","=""0070011""",82.5,95.8
"Bethel School District","=""0090011""",70.6,91.3
"Bloomfield School District","=""0110011""",64.7,81.5
"Bolton School District","=""0120011""",88.8,94.4
"Branford School District","=""0140011""",76.2,89.7
"Bridgeport School District","=""0150011""",56.3,76.7
"Bristol School District","=""0170011""",65.2,86.1
"Brookfield School District","=""0180011""",89.0,94.3
"Canton School District","=""0230011""",78.8,92.5
"Cheshire School District","=""0250011""",83.7,95.1
"Clinton School District","=""0270011""",76.2,90.9
"Colchester School District","=""0280011""",75.9,87.4
"Coventry School District","=""0320011""",71.5,89.2
"Cromwell School District","=""0330011""",80.5,91.6
"Danbury School District","=""0340011""",70.0,88.4
"Darien School District","=""0350011""",90.2,97.8
"Derby School District","=""0370011""",68.8,84.1
"East Granby School District","=""0400011""",67.6,89.1
"East Haddam School District","=""0410011""",81.1,88.3
"East Hampton School District","=""0420011""",80.3,90.2
"East Hartford School District","=""0430011""",57.8,76.3
"East Haven School District","=""0440011""",68.2,84.4
"East Lyme School District","=""0450011""",84.8,94.4
"East Windsor School District","=""0470011""",59.8,95.9
"Ellington School District","=""0480011""",83.6,92.8
"Enfield School District","=""0490011""",66.5,84.1
"Fairfield School District","=""0510011""",85.2,94.8
"Farmington School District","=""0520011""",87.8,94.9
"Glastonbury School District","=""0540011""",88.0,96.2
"Granby School District","=""0560011""",90.5,91.8
"Greenwich School District","=""0570011""",83.2,94.6
"Griswold School District","=""0580011""",69.0,76.6
"Groton School District","=""0590011""",69.6,81.9
"Guilford School District","=""0600011""",86.3,94.7
"Hamden School District","=""0620011""",70.2,86.7
"Hartford School District","=""0640011""",61.8,78.6
"Killingly School District","=""0690011""",60.1,79.8
"Lebanon School District","=""0710011""",77.3,88.2
"Ledyard School District","=""0720011""",77.4,90.2
"Lisbon School District","=""0730011""",*,*
"Litchfield School District","=""0740011""",71.3,88.7
"Madison School District","=""0760011""",86.8,96.8
"Manchester School District","=""0770011""",65.3,81.7
"Meriden School District","=""0800011""",58.9,79.4
"Middletown School District","=""0830011""",64.2,87.5
"Milford School District","=""0840011""",72.9,87.7
"Monroe School District","=""0850011""",83.3,91.3
"Montville School District","=""0860011""",68.7,88.4
"Naugatuck School District","=""0880011""",68.4,83.9
"New Britain School District","=""0890011""",55.8,76.4
"New Canaan School District","=""0900011""",87.0,96.9
"New Fairfield School District","=""0910011""",83.5,92.8
"New Haven School District","=""0930011""",63.0,78.2
"Newington School District","=""0940011""",77.5,92.2
"New London School District","=""0950011""",56.1,75.2
"New Milford School District","=""0960011""",73.9,93.2
"Newtown School District","=""0970011""",85.1,91.9
"North Branford School District","=""0990011""",79.9,93.1
"North Haven School District","=""1010011""",81.1,91.6
"North Stonington School District","=""1020011""",74.5,80.0
"Norwalk School District","=""1030011""",77.0,91.9
"Norwich School District","=""1040011""",*,*
