"College Entrance and Persistence, 2006-07"
"All Districts"

"Notes:"
"* In this report, year means graduating class of that school year."
"* College entrance refers to the percent of high school graduates from the year who enrolled in college any time during the first year after high school."
"* College persistence refers to the percent of students who enrolled in college the first year after high school and returned for a second year (Freshman to Sophomore persistence)."

"District","District Code","Gender","Entrance(%)","Persistence(%)"
"Ansonia School District","=""0020011""","Female",60.0,90.5
"Ansonia School District","=""0020011""","Male",52.6,86.7
"Avon School District","=""0040011""","Female",87.8,96.5
"Avon School District","=""0040011""","Male",77.0,95.4
"Berlin School District","=""0070011""","Female",84.4,95.4
"Berlin School District","=""0070011""","Male",73.4,90.0
"Bethel School District","=""0090011""","Female",75.2,91.5
"Bethel School District","=""0090011""","Male",62.5,90.7
"Bloomfield School District","=""0110011""","Female",67.5,87.0
"Bloomfield School District","=""0110011""","Male",52.8,81.6
"Bolton School District","=""0120011""","Female",73.5,94.4
"Bolton School District","=""0120011""","Male",75.9,90.9
"Branford School District","=""0140011""","Female",75.7,92.2
"Branford School District","=""0140011""","Male",69.3,88.7
"Bridgeport School District","=""0150011""","Female",51.6,79.3
"Bridgeport School District","=""0150011""","Male",43.1,73.6
"Bristol School District","=""0170011""","Female",71.8,88.2
"Bristol School District","=""0170011""","Male",60.7,89.5
"Brookfield School District","=""0180011""","Female",89.4,95.5
"Brookfield School District","=""0180011""","Male",80.7,89.8
"Canton School District","=""0230011""","Female",78.6,95.5
"Canton School District","=""0230011""","Male",83.9,91.5
"Cheshire School District","=""0250011""","Female",87.4,97.6
"Cheshire School District","=""0250011""","Male",85.5,95.3
"Clinton School District","=""0270011""","Female",73.9,90.2
"Clinton School District","=""0270011""","Male",64.2,88.5
"Colchester School District","=""0280011""","Female",78.8,92.5
"Colchester School District","=""0280011""","Male",69.7,85.5
"Coventry School District","=""0320011""","Female",77.1,92.6
"Coventry School District","=""0320011""","Male",70.0,83.7
"Cromwell School District","=""0330011""","Female",71.6,93.8
"Cromwell School District","=""0330011""","Male",87.3,81.8
"Danbury School District","=""0340011""","Female",70.1,89.6
"Danbury School District","=""0340011""","Male",62.5,85.0
"Darien School District","=""0350011""","Female",77.3,100.0
"Darien School District","=""0350011""","Male",78.7,92.7
"Derby School District","=""0370011""","Female",70.2,90.9
"Derby School District","=""0370011""","Male",52.7,86.2
"Eastford School District","=""0390011""","Male",*,*
"East Granby School District","=""0400011""","Female",80.6,89.7
"East Granby School District","=""0400011""","Male",66.7,*
"East Haddam School District","=""0410011""","Female",79.1,88.2
"East Haddam School District","=""0410011""","Male",65.5,*
"East Hampton School District","=""0420011""","Female",78.8,86.5
"East Hampton School District","=""0420011""","Male",79.2,90.5
"East Hartford School District","=""0430011""","Female",61.3,79.6
"East Hartford School District","=""0430011""","Male",46.9,71.3
"East Haven School District","=""0440011""","Female",72.2,88.0
"East Haven School District","=""0440011""","Male",57.4,74.2
"East Lyme School District","=""0450011""","Female",65.1,90.9
"East Lyme School District","=""0450011""","Male",68.7,86.0
"East Windsor School District","=""0470011""","Female",64.9,86.5
"East Windsor School District","=""0470011""","Male",43.5,80.0
"Ellington School District","=""0480011""","Female",78.1,94.7
"Ellington School District","=""0480011""","Male",75.6,100.0
"Enfield School District","=""0490011""","Female",73.0,85.9
"Enfield School District","=""0490011""","Male",66.8,86.0
"Fairfield School District","=""0510011""","Female",84.1,97.0
"Fairfield School District","=""0510011""","Male",75.2,91.3
"Farmington School District","=""0520011""","Female",84.8,94.5
"Farmington School District","=""0520011""","Male",83.2,92.1
"Glastonbury School District","=""0540011""","Female",86.5,93.4
"Glastonbury School District","=""0540011""","Male",84.4,95.1
"Granby School District","=""0560011""","Female",89.0,96.9
"Granby School District","=""0560011""","Male",71.4,94.5
"Greenwich School District","=""0570011""","Female",79.6,95.7
"Greenwich School District","=""0570011""","Male",72.4,92.5
"Griswold School District","=""0580011""","Female",73.7,82.1
"Griswold School District","=""0580011""","Male",58.8,78.3
"Groton School District","=""0590011""","Female",73.1,84.2
"Groton School District","=""0590011""","Male",69.6,77.0
"Guilford School District","=""0600011""","Female",89.2,95.2
"Guilford School District","=""0600011""","Male",77.9,87.5
"Hamden School District","=""0620011""","Female",72.4,91.8
"Hamden School District","=""0620011""","Male",63.3,84.5
"Hartford School District","=""0640011""","Female",55.8,83.2
"Hartford School District","=""0640011""","Male",47.8,67.1
"Killingly School District","=""0690011""","Female",59.1,82.7
"Killingly School District","=""0690011""","Male",67.4,81.7
"Lebanon School District","=""0710011""","Female",65.6,97.6
"Lebanon School District","=""0710011""","Male",63.5,83.0
"Ledyard School District","=""0720011""","Female",67.3,91.4
"Ledyard School District","=""0720011""","Male",68.1,87.3
"Litchfield School District","=""0740011""","Female",75.4,93.5
"Litchfield School District","=""0740011""","Male",70.5,87.1
"Madison School District","=""0760011""","Female",84.1,98.4
"Madison School District","=""0760011""","Male",83.2,97.0
"Manchester School District","=""0770011""","Female",70.5,84.2
"Manchester School District","=""0770011""","Male",62.3,84.8
"Meriden School District","=""0800011""","Female",41.0,83.7
"Meriden School District","=""0800011""","Male",36.1,86.4
"Middletown School District","=""0830011""","Female",75.0,89.9
"Middletown School District","=""0830011""","Male",72.9,86.0
"Milford School District","=""0840011""","Female",77.5,91.8
"Milford School District","=""0840011""","Male",59.0,88.7
"Monroe School District","=""0850011""","Female",89.0,94.7
"Monroe School District","=""0850011""","Male",76.6,89.4
"Montville School District","=""0860011""","Female",72.3,79.4
"Montville School District","=""0860011""","Male",55.4,76.8
"Naugatuck School District","=""0880011""","Female",67.9,91.2
"Naugatuck School District","=""0880011""","Male",58.7,90.1
"New Britain School District","=""0890011""","Female",60.6,85.1
"New Britain School District","=""0890011""","Male",53.0,76.5
"New Canaan School District","=""0900011""","Female",86.3,99.1
"New Canaan School District","=""0900011""","Male",77.9,93.1
"New Fairfield School District","=""0910011""","Female",80.2,95.7
"New Fairfield School District","=""0910011""","Male",78.8,92.1
"New Haven School District","=""0930011""","Female",54.3,77.7
"New Haven School District","=""0930011""","Male",49.0,76.7
"Newington School District","=""0940011""","Female",84.4,94.5
"Newington School District","=""0940011""","Male",74.1,85.7
"New London School District","=""0950011""","Female",52.2,69.4
"New London School District","=""0950011""","Male",33.8,84.0
"New Milford School District","=""0960011""","Female",80.7,89.0
"New Milford School District","=""0960011""","Male",61.7,91.6
"Newtown School District","=""0970011""","Female",79.1,94.0
"Newtown School District","=""0970011""","Male",74.2,90.7
"North Branford School District","=""0990011""","Female",83.1,96.6
"North Branford School District","=""0990011""","Male",75.0,90.0
"North Haven School District","=""1010011""","Female",90.1,95.8
"North Haven School District","=""1010011""","Male",72.6,90.6
"North Stonington School District","=""1020011""","Female",76.7,87.0
"North Stonington School District","=""1020011""","Male",40.0,*
"Norwalk School District","=""1030011""","Female",54.5,90.3
"Norwalk School District","=""1030011""","Male",48.7,89.6
"Norwich School District","=""1040011""","Female",*,*
"Norwich School District","=""1040011""","Male",*,*
"Old Saybrook School District","=""1060011""","Female",60.5,100.0
"Old Saybrook School District","=""1060011""","Male",74.1,95.0
"Oxford School District","=""1080011""","Female",*,*
"Plainfield School District","=""1090011""","Female",66.3,77.2
"Plainfield School District","=""1090011""","Male",41.0,81.3
"Plainville School District","=""1100011""","Female",33.7,86.9
"Plainville School District","=""1100011""","Male",35.5,77.0
"Plymouth School District","=""1110011""","Female",74.0,89.5
"Plymouth School District","=""1110011""","Male",61.7,86.5
"Portland School District","=""1130011""","Female",79.5,97.1
"Portland School District","=""1130011""","Male",79.5,91.4
"Preston School District","=""1140011""","Male",*,*
"Putnam School District","=""1160011""","Female",82.6,73.7
"Putnam School District","=""1160011""","Male",66.7,80.8
"Ridgefield School District","=""1180011""","Female",84.8,96.8
"Ridgefield School District","=""1180011""","Male",86.7,96.2
"Rocky Hill School District","=""1190011""","Female",91.4,92.9
"Rocky Hill School District","=""1190011""","Male",73.6,90.6
"Seymour School District","=""1240011""","Female",73.4,89.9
"Seymour School District","=""1240011""","Male",70.1,86.9
"Shelton School District","=""1260011""","Female",77.8,94.7
"Shelton School District","=""1260011""","Male",74.5,93.6
"Simsbury School District","=""1280011""","Female",84.5,92.4
"Simsbury School District","=""1280011""","Male",81.2,94.7
"Somers School District","=""1290011""","Female",91.2,98.4
"Somers School District","=""1290011""","Male",80.6,88.0
"Southington School District","=""1310011""","Female",82.3,93.7
"Southington School District","=""1310011""","Male",74.8,86.7
"South Windsor School District","=""1320011""","Female",83.7,91.7
"South Windsor School District","=""1320011""","Male",78.7,91.0
"Stafford School District","=""1340011""","Female",77.6,80.8
"Stafford School District","=""1340011""","Male",72.7,90.0
"Stamford School District","=""1350011""","Female",70.0,92.0
"Stamford School District","=""1350011""","Male",63.2,86.3
"Stonington School District","=""1370011""","Female",72.5,84.8
"Stonington School District","=""1370011""","Male",62.4,83.0
"Stratford School District","=""1380011""","Female",78.5,88.2
"Stratford School District","=""1380011""","Male",64.3,88.3
"Suffield School District","=""1390011""","Female",84.0,92.0
"Suffield School District","=""1390011""","Male",77.0,94.8
"Thomaston School District","=""1400011""","Female",73.2,90.0
"Thomaston School District","=""1400011""","Male",76.7,84.8
"Thompson School District","=""1410011""","Female",63.9,79.5
"Thompson School District","=""1410011""","Male",49.0,92.0
"Tolland School District","=""1420011""","Female",79.5,92.8
"Tolland School District","=""1420011""","Male",68.3,84.5
"Torrington School District","=""1430011""","Female",73.8,93.2
"Torrington School District","=""1430011""","Male",54.1,86.1
"Trumbull School District","=""1440011""","Female",86.6,94.3
"Trumbull School District","=""1440011""","Male",69.5,91.7
"Vernon School District","=""1460011""","Female",42.3,92.4
"Vernon School District","=""1460011""","Male",33.6,86.7
"Wallingford School District","=""1480011""","Female",76.1,89.2
"Wallingford School District","=""1480011""","Male",67.3,86.3
"Waterbury School District","=""1510011""","Female",55.7,80.7
