"College Entrance and Persistence, 2008-09"
"All Districts"

"Notes:"
"* In this report, year means graduating class of that school year."
"* College entrance refers to the percent of high school graduates from the year who enrolled in college any time during the first year after high school."
"* College persistence refers to the percent of students who enrolled in college the first year after high school and returned for a second year (Freshman to Sophomore persistence)."

"District","District Code","Gender","Entrance(%)","Persistence(%)"
"Ansonia School District","=""0020011""","Female",58.2,91.3
"Ansonia School District","=""0020011""","Male",57.7,85.4
"Avon School District","=""0040011""","Female",93.3,96.4
"Avon School District","=""0040011""","Male",80.0,90.6
"Berlin School District","=""0070011""","Female",87.3,94.2
"Berlin School District","=""0070011""","Male",74.0,89.7
"Bethel School District","=""0090011""","Female",79.5,91.4
"Bethel School District","=""0090011""","Male",74.5,83.5
"Bloomfield School District","=""0110011""","Female",57.4,85.7
"Bloomfield School District","=""0110011""","Male",59.7,83.7
"Bolton School District","=""0120011""","Female",91.4,96.9
"Bolton School District","=""0120011""","Male",80.0,95.0
"Branford School District","=""0140011""","Female",78.3,90.1
"Branford School District","=""0140011""","Male",76.0,91.8
"Bridgeport School District","=""0150011""","Female",61.0,77.4
"Bridgeport School District","=""0150011""","Male",50.6,76.4
"Bristol School District","=""0170011""","Female",72.5,86.7
"Bristol School District","=""0170011""","Male",66.4,85.6
"Brookfield School District","=""0180011""","Female",92.2,95.0
"Brookfield School District","=""0180011""","Male",78.1,92.7
"Canton School District","=""0230011""","Female",81.0,97.9
"Canton School District","=""0230011""","Male",71.2,94.6
"Cheshire School District","=""0250011""","Female",87.7,93.8
"Cheshire School District","=""0250011""","Male",86.3,92.4
"Clinton School District","=""0270011""","Female",81.6,91.9
"Clinton School District","=""0270011""","Male",70.1,92.6
"Colchester School District","=""0280011""","Female",80.2,92.5
"Colchester School District","=""0280011""","Male",72.4,90.8
"Coventry School District","=""0320011""","Female",81.4,89.6
"Coventry School District","=""0320011""","Male",59.7,81.1
"Cromwell School District","=""0330011""","Female",80.3,92.5
"Cromwell School District","=""0330011""","Male",78.0,91.3
"Danbury School District","=""0340011""","Female",72.8,88.8
"Danbury School District","=""0340011""","Male",61.5,88.0
"Darien School District","=""0350011""","Female",85.8,96.1
"Darien School District","=""0350011""","Male",85.4,94.3
"Derby School District","=""0370011""","Female",58.3,82.1
"Derby School District","=""0370011""","Male",54.5,91.7
"Eastford School District","=""0390011""","Male",*,*
"East Granby School District","=""0400011""","Female",79.3,91.3
"East Granby School District","=""0400011""","Male",83.3,100.0
"East Haddam School District","=""0410011""","Female",86.0,90.7
"East Haddam School District","=""0410011""","Male",73.1,97.4
"East Hampton School District","=""0420011""","Female",85.7,87.2
"East Hampton School District","=""0420011""","Male",74.6,87.2
"East Hartford School District","=""0430011""","Female",62.5,84.7
"East Hartford School District","=""0430011""","Male",46.8,78.9
"East Haven School District","=""0440011""","Female",71.4,88.8
"East Haven School District","=""0440011""","Male",54.9,80.6
"East Lyme School District","=""0450011""","Female",80.0,95.5
"East Lyme School District","=""0450011""","Male",78.5,90.3
"East Windsor School District","=""0470011""","Female",57.4,90.3
"East Windsor School District","=""0470011""","Male",39.3,90.9
"Ellington School District","=""0480011""","Female",85.4,89.5
"Ellington School District","=""0480011""","Male",77.3,90.7
"Enfield School District","=""0490011""","Female",81.3,86.5
"Enfield School District","=""0490011""","Male",71.6,89.7
"Fairfield School District","=""0510011""","Female",85.2,95.6
"Fairfield School District","=""0510011""","Male",81.1,94.0
"Farmington School District","=""0520011""","Female",87.6,98.7
"Farmington School District","=""0520011""","Male",83.9,93.3
"Glastonbury School District","=""0540011""","Female",91.5,95.3
"Glastonbury School District","=""0540011""","Male",85.8,93.8
"Granby School District","=""0560011""","Female",88.1,96.6
"Granby School District","=""0560011""","Male",69.7,89.9
"Greenwich School District","=""0570011""","Female",77.1,95.1
"Greenwich School District","=""0570011""","Male",76.9,92.6
"Griswold School District","=""0580011""","Female",71.8,90.2
"Griswold School District","=""0580011""","Male",59.8,81.6
"Groton School District","=""0590011""","Female",77.4,84.7
"Groton School District","=""0590011""","Male",65.3,78.4
"Guilford School District","=""0600011""","Female",88.0,95.5
"Guilford School District","=""0600011""","Male",80.6,92.0
"Hamden School District","=""0620011""","Female",74.7,86.1
"Hamden School District","=""0620011""","Male",67.5,84.8
"Hartford School District","=""0640011""","Female",67.1,77.4
"Hartford School District","=""0640011""","Male",56.4,75.6
"Killingly School District","=""0690011""","Female",66.7,80.9
"Killingly School District","=""0690011""","Male",46.4,81.3
"Lebanon School District","=""0710011""","Female",86.6,95.8
"Lebanon School District","=""0710011""","Male",60.7,89.2
"Ledyard School District","=""0720011""","Female",73.3,89.6
"Ledyard School District","=""0720011""","Male",66.7,89.5
"Litchfield School District","=""0740011""","Female",85.2,93.5
"Litchfield School District","=""0740011""","Male",72.5,82.8
"Madison School District","=""0760011""","Female",95.7,97.8
"Madison School District","=""0760011""","Male",83.9,91.2
"Manchester School District","=""0770011""","Female",75.9,93.1
"Manchester School District","=""0770011""","Male",58.7,84.3
"Meriden School District","=""0800011""","Female",61.0,85.8
"Meriden School District","=""0800011""","Male",51.9,72.7
"Middletown School District","=""0830011""","Female",73.3,84.5
"Middletown School District","=""0830011""","Male",66.4,78.2
