"College Entrance and Persistence, 2009-10"
"All Districts"

"Notes:"
"* In this report, year means graduating class of that school year."
"* College entrance refers to the percent of high school graduates from the year who enrolled in college any time during the first year after high school."
"* College persistence refers to the percent of students who enrolled in college the first year after high school and returned for a second year (Freshman to Sophomore persistence)."

"District","District Code","Gender","Entrance(%)","Persistence(%)"
"Ansonia School District","=""0020011""","Female",70.0,92.1
"Ansonia School District","=""0020011""","Male",63.4,82.2
"Avon School District","=""0040011""","Female",86.6,98.2
"Avon School District","=""0040011""","Male",77.6,95.6
"Berlin School District","=""0070011""","Female",82.7,94.5
"Berlin School District","=""0070011""","Male",69.6,94.3
"Bethel School District","=""0090011""","Female",82.4,92.2
"Bethel School District","=""0090011""","Male",74.4,86.5
"Bloomfield School District","=""0110011""","Female",78.7,78.0
"Bloomfield School District","=""0110011""","Male",56.6,76.6
"Bolton School District","=""0120011""","Female",90.3,92.9
"Bolton School District","=""0120011""","Male",82.9,93.1
"Branford School District","=""0140011""","Female",81.7,98.4
"Branford School District","=""0140011""","Male",76.8,91.5
"Bridgeport School District","=""0150011""","Female",62.5,82.0
"Bridgeport School District","=""0150011""","Male",51.4,76.7
"Bristol School District","=""0170011""","Female",70.0,86.2
"Bristol School District","=""0170011""","Male",67.1,87.3
"Brookfield School District","=""0180011""","Female",86.9,93.4
"Brookfield School District","=""0180011""","Male",83.9,90.4
"Canton School District","=""0230011""","Female",84.7,96.0
"Canton School District","=""0230011""","Male",79.7,84.7
"Cheshire School District","=""0250011""","Female",89.2,97.6
"Cheshire School District","=""0250011""","Male",83.3,92.5
"Clinton School District","=""0270011""","Female",71.8,92.2
"Clinton School District","=""0270011""","Male",79.7,89.1
"Colchester School District","=""0280011""","Female",83.8,95.2
"Colchester School District","=""0280011""","Male",73.3,83.8
"Coventry School District","=""0320011""","Female",83.7,95.1
"Coventry School District","=""0320011""","Male",65.1,82.9
"Cromwell School District","=""0330011""","Female",80.3,93.0
"Cromwell School District","=""0330011""","Male",70.8,78.4
"Danbury School District","=""0340011""","Female",70.0,91.4
"Danbury School District","=""0340011""","Male",64.0,89.4
"Darien School District","=""0350011""","Female",88.7,94.1
"Darien School District","=""0350011""","Male",78.0,94.5
"Derby School District","=""0370011""","Female",60.0,81.5
"Derby School District","=""0370011""","Male",46.3,*
"East Granby School District","=""0400011""","Female",91.7,95.5
"East Granby School District","=""0400011""","Male",95.5,90.5
"East Haddam School District","=""0410011""","Female",78.5,86.3
"East Haddam School District","=""0410011""","Male",79.5,82.9
"East Hampton School District","=""0420011""","Female",78.5,91.9
"East Hampton School District","=""0420011""","Male",78.1,76.0
"East Hartford School District","=""0430011""","Female",69.3,83.9
"East Hartford School District","=""0430011""","Male",49.6,84.0
"East Haven School District","=""0440011""","Female",66.4,92.9
"East Haven School District","=""0440011""","Male",54.1,86.7
"East Lyme School District","=""0450011""","Female",90.3,96.9
"East Lyme School District","=""0450011""","Male",80.9,85.8
"East Windsor School District","=""0470011""","Female",74.5,88.6
"East Windsor School District","=""0470011""","Male",52.9,74.1
"Ellington School District","=""0480011""","Female",87.8,91.1
"Ellington School District","=""0480011""","Male",81.7,86.8
"Enfield School District","=""0490011""","Female",83.5,87.7
"Enfield School District","=""0490011""","Male",69.3,80.3
"Fairfield School District","=""0510011""","Female",87.0,95.0
"Fairfield School District","=""0510011""","Male",80.1,91.4
"Farmington School District","=""0520011""","Female",84.0,93.0
"Farmington School District","=""0520011""","Male",81.6,93.0
"Glastonbury School District","=""0540011""","Female",89.9,95.9
"Glastonbury School District","=""0540011""","Male",79.9,93.8
"Granby School District","=""0560011""","Female",86.1,94.1
"Granby School District","=""0560011""","Male",70.0,88.6
"Greenwich School District","=""0570011""","Female",77.2,96.6
"Greenwich School District","=""0570011""","Male",75.8,89.0
"Griswold School District","=""0580011""","Female",68.0,80.9
"Griswold School District","=""0580011""","Male",60.0,76.2
"Groton School District","=""0590011""","Female",76.4,90.5
"Groton School District","=""0590011""","Male",71.9,81.4
"Guilford School District","=""0600011""","Female",89.4,94.4
"Guilford School District","=""0600011""","Male",84.2,94.0
"Hamden School District","=""0620011""","Female",76.7,85.7
"Hamden School District","=""0620011""","Male",67.2,86.4
"Hartford School District","=""0640011""","Female",61.4,77.9
"Hartford School District","=""0640011""","Male",52.5,75.6
"Killingly School District","=""0690011""","Female",72.0,89.6
"Killingly School District","=""0690011""","Male",61.1,72.7
"Lebanon School District","=""0710011""","Female",76.3,94.8
"Lebanon School District","=""0710011""","Male",57.8,96.2
"Ledyard School District","=""0720011""","Female",77.9,88.7
"Ledyard School District","=""0720011""","Male",73.0,83.6
"Lisbon School District","=""0730011""","Male",*,*
"Litchfield School District","=""0740011""","Female",77.6,84.2
"Litchfield School District","=""0740011""","Male",80.7,87.0
"Madison School District","=""0760011""","Female",85.8,93.0
"Madison School District","=""0760011""","Male",81.6,94.4
"Manchester School District","=""0770011""","Female",74.8,92.3
"Manchester School District","=""0770011""","Male",62.0,84.2
"Meriden School District","=""0800011""","Female",61.6,79.0
"Meriden School District","=""0800011""","Male",56.2,81.1
"Middletown School District","=""0830011""","Female",68.2,86.7
"Middletown School District","=""0830011""","Male",67.5,84.0
"Milford School District","=""0840011""","Female",78.2,91.0
"Milford School District","=""0840011""","Male",69.6,89.0
"Monroe School District","=""0850011""","Female",88.9,95.5
"Monroe School District","=""0850011""","Male",82.5,89.4
"Montville School District","=""0860011""","Female",77.7,81.3
"Montville School District","=""0860011""","Male",69.5,82.2
"Naugatuck School District","=""0880011""","Female",60.0,88.9
"Naugatuck School District","=""0880011""","Male",58.0,82.4
"New Britain School District","=""0890011""","Female",60.9,80.8
"New Britain School District","=""0890011""","Male",49.4,76.9
"New Canaan School District","=""0900011""","Female",83.7,97.6
"New Canaan School District","=""0900011""","Male",78.3,90.2
"New Fairfield School District","=""0910011""","Female",79.6,93.0
"New Fairfield School District","=""0910011""","Male",83.2,85.5
"New Haven School District","=""0930011""","Female",62.8,76.2
"New Haven School District","=""0930011""","Male",53.9,73.7
"Newington School District","=""0940011""","Female",83.3,95.4
"Newington School District","=""0940011""","Male",73.9,84.5
"New London School District","=""0950011""","Female",50.0,61.1
"New London School District","=""0950011""","Male",54.3,72.7
"New Milford School District","=""0960011""","Female",78.7,89.0
"New Milford School District","=""0960011""","Male",75.1,87.2
"Newtown School District","=""0970011""","Female",87.1,94.3
"Newtown School District","=""0970011""","Male",79.1,92.4
"North Branford School District","=""0990011""","Female",84.1,98.3
"North Branford School District","=""0990011""","Male",79.5,90.3
"North Haven School District","=""1010011""","Female",87.4,96.0
"North Haven School District","=""1010011""","Male",76.5,85.5
"North Stonington School District","=""1020011""","Female",85.7,*
"North Stonington School District","=""1020011""","Male",74.2,82.6
"Norwalk School District","=""1030011""","Female",76.8,90.4
"Norwalk School District","=""1030011""","Male",67.3,84.8
"Norwich School District","=""1040011""","Female",*,*
"Norwich School District","=""1040011""","Male",*,*
