"College Entrance and Persistence, 2012-13"
"All Districts"

"Notes:"
"* In this report, year means graduating class of that school year."
"* College entrance refers to the percent of high school graduates from the year who enrolled in college any time during the first year after high school."
"* College persistence refers to the percent of students who enrolled in college the first year after high school and returned for a second year (Freshman to Sophomore persistence)."

"District","District Code","Gender","Entrance(%)","Persistence(%)"
"Ansonia School District","=""0020011""","Female",67.3,77.9
"Ansonia School District","=""0020011""","Male",45.2,78.8
"Avon School District","=""0040011""","Female",85.7,96.1
"Avon School District","=""0040011""","Male",87.8,92.6
"Berlin School District","=""0070011""","Female",87.5,99.2
"Berlin School District","=""0070011""","Male",76.9,91.4
"Bethel School District","=""0090011""","Female",82.1,91.3
"Bethel School District","=""0090011""","Male",59.5,91.3
"Bloomfield School District","=""0110011""","Female",72.3,90.0
"Bloomfield School District","=""0110011""","Male",57.1,70.8
"Bolton School District","=""0120011""","Female",93.2,97.6
"Bolton School District","=""0120011""","Male",83.3,90.0
"Branford School District","=""0140011""","Female",80.8,92.4
"Branford School District","=""0140011""","Male",70.0,85.7
"Bridgeport School District","=""0150011""","Female",63.1,77.9
"Bridgeport School District","=""0150011""","Male",48.5,75.0
"Bristol School District","=""0170011""","Female",72.2,88.6
"Bristol School District","=""0170011""","Male",59.1,83.4
"Brookfield School District","=""0180011""","Female",91.0,92.8
"Brookfield School District","=""0180011""","Male",87.0,96.0
"Canton School District","=""0230011""","Female",86.4,92.2
"Canton School District","=""0230011""","Male",71.2,92.9
"Cheshire School District","=""0250011""","Female",91.8,95.9
"Cheshire School District","=""0250011""","Male",75.5,94.2
"Clinton School District","=""0270011""","Female",73.8,95.8
"Clinton School District","=""0270011""","Male",78.5,86.3
"Colchester School District","=""0280011""","Female",82.4,90.3
"Colchester School District","=""0280011""","Male",69.0,83.8
"Coventry School District","=""0320011""","Female",82.6,89.5
"Coventry School District","=""0320011""","Male",59.0,88.9
"Cromwell School District","=""0330011""","Female",91.4,96.9
"Cromwell School District","=""0330011""","Male",68.3,83.7
"Danbury School District","=""0340011""","Female",75.5,91.3
"Danbury School District","=""0340011""","Male",64.2,84.8
"Darien School District","=""0350011""","Female",91.0,97.2
"Darien School District","=""0350011""","Male",89.4,98.5
"Derby School District","=""0370011""","Female",77.8,76.2
"Derby School District","=""0370011""","Male",62.2,91.3
"East Granby School District","=""0400011""","Female",71.9,100.0
"East Granby School District","=""0400011""","Male",63.9,78.3
"East Haddam School District","=""0410011""","Female",89.4,97.6
"East Haddam School District","=""0410011""","Male",72.9,77.1
"East Hampton School District","=""0420011""","Female",83.1,92.6
"East Hampton School District","=""0420011""","Male",77.4,87.5
"East Hartford School District","=""0430011""","Female",66.5,81.2
"East Hartford School District","=""0430011""","Male",50.2,70.5
"East Haven School District","=""0440011""","Female",78.6,85.7
"East Haven School District","=""0440011""","Male",58.0,82.8
"East Lyme School District","=""0450011""","Female",86.5,97.0
"East Lyme School District","=""0450011""","Male",83.0,91.5
"East Windsor School District","=""0470011""","Female",65.9,96.6
"East Windsor School District","=""0470011""","Male",52.6,95.0
"Ellington School District","=""0480011""","Female",85.7,92.9
"Ellington School District","=""0480011""","Male",81.2,92.8
"Enfield School District","=""0490011""","Female",70.6,88.9
"Enfield School District","=""0490011""","Male",62.4,78.6
"Fairfield School District","=""0510011""","Female",84.3,95.4
"Fairfield School District","=""0510011""","Male",86.0,94.2
"Farmington School District","=""0520011""","Female",89.2,95.0
"Farmington School District","=""0520011""","Male",86.4,94.7
"Glastonbury School District","=""0540011""","Female",91.5,97.6
"Glastonbury School District","=""0540011""","Male",84.6,94.8
"Granby School District","=""0560011""","Female",88.4,94.0
"Granby School District","=""0560011""","Male",92.6,89.7
"Greenwich School District","=""0570011""","Female",85.4,94.8
"Greenwich School District","=""0570011""","Male",81.2,94.5
"Griswold School District","=""0580011""","Female",70.1,77.0
"Griswold School District","=""0580011""","Male",67.6,76.1
"Groton School District","=""0590011""","Female",77.1,88.3
