"College Entrance and Persistence, 2011-12"
"All Districts"

"Notes:"
"* In this report, year means graduating class of that school year."
"* College entrance refers to the percent of high school graduates from the year who enrolled in college any time during the first year after high school."
"* College persistence refers to the percent of students who enrolled in college the first year after high school and returned for a second year (Freshman to Sophomore persistence)."

"District","District Code","Entrance(%)","Persistence(%)"
"Ansonia School District","=""0020011""",62.1,85.2
"Avon School District","=""0040011""",86.4,95.0
"Berlin School District","=""0070011""",81.7,93.2
"Bethel School District","=""0090011""",77.9,92.8
"Bloomfield School District","=""0110011""",67.9,74.6
"Bolton School District","=""0120011""",87.9,93.1
"Branford School District","=""0140011""",78.3,88.0
"Bridgeport School District","=""0150011""",55.7,81.4
"Bristol School District","=""0170011""",63.6,91.2
"Brookfield School District","=""0180011""",83.7,91.9
"Canton School District","=""0230011""",82.8,94.8
"Cheshire School District","=""0250011""",87.6,95.2
"Clinton School District","=""0270011""",67.8,96.3
"Colchester School District","=""0280011""",78.2,85.5
"Coventry School District","=""0320011""",67.4,82.8
"Cromwell School District","=""0330011""",78.1,88.8
"Danbury School District","=""0340011""",69.2,87.0
"Darien School District","=""0350011""",86.6,97.3
"Derby School District","=""0370011""",62.2,87.5
"East Granby School District","=""0400011""",76.7,91.3
"East Haddam School District","=""0410011""",77.2,91.5
"East Hampton School District","=""0420011""",68.2,84.1
"East Hartford School District","=""0430011""",62.9,80.4
"East Haven School District","=""0440011""",70.9,88.5
"East Lyme School District","=""0450011""",81.8,88.0
"East Windsor School District","=""0470011""",61.3,85.7
"Ellington School District","=""0480011""",79.0,93.2
"Enfield School District","=""0490011""",69.5,89.2
"Fairfield School District","=""0510011""",84.2,92.9
"Farmington School District","=""0520011""",84.8,93.5
"Glastonbury School District","=""0540011""",88.1,95.2
"Granby School District","=""0560011""",82.5,90.4
"Greenwich School District","=""0570011""",76.8,95.0
"Griswold School District","=""0580011""",57.7,87.6
"Groton School District","=""0590011""",73.3,86.6
"Guilford School District","=""0600011""",78.4,92.3
"Hamden School District","=""0620011""",70.0,87.4
"Hartford School District","=""0640011""",57.0,77.6
"Killingly School District","=""0690011""",65.2,80.2
"Lebanon School District","=""0710011""",73.5,86.0
"Ledyard School District","=""0720011""",73.1,83.0
"Lisbon School District","=""0730011""",*,*
"Litchfield School District","=""0740011""",81.4,92.8
"Madison School District","=""0760011""",88.7,96.5
"Manchester School District","=""0770011""",66.0,82.7
"Meriden School District","=""0800011""",55.0,83.8
"Middletown School District","=""0830011""",67.8,87.2
"Milford School District","=""0840011""",73.7,90.3
"Monroe School District","=""0850011""",85.2,96.2
"Montville School District","=""0860011""",63.7,85.9
"Naugatuck School District","=""0880011""",64.8,87.9
"New Britain School District","=""0890011""",56.8,79.1
"New Canaan School District","=""0900011""",86.7,95.7
"New Fairfield School District","=""0910011""",84.5,92.4
"New Haven School District","=""0930011""",63.5,78.0
"Newington School District","=""0940011""",78.9,93.3
"New London School District","=""0950011""",63.9,68.9
"New Milford School District","=""0960011""",80.7,91.3
"Newtown School District","=""0970011""",83.3,93.6
"North Branford School District","=""0990011""",80.1,94.2
"North Haven School District","=""1010011""",80.0,94.9
"North Stonington School District","=""1020011""",52.1,80.0
"Norwalk School District","=""1030011""",74.4,88.0
"Norwich School District","=""1040011""",*,*
"Old Saybrook School District","=""1060011""",82.6,95.6
"Oxford School District","=""1080011""",80.4,95.5
"Plainfield School District","=""1090011""",51.9,75.0
"Plainville School District","=""1100011""",71.8,84.3
"Plymouth School District","=""1110011""",59.8,86.8
"Portland School District","=""1130011""",77.6,92.4
"Putnam School District","=""1160011""",54.1,78.8
"Ridgefield School District","=""1180011""",88.9,94.6
"Rocky Hill School District","=""1190011""",80.0,92.9
"Seymour School District","=""1240011""",80.0,92.9
"Shelton School District","=""1260011""",75.6,91.9
"Simsbury School District","=""1280011""",82.3,94.5
"Somers School District","=""1290011""",78.8,95.4
"Southington School District","=""1310011""",77.7,90.4
"South Windsor School District","=""1320011""",85.1,92.3
"Stafford School District","=""1340011""",54.9,82.1
"Stamford School District","=""1350011""",75.0,90.6
"Stonington School District","=""1370011""",70.9,88.5
"Stratford School District","=""1380011""",72.0,87.4
"Suffield School District","=""1390011""",78.5,88.7
"Thomaston School District","=""1400011""",66.3,80.0
"Thompson School District","=""1410011""",65.9,84.5
"Tolland School District","=""1420011""",82.7,92.5
"Torrington School District","=""1430011""",62.1,83.1
"Trumbull School District","=""1440011""",86.8,94.8
"Vernon School District","=""1460011""",70.3,83.4
"Wallingford School District","=""1480011""",76.2,89.2
"Waterbury School District","=""1510011""",55.3,78.3
"Waterford School District","=""1520011""",74.3,86.7
"Watertown School District","=""1530011""",74.0,89.5
"Westbrook School District","=""1540011""",78.7,91.5
"West Hartford School District","=""1550011""",79.8,91.7
"West Haven School District","=""1560011""",65.0,82.4
"Weston School District","=""1570011""",86.2,93.2
"Westport School District","=""1580011""",85.5,96.4
"Wethersfield School District","=""1590011""",85.9,93.1
"Wilton School District","=""1610011""",89.4,97.1
"Windham School District","=""1630011""",55.0,75.9
"Windsor School District","=""1640011""",69.8,83.7
"Windsor Locks School District","=""1650011""",65.9,85.4
"Wolcott School District","=""1660011""",81.0,87.7
"Regional School District 01","=""2010012""",62.4,88.0
"Regional School District 04","=""2040012""",74.0,91.0
"Regional School District 05","=""2050012""",83.2,93.4
"Regional School District 06","=""2060012""",76.2,89.1
"Regional School District 07","=""2070012""",66.7,86.4
"Regional School District 08","=""2080012""",86.4,93.8
"Regional School District 09","=""2090012""",82.9,94.8
"Regional School District 10","=""2100012""",80.7,86.7
"Regional School District 11","=""2110012""",57.1,83.3
"Regional School District 12","=""2120012""",71.9,89.1
"Regional School District 13","=""2130012""",77.7,89.8
"Regional School District 14","=""2140012""",71.2,93.4
"Regional School District 15","=""2150012""",83.1,94.7
"Regional School District 16","=""2160012""",71.9,90.2
"Regional School District 17","=""2170012""",80.0,92.4
"Regional School District 18","=""2180012""",78.2,92.4
"Regional School District 19","=""2190012""",73.7,90.1
"Capitol Region Education Council","=""2410014""",71.5,78.3
"Education Connection","=""2420014""",*,*
"Cooperative Educational Services","=""2430014""",*,*
"Area Cooperative Educational Services","=""2440014""",*,*
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",49.4,64.1
"Common Ground High School District","=""2680013""",66.7,60.0
"The Bridge Academy District","=""2690013""",69.4,80.0
"Explorations District","=""2720013""",*,*
"Amistad Academy District","=""2790013""",*,*
"Stamford Academy District","=""2820013""",33.3,*
"Elm City College Preparatory School District","=""2890013""",*,*
"Unified School District #1","=""3360015""",*,*
"Unified School District #2","=""3470015""",*,*
"Connecticut Technical High School System","=""9000016""",45.9,75.0
"Norwich Free Academy District","=""9010022""",71.5,85.9
"The Gilbert School District","=""9020022""",69.0,79.3
"Woodstock Academy District","=""9030022""",77.1,90.1

