"College Entrance and Persistence, 2007-08"
"All Districts"

"Notes:"
"* In this report, year means graduating class of that school year."
"* College entrance refers to the percent of high school graduates from the year who enrolled in college any time during the first year after high school."
"* College persistence refers to the percent of students who enrolled in college the first year after high school and returned for a second year (Freshman to Sophomore persistence)."

"District","District Code","English Learner Status","Entrance(%)","Persistence(%)"
"Ansonia School District","=""0020011""","English Language Learners",*,*
"Avon School District","=""0040011""","English Language Learners",*,*
"Berlin School District","=""0070011""","English Language Learners",*,*
"Bethel School District","=""0090011""","English Language Learners",*,*
"Bloomfield School District","=""0110011""","English Language Learners",*,*
"Branford School District","=""0140011""","English Language Learners",*,*
"Bridgeport School District","=""0150011""","English Language Learners",27.2,83.9
"Bristol School District","=""0170011""","English Language Learners",*,*
"Brookfield School District","=""0180011""","English Language Learners",*,*
"Cheshire School District","=""0250011""","English Language Learners",*,*
"Colchester School District","=""0280011""","English Language Learners",*,*
"Cromwell School District","=""0330011""","English Language Learners",*,*
"Danbury School District","=""0340011""","English Language Learners",30.6,*
"Darien School District","=""0350011""","English Language Learners",*,*
"Derby School District","=""0370011""","English Language Learners",*,*
"East Hampton School District","=""0420011""","English Language Learners",*,*
"East Hartford School District","=""0430011""","English Language Learners",46.9,*
"East Haven School District","=""0440011""","English Language Learners",*,*
"East Windsor School District","=""0470011""","English Language Learners",*,*
"Enfield School District","=""0490011""","English Language Learners",*,*
"Fairfield School District","=""0510011""","English Language Learners",*,*
"Granby School District","=""0560011""","English Language Learners",*,*
"Greenwich School District","=""0570011""","English Language Learners",28.6,*
"Groton School District","=""0590011""","English Language Learners",*,*
"Guilford School District","=""0600011""","English Language Learners",*,*
"Hamden School District","=""0620011""","English Language Learners",84.0,81.0
"Hartford School District","=""0640011""","English Language Learners",42.1,75.0
"Killingly School District","=""0690011""","English Language Learners",*,*
"Ledyard School District","=""0720011""","English Language Learners",*,*
"Manchester School District","=""0770011""","English Language Learners",*,*
"Meriden School District","=""0800011""","English Language Learners",30.0,*
"Middletown School District","=""0830011""","English Language Learners",*,*
"Milford School District","=""0840011""","English Language Learners",*,*
"Montville School District","=""0860011""","English Language Learners",*,*
"Naugatuck School District","=""0880011""","English Language Learners",*,*
"New Britain School District","=""0890011""","English Language Learners",49.2,86.7
"New Canaan School District","=""0900011""","English Language Learners",*,*
"New Haven School District","=""0930011""","English Language Learners",37.5,70.8
"Newington School District","=""0940011""","English Language Learners",*,*
"New London School District","=""0950011""","English Language Learners",*,*
"New Milford School District","=""0960011""","English Language Learners",*,*
"North Branford School District","=""0990011""","English Language Learners",*,*
"North Haven School District","=""1010011""","English Language Learners",*,*
"Norwalk School District","=""1030011""","English Language Learners",37.8,*
"Old Saybrook School District","=""1060011""","English Language Learners",*,*
"Plainfield School District","=""1090011""","English Language Learners",*,*
"Plainville School District","=""1100011""","English Language Learners",*,*
"Putnam School District","=""1160011""","English Language Learners",*,*
"Ridgefield School District","=""1180011""","English Language Learners",*,*
"Rocky Hill School District","=""1190011""","English Language Learners",*,*
"Seymour School District","=""1240011""","English Language Learners",*,*
"Shelton School District","=""1260011""","English Language Learners",*,*
"Simsbury School District","=""1280011""","English Language Learners",*,*
"Southington School District","=""1310011""","English Language Learners",*,*
"South Windsor School District","=""1320011""","English Language Learners",*,*
"Stamford School District","=""1350011""","English Language Learners",49.3,91.7
"Stonington School District","=""1370011""","English Language Learners",*,*
"Stratford School District","=""1380011""","English Language Learners",*,*
"Torrington School District","=""1430011""","English Language Learners",*,*
"Trumbull School District","=""1440011""","English Language Learners",*,*
"Vernon School District","=""1460011""","English Language Learners",*,*
"Wallingford School District","=""1480011""","English Language Learners",*,*
"Waterbury School District","=""1510011""","English Language Learners",42.1,81.3
"Waterford School District","=""1520011""","English Language Learners",*,*
"Watertown School District","=""1530011""","English Language Learners",*,*
"West Hartford School District","=""1550011""","English Language Learners",60.0,*
"West Haven School District","=""1560011""","English Language Learners",*,*
"Weston School District","=""1570011""","English Language Learners",*,*
"Westport School District","=""1580011""","English Language Learners",*,*
"Wethersfield School District","=""1590011""","English Language Learners",*,*
"Wilton School District","=""1610011""","English Language Learners",*,*
"Windham School District","=""1630011""","English Language Learners",53.3,*
"Windsor School District","=""1640011""","English Language Learners",*,*
"Windsor Locks School District","=""1650011""","English Language Learners",*,*
"Wolcott School District","=""1660011""","English Language Learners",*,*
"Regional School District 04","=""2040012""","English Language Learners",*,*
"Regional School District 05","=""2050012""","English Language Learners",*,*
"Regional School District 06","=""2060012""","English Language Learners",*,*
"Regional School District 09","=""2090012""","English Language Learners",*,*
"Regional School District 14","=""2140012""","English Language Learners",*,*
"Regional School District 16","=""2160012""","English Language Learners",*,*
"Regional School District 19","=""2190012""","English Language Learners",*,*
"Capitol Region Education Council","=""2410014""","English Language Learners",*,*
"Area Cooperative Educational Services","=""2440014""","English Language Learners",*,*
"Connecticut Technical High School System","=""9000016""","English Language Learners",20.6,*
"Norwich Free Academy District","=""9010022""","English Language Learners",*,*
"The Gilbert School District","=""9020022""","English Language Learners",*,*

