"CMT/CAPT Science Assessment, 2015-16"
"All Districts, All Grades, High Needs (F/R, EL or SWD)"

"",,,,,,,,"Below Basic",,"Basic",,"Proficient",,"Goal",,"Advanced",,"At or Above Goal",,""
"District","District Code","Grade","High Needs (F/R, EL or SWD)","Total Numberof Students","Total NumberTested","ParticipationRate","Total Number with Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","Count","%","AverageSS"
"Achievement First Hartford Academy Inc. District","=""2880013""",05,"Y",146,145,99.3,145,42,29.0,36,24.8,40,27.6,"*","*","*","*",27,18.6,207
"Achievement First Hartford Academy Inc. District","=""2880013""",08,"Y",65,64,98.5,64,16,25.0,9,14.1,13,20.3,20,31.3,6,9.4,26,40.6,232
"Achievement First Hartford Academy Inc. District","=""2880013""",10,"Y",42,39,92.9,39,10,25.6,9,23.1,13,33.3,"*","*","*","*",7,17.9,220
"Amistad Academy District","=""2790013""",05,"Y",81,81,100.0,81,"*","*","*","*","*","*","*","*","*","*","*","*",218
"Amistad Academy District","=""2790013""",05,"N",14,14,"*",14,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""",08,"Y",64,64,100.0,64,"*","*","*","*","*","*","*","*","*","*","*","*",229
"Amistad Academy District","=""2790013""",08,"N",18,18,"*",18,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""",10,"Y",48,48,100.0,48,"*","*","*","*","*","*","*","*","*","*","*","*",212
"Amistad Academy District","=""2790013""",10,"N",10,10,"*",10,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""",05,"Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""",05,"N","*","*","*","*",0,0.0,"*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""",05,"Y",135,134,99.3,134,26,19.4,"*","*",48,35.8,23,17.2,"*","*","*","*",218
"Ansonia School District","=""0020011""",05,"N",50,50,100.0,50,6,12.0,"*","*",12,24.0,26,52.0,"*","*","*","*",246
"Ansonia School District","=""0020011""",08,"Y",148,148,100.0,148,50,33.8,"*","*",40,27.0,"*","*",0,0.0,"*","*",216
"Ansonia School District","=""0020011""",08,"N",39,39,100.0,39,6,15.4,"*","*",11,28.2,18,46.2,"*","*","*","*",245
"Ansonia School District","=""0020011""",10,"Y",124,121,97.6,120,"*","*",24,20.0,43,35.8,7,5.8,"*","*","*","*",208
"Ansonia School District","=""0020011""",10,"N",41,39,95.1,39,"*","*",6,15.4,15,38.5,7,17.9,"*","*","*","*",255
"Area Cooperative Educational Services","=""2440014""",05,"Y",68,65,95.6,65,"*","*",17,26.2,16,24.6,12,18.5,"*","*","*","*",211
"Area Cooperative Educational Services","=""2440014""",05,"N",30,30,100.0,30,"*","*",6,20.0,8,26.7,14,46.7,"*","*","*","*",245
"Area Cooperative Educational Services","=""2440014""",08,"Y",206,203,98.5,203,79,38.9,33,16.3,42,20.7,42,20.7,7,3.4,49,24.1,218
"Area Cooperative Educational Services","=""2440014""",08,"N",110,110,100.0,110,10,9.1,9,8.2,25,22.7,55,50.0,11,10.0,66,60.0,252
"Area Cooperative Educational Services","=""2440014""",10,"Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""",10,"N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ashford School District","=""0030011""",05,"Y",11,11,"*",11,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ashford School District","=""0030011""",05,"N",28,28,100.0,28,0,0.0,0,0.0,"*","*","*","*","*","*","*","*",286
"Ashford School District","=""0030011""",08,"Y",19,19,"*",19,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ashford School District","=""0030011""",08,"N",17,17,"*",17,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""",05,"Y",39,39,100.0,39,"*","*",11,28.2,14,35.9,9,23.1,"*","*","*","*",230
"Avon School District","=""0040011""",05,"N",234,234,100.0,234,0,0.0,"*","*",16,6.8,114,48.7,"*","*","*","*",290
"Avon School District","=""0040011""",08,"Y",42,42,100.0,42,"*","*","*","*",7,16.7,14,33.3,"*","*","*","*",237
"Avon School District","=""0040011""",08,"N",233,230,98.7,230,"*","*","*","*",17,7.4,119,51.7,"*","*","*","*",286
"Avon School District","=""0040011""",10,"Y",41,40,97.6,40,"*","*","*","*",16,40.0,8,20.0,"*","*","*","*",240
"Avon School District","=""0040011""",10,"N",246,245,99.6,244,"*","*","*","*",42,17.2,64,26.2,"*","*","*","*",298
"Barkhamsted School District","=""0050011""",05,"Y",10,10,"*",10,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Barkhamsted School District","=""0050011""",05,"N",37,35,94.6,35,0,0.0,"*","*","*","*","*","*","*","*","*","*",283
"Berlin School District","=""0070011""",05,"Y",51,50,98.0,50,"*","*","*","*",16,32.0,17,34.0,"*","*","*","*",238
