"CMT/CAPT Science Assessment, 2015-16"
"All Districts, All Grades, Special Education Status (SWD)"

"",,,,,,,,"Below Basic",,"Basic",,"Proficient",,"Goal",,"Advanced",,"At or Above Goal",,""
"District","District Code","Grade","Special Education Status (SWD)","Total Numberof Students","Total NumberTested","ParticipationRate","Total Number with Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","Count","%","AverageSS"
"Achievement First Hartford Academy Inc. District","=""2880013""",05,"N",132,131,99.2,131,"*","*","*","*","*","*","*","*","*","*","*","*",210
"Achievement First Hartford Academy Inc. District","=""2880013""",05,"Y",14,14,"*",14,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Achievement First Hartford Academy Inc. District","=""2880013""",08,"N",58,58,100.0,58,"*","*","*","*","*","*","*","*","*","*","*","*",239
"Achievement First Hartford Academy Inc. District","=""2880013""",08,"Y",7,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Achievement First Hartford Academy Inc. District","=""2880013""",10,"N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Achievement First Hartford Academy Inc. District","=""2880013""",10,"Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""",05,"N",85,85,100.0,85,"*","*","*","*","*","*","*","*","*","*","*","*",228
"Amistad Academy District","=""2790013""",05,"Y",10,10,"*",10,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""",08,"N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""",08,"Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""",10,"N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""",10,"Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""",05,"N","*","*","*","*",0,0.0,"*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""",05,"Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""",05,"N",162,162,100.0,162,20,12.3,"*","*","*","*","*","*","*","*","*","*",230
"Ansonia School District","=""0020011""",05,"Y",23,22,95.7,22,12,54.5,"*","*","*","*","*","*","*","*","*","*",193
"Ansonia School District","=""0020011""",08,"N",159,159,100.0,159,40,25.2,26,16.4,"*","*","*","*","*","*","*","*",226
"Ansonia School District","=""0020011""",08,"Y",28,28,100.0,28,16,57.1,6,21.4,"*","*","*","*",0,0.0,"*","*",200
"Ansonia School District","=""0020011""",10,"N",131,127,96.9,127,23,18.1,"*","*","*","*",14,11.0,11,8.7,25,19.7,230
"Ansonia School District","=""0020011""",10,"Y",34,33,97.1,32,23,71.9,"*","*","*","*",0,0.0,0,0.0,0,0.0,179
"Area Cooperative Educational Services","=""2440014""",05,"N",69,69,100.0,69,"*","*",17,24.6,"*","*","*","*","*","*","*","*",234
"Area Cooperative Educational Services","=""2440014""",05,"Y",29,26,89.7,26,"*","*",6,23.1,"*","*","*","*",0,0.0,"*","*",187
"Area Cooperative Educational Services","=""2440014""",08,"N",250,250,100.0,250,40,16.0,"*","*","*","*","*","*","*","*","*","*",240
"Area Cooperative Educational Services","=""2440014""",08,"Y",66,63,95.5,63,49,77.8,"*","*","*","*","*","*","*","*","*","*",190
"Area Cooperative Educational Services","=""2440014""",10,"N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""",10,"Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ashford School District","=""0030011""",05,"N","*","*","*","*",0,0.0,0,0.0,"*","*","*","*","*","*","*","*","*"
"Ashford School District","=""0030011""",05,"Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ashford School District","=""0030011""",08,"N","*","*","*","*",0,0.0,"*","*","*","*","*","*","*","*","*","*","*"
"Ashford School District","=""0030011""",08,"Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""",05,"N",254,254,100.0,254,"*","*","*","*","*","*","*","*","*","*","*","*",286
"Avon School District","=""0040011""",05,"Y",19,19,"*",19,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""",08,"N",246,243,98.8,243,"*","*","*","*",17,7.0,127,52.3,90,37.0,217,89.3,286
"Avon School District","=""0040011""",08,"Y",29,29,100.0,29,9,31.0,"*","*",7,24.1,"*","*",0,0.0,"*","*",219
"Avon School District","=""0040011""",10,"N",261,260,99.6,259,"*","*","*","*",49,18.9,66,25.5,"*","*","*","*",295
"Avon School District","=""0040011""",10,"Y",26,25,96.2,25,"*","*","*","*",9,36.0,6,24.0,"*","*","*","*",234
"Barkhamsted School District","=""0050011""",05,"N",38,36,94.7,36,0,0.0,"*","*","*","*","*","*","*","*","*","*",281
"Barkhamsted School District","=""0050011""",05,"Y",9,9,"*",9,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""",05,"N",222,222,100.0,222,"*","*",6,2.7,43,19.4,"*","*","*","*","*","*",275
"Berlin School District","=""0070011""",05,"Y",27,26,96.3,26,"*","*",12,46.2,6,23.1,"*","*","*","*","*","*",220
"Berlin School District","=""0070011""",08,"N",187,187,100.0,187,"*","*","*","*",19,10.2,"*","*","*","*","*","*",277
"Berlin School District","=""0070011""",08,"Y",29,29,100.0,29,"*","*","*","*",8,27.6,"*","*","*","*","*","*",222
"Berlin School District","=""0070011""",10,"N",186,185,99.5,185,"*","*",6,3.2,61,33.0,"*","*","*","*","*","*",279
