"CMT/CAPT Science Assessment, 2015-16"
"All Districts, Grade 5, Free/Reduced Price Meal Eligibility (3-level)"

"",,,,,,,"Below Basic",,"Basic",,"Proficient",,"Goal",,"Advanced",,"At or Above Goal",,""
"District","District Code","Free/Reduced Price Meal Eligibility (3-level)","Total Numberof Students","Total NumberTested","ParticipationRate","Total Number with Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","Count","%","AverageSS"
"Achievement First Hartford Academy Inc. District","=""2880013""","F",146,145,99.3,145,42,29.0,36,24.8,40,27.6,"*","*","*","*",27,18.6,207
"Amistad Academy District","=""2790013""","F",70,70,100.0,70,"*","*",22,31.4,18,25.7,15,21.4,"*","*","*","*",216
"Amistad Academy District","=""2790013""","N",14,14,"*",14,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""","R",11,11,"*",11,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""","N","*","*","*","*",0,0.0,"*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","F",106,106,100.0,106,18,17.0,26,24.5,41,38.7,"*","*","*","*","*","*",220
"Ansonia School District","=""0020011""","N",59,59,100.0,59,"*","*","*","*","*","*",26,44.1,"*","*","*","*",235
"Ansonia School District","=""0020011""","R",20,19,95.0,19,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","F",59,57,96.6,57,16,28.1,16,28.1,12,21.1,"*","*","*","*","*","*",211
"Area Cooperative Educational Services","=""2440014""","N",32,31,96.9,31,"*","*","*","*","*","*",14,45.2,"*","*","*","*",242
"Area Cooperative Educational Services","=""2440014""","R",7,7,"*",7,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ashford School District","=""0030011""","F",11,11,"*",11,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ashford School District","=""0030011""","N",28,28,100.0,28,0,0.0,0,0.0,"*","*","*","*","*","*","*","*",286
"Avon School District","=""0040011""","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","N",254,254,100.0,254,0,0.0,14,5.5,25,9.8,116,45.7,99,39.0,215,84.6,285
"Avon School District","=""0040011""","R","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Barkhamsted School District","=""0050011""","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Barkhamsted School District","=""0050011""","N",44,42,95.5,42,"*","*","*","*",6,14.3,24,57.1,8,19.0,32,76.2,273
"Barkhamsted School District","=""0050011""","R","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","F",26,26,100.0,26,"*","*","*","*","*","*","*","*","*","*","*","*",239
"Berlin School District","=""0070011""","N",215,214,99.5,214,"*","*","*","*",40,18.7,106,49.5,55,25.7,161,75.2,273
"Berlin School District","=""0070011""","R",8,8,"*",8,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bethany School District","=""0080011""","F",7,7,"*",7,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bethany School District","=""0080011""","N",53,50,94.3,50,0,0.0,0,0.0,"*","*","*","*","*","*","*","*",291
"Bethel School District","=""0090011""","F",33,33,100.0,33,"*","*","*","*","*","*","*","*","*","*","*","*",260
"Bethel School District","=""0090011""","N",162,161,99.4,161,"*","*","*","*",18,11.2,70,43.5,66,41.0,136,84.5,289
"Bethel School District","=""0090011""","R",18,18,"*",18,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bloomfield School District","=""0110011""","F",51,51,100.0,51,7,13.7,14,27.5,"*","*","*","*",0,0.0,"*","*",220
"Bloomfield School District","=""0110011""","N",59,59,100.0,59,"*","*","*","*",21,35.6,20,33.9,"*","*","*","*",237
"Bloomfield School District","=""0110011""","R",14,14,"*",14,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bolton School District","=""0120011""","F",10,10,"*",10,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bolton School District","=""0120011""","N",59,57,96.6,57,"*","*","*","*","*","*","*","*","*","*","*","*",278
"Bozrah School District","=""0130011""","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bozrah School District","=""0130011""","N",23,23,100.0,23,0,0.0,0,0.0,"*","*",14,60.9,"*","*","*","*",281
"Bozrah School District","=""0130011""","R","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Branford School District","=""0140011""","F",51,51,100.0,51,"*","*","*","*","*","*","*","*","*","*","*","*",244
"Branford School District","=""0140011""","N",164,163,99.4,163,"*","*","*","*",31,19.0,82,50.3,34,20.9,116,71.2,267
"Branford School District","=""0140011""","R",9,9,"*",9,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport Achievement First District","=""2850013""","F",63,63,100.0,63,14,22.2,22,34.9,16,25.4,"*","*","*","*",11,17.5,210
"Bridgeport Achievement First District","=""2850013""","N",18,18,"*",18,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport Achievement First District","=""2850013""","R",10,9,"*",9,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","F",1566,1557,99.4,1557,454,29.2,407,26.1,391,25.1,268,17.2,37,2.4,305,19.6,210
"Bristol School District","=""0170011""","F",264,263,99.6,263,29,11.0,44,16.7,67,25.5,102,38.8,21,8.0,123,46.8,241
"Bristol School District","=""0170011""","N",335,334,99.7,334,"*","*","*","*",55,16.5,168,50.3,65,19.5,233,69.8,264
"Bristol School District","=""0170011""","R",47,47,100.0,47,"*","*","*","*",9,19.1,28,59.6,7,14.9,35,74.5,266
"Brookfield School District","=""0180011""","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Brookfield School District","=""0180011""","N",174,171,98.3,171,"*","*","*","*",17,9.9,73,42.7,70,40.9,143,83.6,287
"Brookfield School District","=""0180011""","R","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Brooklyn School District","=""0190011""","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Brooklyn School District","=""0190011""","N",78,78,100.0,78,0,0.0,"*","*","*","*",36,46.2,26,33.3,62,79.5,281
"Brooklyn School District","=""0190011""","R","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Canaan School District","=""0210011""","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Canaan School District","=""0210011""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Canterbury School District","=""0220011""","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Canterbury School District","=""0220011""","N",35,34,97.1,34,"*","*","*","*",7,20.6,17,50.0,6,17.6,23,67.6,261
"Canterbury School District","=""0220011""","R","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Canton School District","=""0230011""","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Canton School District","=""0230011""","N",123,123,100.0,123,"*","*","*","*",10,8.1,51,41.5,54,43.9,105,85.4,290
"Canton School District","=""0230011""","R","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","F",151,150,99.3,150,25,16.7,35,23.3,45,30.0,"*","*","*","*","*","*",225
"Capitol Region Education Council","=""2410014""","N",149,145,97.3,145,"*","*","*","*","*","*",69,47.6,34,23.4,103,71.0,267
"Capitol Region Education Council","=""2410014""","R",19,19,"*",19,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Chaplin School District","=""0240011""","F",11,11,"*",11,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Chaplin School District","=""0240011""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Chaplin School District","=""0240011""","R","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Cheshire School District","=""0250011""","F",22,22,100.0,22,"*","*","*","*","*","*","*","*","*","*","*","*",249
"Cheshire School District","=""0250011""","N",318,317,99.7,317,"*","*","*","*",35,11.0,151,47.6,121,38.2,272,85.8,288
"Cheshire School District","=""0250011""","R",7,7,"*",7,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Chester School District","=""0260011""","N","*","*","*","*",0,0.0,0,0.0,"*","*","*","*","*","*","*","*","*"
"Chester School District","=""0260011""","R","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Clinton School District","=""0270011""","F",17,17,"*",17,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Clinton School District","=""0270011""","N",151,151,100.0,151,"*","*","*","*",24,15.9,74,49.0,44,29.1,118,78.1,276
"Clinton School District","=""0270011""","R",8,8,"*",8,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Colchester School District","=""0280011""","F",28,28,100.0,28,"*","*","*","*","*","*","*","*","*","*","*","*",256
"Colchester School District","=""0280011""","N",166,165,99.4,165,"*","*","*","*",26,15.8,84,50.9,49,29.7,133,80.6,283
"Colchester School District","=""0280011""","R",8,8,"*",8,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Colebrook School District","=""0290011""","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Colebrook School District","=""0290011""","N",7,7,"*",7,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Colebrook School District","=""0290011""","R","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Columbia School District","=""0300011""","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Columbia School District","=""0300011""","N",49,49,100.0,49,"*","*","*","*",7,14.3,23,46.9,15,30.6,38,77.6,273
"Columbia School District","=""0300011""","R","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Cooperative Educational Services","=""2430014""","F",14,14,"*",14,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Cooperative Educational Services","=""2430014""","N",31,31,100.0,31,"*","*","*","*","*","*",14,45.2,8,25.8,22,71.0,264
"Cooperative Educational Services","=""2430014""","R",7,7,"*",7,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Cornwall School District","=""0310011""","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Cornwall School District","=""0310011""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
