"CMT/CAPT Science Assessment, 2015-16"
"All Districts, All Grades, All Students"

"",,,,,,,"Below Basic",,"Basic",,"Proficient",,"Goal",,"Advanced",,"At or Above Goal",,""
"District","District Code","Grade","Total Numberof Students","Total NumberTested","ParticipationRate","Total Number with Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","Count","%","AverageSS"
"Achievement First Hartford Academy Inc. District","=""2880013""",05,146,145,99.3,145,42,29.0,36,24.8,40,27.6,"*","*","*","*",27,18.6,207
"Achievement First Hartford Academy Inc. District","=""2880013""",08,65,64,98.5,64,16,25.0,9,14.1,13,20.3,20,31.3,6,9.4,26,40.6,232
"Achievement First Hartford Academy Inc. District","=""2880013""",10,42,39,92.9,39,10,25.6,9,23.1,13,33.3,"*","*","*","*",7,17.9,220
"Amistad Academy District","=""2790013""",05,95,95,100.0,95,15,15.8,27,28.4,26,27.4,"*","*","*","*","*","*",221
"Amistad Academy District","=""2790013""",08,82,82,100.0,82,15,18.3,"*","*",28,34.1,27,32.9,"*","*","*","*",235
"Amistad Academy District","=""2790013""",10,58,58,100.0,58,13,22.4,17,29.3,24,41.4,"*","*","*","*","*","*",215
"Andover School District","=""0010011""",05,44,43,97.7,43,0,0.0,"*","*","*","*",20,46.5,19,44.2,39,90.7,296
"Ansonia School District","=""0020011""",05,185,184,99.5,184,"*","*",36,19.6,60,32.6,49,26.6,"*","*","*","*",226
"Ansonia School District","=""0020011""",08,187,187,100.0,187,56,29.9,"*","*",51,27.3,46,24.6,"*","*","*","*",222
"Ansonia School District","=""0020011""",10,165,160,97.0,159,46,28.9,30,18.9,58,36.5,14,8.8,11,6.9,25,15.7,220
"Area Cooperative Educational Services","=""2440014""",05,98,95,96.9,95,"*","*","*","*","*","*","*","*","*","*","*","*",221
"Area Cooperative Educational Services","=""2440014""",08,316,313,99.1,313,89,28.4,42,13.4,67,21.4,97,31.0,18,5.8,115,36.7,230
"Area Cooperative Educational Services","=""2440014""",10,31,23,74.2,19,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ashford School District","=""0030011""",05,39,39,100.0,39,"*","*",0,0.0,"*","*",19,48.7,"*","*","*","*",285
"Ashford School District","=""0030011""",08,36,36,100.0,36,"*","*","*","*","*","*",24,66.7,"*","*","*","*",260
"Avon School District","=""0040011""",05,273,273,100.0,273,"*","*","*","*",30,11.0,123,45.1,101,37.0,224,82.1,281
"Avon School District","=""0040011""",08,275,272,98.9,272,15,5.5,10,3.7,24,8.8,133,48.9,90,33.1,223,82.0,279
"Avon School District","=""0040011""",10,287,285,99.3,284,"*","*","*","*",58,20.4,72,25.4,136,47.9,208,73.2,290
"Barkhamsted School District","=""0050011""",05,47,45,95.7,45,"*","*","*","*",7,15.6,25,55.6,8,17.8,33,73.3,270
"Berlin School District","=""0070011""",05,249,248,99.6,248,"*","*","*","*",49,19.8,120,48.4,57,23.0,177,71.4,269
"Berlin School District","=""0070011""",08,216,216,100.0,216,12,5.6,11,5.1,27,12.5,111,51.4,55,25.5,166,76.9,270
"Berlin School District","=""0070011""",10,215,212,98.6,212,"*","*","*","*",67,31.6,51,24.1,70,33.0,121,57.1,271
"Bethany School District","=""0080011""",05,60,57,95.0,57,0,0.0,"*","*","*","*",30,52.6,19,33.3,49,86.0,286
"Bethel School District","=""0090011""",05,213,212,99.5,212,"*","*","*","*",29,13.7,91,42.9,79,37.3,170,80.2,283
"Bethel School District","=""0090011""",08,216,214,99.1,214,"*","*","*","*",41,19.2,116,54.2,40,18.7,156,72.9,266
"Bethel School District","=""0090011""",10,195,193,99.0,193,"*","*","*","*",52,26.9,47,24.4,76,39.4,123,63.7,279
"Bloomfield School District","=""0110011""",05,124,124,100.0,124,"*","*",25,20.2,44,35.5,37,29.8,"*","*","*","*",229
"Bloomfield School District","=""0110011""",08,129,129,100.0,129,26,20.2,"*","*",32,24.8,48,37.2,"*","*","*","*",241
"Bloomfield School District","=""0110011""",10,147,143,97.3,142,22,15.5,28,19.7,48,33.8,30,21.1,14,9.9,44,31.0,237
"Bolton School District","=""0120011""",05,69,67,97.1,67,7,10.4,"*","*","*","*",30,44.8,23,34.3,53,79.1,275
"Bolton School District","=""0120011""",08,50,49,98.0,49,"*","*","*","*",8,16.3,24,49.0,11,22.4,35,71.4,264
"Bolton School District","=""0120011""",10,78,78,100.0,78,"*","*","*","*",27,34.6,29,37.2,17,21.8,46,59.0,271
"Bozrah School District","=""0130011""",05,29,29,100.0,29,0,0.0,0,0.0,"*","*",20,69.0,"*","*","*","*",279
"Bozrah School District","=""0130011""",08,22,21,95.5,21,0,0.0,0,0.0,"*","*",12,57.1,"*","*","*","*",273
"Branford School District","=""0140011""",05,224,223,99.6,223,8,3.6,21,9.4,50,22.4,106,47.5,38,17.0,144,64.6,261
"Branford School District","=""0140011""",08,241,238,98.8,238,16,6.7,16,6.7,34,14.3,129,54.2,43,18.1,172,72.3,265
"Branford School District","=""0140011""",10,218,209,95.9,209,10,4.8,16,7.7,73,34.9,49,23.4,61,29.2,110,52.6,267
"Bridgeport Achievement First District","=""2850013""",05,91,90,98.9,90,19,21.1,29,32.2,23,25.6,"*","*","*","*","*","*",214
"Bridgeport Achievement First District","=""2850013""",08,91,90,98.9,90,20,22.2,"*","*",23,25.6,24,26.7,"*","*","*","*",230
"Bridgeport Achievement First District","=""2850013""",10,42,42,100.0,41,16,39.0,11,26.8,10,24.4,"*","*","*","*","*","*",201
