"CMT/CAPT Science Assessment, 2015-16"
"All Districts, Grade 8, Gender"

"",,,,,,,"Below Basic",,"Basic",,"Proficient",,"Goal",,"Advanced",,"At or Above Goal",,""
"District","District Code","Gender","Total Numberof Students","Total NumberTested","ParticipationRate","Total Number with Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","Count","%","AverageSS"
"Achievement First Hartford Academy Inc. District","=""2880013""","F",30,29,96.7,29,"*","*","*","*","*","*",10,34.5,0,0.0,10,34.5,232
"Achievement First Hartford Academy Inc. District","=""2880013""","M",35,35,100.0,35,"*","*","*","*","*","*",10,28.6,6,17.1,16,45.7,232
"Amistad Academy District","=""2790013""","F",39,39,100.0,39,6,15.4,"*","*",17,43.6,12,30.8,"*","*","*","*",234
"Amistad Academy District","=""2790013""","M",43,43,100.0,43,9,20.9,"*","*",11,25.6,15,34.9,"*","*","*","*",235
"Ansonia School District","=""0020011""","F",100,100,100.0,100,32,32.0,"*","*",29,29.0,21,21.0,"*","*","*","*",220
"Ansonia School District","=""0020011""","M",87,87,100.0,87,24,27.6,"*","*",22,25.3,25,28.7,"*","*","*","*",224
"Area Cooperative Educational Services","=""2440014""","F",136,136,100.0,136,36,26.5,18,13.2,31,22.8,41,30.1,10,7.4,51,37.5,232
"Area Cooperative Educational Services","=""2440014""","M",180,177,98.3,177,53,29.9,24,13.6,36,20.3,56,31.6,8,4.5,64,36.2,228
"Ashford School District","=""0030011""","F",14,14,"*",14,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ashford School District","=""0030011""","M",22,22,100.0,22,"*","*","*","*","*","*","*","*",0,0.0,"*","*",255
"Avon School District","=""0040011""","F",142,140,98.6,140,"*","*","*","*",9,6.4,77,55.0,42,30.0,119,85.0,279
"Avon School District","=""0040011""","M",133,132,99.2,132,"*","*","*","*",15,11.4,56,42.4,48,36.4,104,78.8,278
"Berlin School District","=""0070011""","F",87,87,100.0,87,"*","*","*","*",11,12.6,47,54.0,20,23.0,67,77.0,267
"Berlin School District","=""0070011""","M",129,129,100.0,129,"*","*","*","*",16,12.4,64,49.6,35,27.1,99,76.7,271
"Bethel School District","=""0090011""","F",105,105,100.0,105,"*","*","*","*",23,21.9,59,56.2,18,17.1,77,73.3,267
"Bethel School District","=""0090011""","M",111,109,98.2,109,"*","*","*","*",18,16.5,57,52.3,22,20.2,79,72.5,266
"Bloomfield School District","=""0110011""","F",67,67,100.0,67,12,17.9,"*","*",17,25.4,28,41.8,"*","*","*","*",245
"Bloomfield School District","=""0110011""","M",62,62,100.0,62,14,22.6,"*","*",15,24.2,20,32.3,"*","*","*","*",236
"Bolton School District","=""0120011""","F",23,23,100.0,23,"*","*","*","*","*","*",13,56.5,"*","*","*","*",266
"Bolton School District","=""0120011""","M",27,26,96.3,26,"*","*","*","*","*","*",11,42.3,"*","*","*","*",263
"Bozrah School District","=""0130011""","F",10,10,"*",10,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bozrah School District","=""0130011""","M",12,11,"*",11,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Branford School District","=""0140011""","F",129,127,98.4,127,"*","*","*","*",21,16.5,72,56.7,23,18.1,95,74.8,267
"Branford School District","=""0140011""","M",112,111,99.1,111,"*","*","*","*",13,11.7,57,51.4,20,18.0,77,69.4,262
"Bridgeport Achievement First District","=""2850013""","F",47,46,97.9,46,9,19.6,"*","*",15,32.6,13,28.3,"*","*","*","*",232
"Bridgeport Achievement First District","=""2850013""","M",44,44,100.0,44,11,25.0,11,25.0,"*","*",11,25.0,"*","*","*","*",229
"Bridgeport School District","=""0150011""","F",705,692,98.2,692,287,41.5,119,17.2,127,18.4,141,20.4,18,2.6,159,23.0,214
"Bridgeport School District","=""0150011""","M",747,733,98.1,733,350,47.7,122,16.6,117,16.0,133,18.1,11,1.5,144,19.6,209
"Bristol School District","=""0170011""","F",271,265,97.8,265,25,9.4,25,9.4,53,20.0,124,46.8,38,14.3,162,61.1,256
"Bristol School District","=""0170011""","M",293,291,99.3,291,36,12.4,17,5.8,52,17.9,140,48.1,46,15.8,186,63.9,256
"Brookfield School District","=""0180011""","F",95,94,98.9,94,"*","*","*","*",8,8.5,44,46.8,35,37.2,79,84.0,282
"Brookfield School District","=""0180011""","M",106,105,99.1,105,"*","*","*","*",8,7.6,49,46.7,34,32.4,83,79.0,273
"Brooklyn School District","=""0190011""","F",53,51,96.2,51,"*","*","*","*","*","*",33,64.7,11,21.6,44,86.3,276
"Brooklyn School District","=""0190011""","M",55,55,100.0,55,"*","*","*","*","*","*",31,56.4,13,23.6,44,80.0,272
"Canaan School District","=""0210011""","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Canaan School District","=""0210011""","M","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Canterbury School District","=""0220011""","F",33,33,100.0,33,"*","*","*","*","*","*",23,69.7,0,0.0,23,69.7,256
"Canterbury School District","=""0220011""","M",30,30,100.0,30,"*","*","*","*","*","*",21,70.0,"*","*","*","*",254
"Canton School District","=""0230011""","F",76,76,100.0,76,"*","*","*","*",9,11.8,46,60.5,16,21.1,62,81.6,272
"Canton School District","=""0230011""","M",64,64,100.0,64,"*","*","*","*",8,12.5,36,56.3,16,25.0,52,81.3,275
"Capital Preparatory Harbor School Inc. District","=""2970013""","F",17,17,"*",17,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Capital Preparatory Harbor School Inc. District","=""2970013""","M",21,21,100.0,21,"*","*","*","*","*","*","*","*",0,0.0,"*","*",216
"Capitol Region Education Council","=""2410014""","F",301,299,99.3,299,47,15.7,43,14.4,58,19.4,117,39.1,34,11.4,151,50.5,245
"Capitol Region Education Council","=""2410014""","M",348,345,99.1,345,50,14.5,27,7.8,54,15.7,143,41.4,71,20.6,214,62.0,257
"Cheshire School District","=""0250011""","F",189,187,98.9,187,"*","*","*","*",26,13.9,97,51.9,53,28.3,150,80.2,276
"Cheshire School District","=""0250011""","M",166,165,99.4,165,"*","*","*","*",11,6.7,91,55.2,46,27.9,137,83.0,278
"Clinton School District","=""0270011""","F",83,83,100.0,83,"*","*","*","*",15,18.1,38,45.8,21,25.3,59,71.1,269
"Clinton School District","=""0270011""","M",77,76,98.7,76,"*","*","*","*",8,10.5,40,52.6,19,25.0,59,77.6,272
"Colchester School District","=""0280011""","F",106,105,99.1,105,0,0.0,"*","*","*","*",61,58.1,26,24.8,87,82.9,276
"Colchester School District","=""0280011""","M",86,86,100.0,86,"*","*","*","*",11,12.8,40,46.5,25,29.1,65,75.6,275
"Columbia School District","=""0300011""","F",27,27,100.0,27,"*","*","*","*","*","*",14,51.9,"*","*","*","*",257
"Columbia School District","=""0300011""","M",32,32,100.0,32,0,0.0,"*","*","*","*",20,62.5,"*","*","*","*",262
"Cooperative Educational Services","=""2430014""","F",23,23,100.0,23,6,26.1,"*","*","*","*",8,34.8,"*","*","*","*",235
"Cooperative Educational Services","=""2430014""","M",30,30,100.0,30,8,26.7,"*","*","*","*",13,43.3,"*","*","*","*",236
"Cornwall School District","=""0310011""","F",6,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Cornwall School District","=""0310011""","M",13,13,"*",13,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Coventry School District","=""0320011""","F",72,70,97.2,70,"*","*","*","*","*","*",45,64.3,17,24.3,62,88.6,276
"Coventry School District","=""0320011""","M",66,66,100.0,66,0,0.0,"*","*","*","*",41,62.1,13,19.7,54,81.8,273
"Cromwell School District","=""0330011""","F",72,71,98.6,71,"*","*","*","*",12,16.9,37,52.1,16,22.5,53,74.6,270
"Cromwell School District","=""0330011""","M",71,71,100.0,71,"*","*","*","*",17,23.9,34,47.9,10,14.1,44,62.0,259
"Danbury School District","=""0340011""","F",412,410,99.5,410,79,19.3,50,12.2,104,25.4,155,37.8,22,5.4,177,43.2,236
"Danbury School District","=""0340011""","M",393,390,99.2,390,81,20.8,48,12.3,79,20.3,158,40.5,24,6.2,182,46.7,238
"Darien School District","=""0350011""","F",180,179,99.4,179,0,0.0,"*","*","*","*",83,46.4,80,44.7,163,91.1,292
"Darien School District","=""0350011""","M",193,190,98.4,190,"*","*","*","*",9,4.7,78,41.1,96,50.5,174,91.6,295
"Derby School District","=""0370011""","F",49,48,98.0,48,13,27.1,7,14.6,"*","*",19,39.6,"*","*","*","*",234
"Derby School District","=""0370011""","M",50,50,100.0,50,12,24.0,15,30.0,11,22.0,"*","*","*","*",12,24.0,226
"East Granby School District","=""0400011""","F",39,39,100.0,39,0,0.0,"*","*","*","*",21,53.8,"*","*","*","*",275
"East Granby School District","=""0400011""","M",23,23,100.0,23,"*","*","*","*","*","*",11,47.8,"*","*","*","*",249
"East Haddam School District","=""0410011""","F",49,47,95.9,47,"*","*","*","*",9,19.1,29,61.7,"*","*","*","*",259
"East Haddam School District","=""0410011""","M",54,53,98.1,53,"*","*","*","*",10,18.9,33,62.3,"*","*","*","*",261
"East Hampton School District","=""0420011""","F",67,66,98.5,66,"*","*","*","*",10,15.2,32,48.5,18,27.3,50,75.8,275
"East Hampton School District","=""0420011""","M",81,80,98.8,80,"*","*","*","*",13,16.3,40,50.0,19,23.8,59,73.8,268
"East Hartford School District","=""0430011""","F",253,249,98.4,249,81,32.5,41,16.5,48,19.3,63,25.3,16,6.4,79,31.7,228
"East Hartford School District","=""0430011""","M",239,235,98.3,235,91,38.7,33,14.0,36,15.3,60,25.5,15,6.4,75,31.9,223
"East Haven School District","=""0440011""","F",110,106,96.4,106,20,18.9,"*","*",25,23.6,42,39.6,"*","*","*","*",239
"East Haven School District","=""0440011""","M",139,138,99.3,138,37,26.8,"*","*",31,22.5,44,31.9,"*","*","*","*",229
"East Lyme School District","=""0450011""","F",116,114,98.3,114,"*","*","*","*",20,17.5,66,57.9,23,20.2,89,78.1,274
"East Lyme School District","=""0450011""","M",100,99,99.0,99,"*","*","*","*",12,12.1,55,55.6,20,20.2,75,75.8,265
"East Windsor School District","=""0470011""","F",31,30,96.8,30,"*","*",0,0.0,"*","*",17,56.7,6,20.0,23,76.7,268
"East Windsor School District","=""0470011""","M",44,43,97.7,43,"*","*","*","*","*","*",19,44.2,9,20.9,28,65.1,267
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","M","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Eastford School District","=""0390011""","F",9,9,"*",9,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Eastford School District","=""0390011""","M",6,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Easton School District","=""0460011""","F",41,39,95.1,39,0,0.0,"*","*","*","*",26,66.7,6,15.4,32,82.1,274
"Easton School District","=""0460011""","M",66,64,97.0,64,"*","*","*","*",6,9.4,38,59.4,17,26.6,55,85.9,276
"Education Connection","=""2420014""","M","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ellington School District","=""0480011""","F",97,97,100.0,97,"*","*","*","*",12,12.4,54,55.7,22,22.7,76,78.4,273
"Ellington School District","=""0480011""","M",115,115,100.0,115,"*","*","*","*",16,13.9,61,53.0,22,19.1,83,72.2,264
"Elm City College Preparatory School District","=""2890013""","F",35,35,100.0,35,6,17.1,"*","*",13,37.1,"*","*","*","*","*","*",227
"Elm City College Preparatory School District","=""2890013""","M",25,25,100.0,25,8,32.0,"*","*",7,28.0,"*","*",0,0.0,"*","*",217
"Enfield School District","=""0490011""","F",172,172,100.0,172,10,5.8,23,13.4,18,10.5,92,53.5,29,16.9,121,70.3,262
"Enfield School District","=""0490011""","M",180,178,98.9,178,14,7.9,19,10.7,38,21.3,78,43.8,29,16.3,107,60.1,256
"Fairfield School District","=""0510011""","F",404,401,99.3,401,15,3.7,15,3.7,33,8.2,224,55.9,114,28.4,338,84.3,278
"Fairfield School District","=""0510011""","M",389,384,98.7,384,17,4.4,9,2.3,43,11.2,202,52.6,113,29.4,315,82.0,276
"Farmington School District","=""0520011""","F",156,155,99.4,155,"*","*","*","*",20,12.9,86,55.5,40,25.8,126,81.3,277
"Farmington School District","=""0520011""","M",136,134,98.5,134,"*","*","*","*",15,11.2,69,51.5,45,33.6,114,85.1,280
"Franklin School District","=""0530011""","F",8,8,"*",8,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Franklin School District","=""0530011""","M",13,13,"*",13,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Glastonbury School District","=""0540011""","F",264,264,100.0,263,9,3.4,6,2.3,16,6.1,121,46.0,111,42.2,232,88.2,287
"Glastonbury School District","=""0540011""","M",252,252,100.0,252,7,2.8,10,4.0,19,7.5,121,48.0,95,37.7,216,85.7,283
"Granby School District","=""0560011""","F",75,73,97.3,73,0,0.0,0,0.0,6,8.2,46,63.0,21,28.8,67,91.8,290
"Granby School District","=""0560011""","M",82,82,100.0,82,"*","*","*","*",10,12.2,47,57.3,18,22.0,65,79.3,271
"Greenwich School District","=""0570011""","F",282,281,99.6,281,6,2.1,11,3.9,30,10.7,154,54.8,80,28.5,234,83.3,278
"Greenwich School District","=""0570011""","M",352,351,99.7,351,23,6.6,13,3.7,33,9.4,175,49.9,107,30.5,282,80.3,275
"Griswold School District","=""0580011""","F",72,72,100.0,72,"*","*","*","*",19,26.4,38,52.8,"*","*","*","*",250
"Griswold School District","=""0580011""","M",65,63,96.9,63,"*","*","*","*",10,15.9,27,42.9,"*","*","*","*",246
"Groton School District","=""0590011""","F",151,149,98.7,149,14,9.4,14,9.4,23,15.4,69,46.3,29,19.5,98,65.8,258
"Groton School District","=""0590011""","M",135,133,98.5,133,11,8.3,14,10.5,22,16.5,71,53.4,15,11.3,86,64.7,257
"Guilford School District","=""0600011""","F",149,149,100.0,149,"*","*","*","*",16,10.7,95,63.8,26,17.4,121,81.2,270
"Guilford School District","=""0600011""","M",141,141,100.0,141,"*","*","*","*",15,10.6,89,63.1,23,16.3,112,79.4,269
"Hamden School District","=""0620011""","F",203,199,98.0,199,29,14.6,25,12.6,50,25.1,81,40.7,14,7.0,95,47.7,241
"Hamden School District","=""0620011""","M",220,217,98.6,217,50,23.0,24,11.1,38,17.5,86,39.6,19,8.8,105,48.4,241
"Hartford School District","=""0640011""","F",760,751,98.8,750,292,38.9,125,16.7,129,17.2,174,23.2,30,4.0,204,27.2,219
"Hartford School District","=""0640011""","M",813,802,98.6,802,306,38.2,105,13.1,162,20.2,173,21.6,56,7.0,229,28.6,222
"Hartland School District","=""0650011""","F",8,8,"*",8,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Hartland School District","=""0650011""","M",8,8,"*",8,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Highville Charter School District","=""2860013""","F",21,21,100.0,21,"*","*",0,0.0,"*","*","*","*",0,0.0,"*","*",229
"Highville Charter School District","=""2860013""","M",16,16,"*",16,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Integrated Day Charter School District","=""2640013""","F",12,12,"*",12,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Integrated Day Charter School District","=""2640013""","M",23,23,100.0,23,"*","*","*","*","*","*","*","*","*","*","*","*",246
"Interdistrict School for Arts and Comm District","=""2650013""","F",46,45,97.8,45,9,20.0,10,22.2,"*","*",19,42.2,"*","*","*","*",239
"Interdistrict School for Arts and Comm District","=""2650013""","M",41,41,100.0,41,14,34.1,6,14.6,"*","*",12,29.3,"*","*","*","*",226
"Jumoke Academy District","=""2610013""","F",50,50,100.0,50,12,24.0,"*","*",13,26.0,17,34.0,"*","*","*","*",236
"Jumoke Academy District","=""2610013""","M",36,35,97.2,35,9,25.7,"*","*",9,25.7,10,28.6,"*","*","*","*",229
"Kent School District","=""0680011""","F",8,8,"*",8,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Kent School District","=""0680011""","M",12,12,"*",12,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Killingly School District","=""0690011""","F",89,86,96.6,86,8,9.3,"*","*",21,24.4,44,51.2,"*","*","*","*",249
"Killingly School District","=""0690011""","M",91,88,96.7,88,10,11.4,"*","*",18,20.5,48,54.5,"*","*","*","*",256
"Learn","=""2450014""","F",30,30,100.0,30,"*","*","*","*","*","*","*","*","*","*","*","*",215
"Learn","=""2450014""","M",20,19,95.0,19,"*","*","*","*","*","*","*","*","*","*","*","*","*"
