"CMT/CAPT Science Assessment, 2015-16"
"All Districts, All Grades, Free/Reduced Price Meal Eligibility (3-level)"

"",,,,,,,,"Below Basic",,"Basic",,"Proficient",,"Goal",,"Advanced",,"At or Above Goal",,""
"District","District Code","Grade","Free/Reduced Price Meal Eligibility (3-level)","Total Numberof Students","Total NumberTested","ParticipationRate","Total Number with Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","Count","%","AverageSS"
"Achievement First Hartford Academy Inc. District","=""2880013""",05,"F",146,145,99.3,145,42,29.0,36,24.8,40,27.6,"*","*","*","*",27,18.6,207
"Achievement First Hartford Academy Inc. District","=""2880013""",08,"F",65,64,98.5,64,16,25.0,9,14.1,13,20.3,20,31.3,6,9.4,26,40.6,232
"Achievement First Hartford Academy Inc. District","=""2880013""",10,"F",42,39,92.9,39,10,25.6,9,23.1,13,33.3,"*","*","*","*",7,17.9,220
"Amistad Academy District","=""2790013""",05,"F",70,70,100.0,70,"*","*",22,31.4,18,25.7,15,21.4,"*","*","*","*",216
"Amistad Academy District","=""2790013""",05,"N",14,14,"*",14,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""",05,"R",11,11,"*",11,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""",08,"F",51,51,100.0,51,13,25.5,"*","*",18,35.3,12,23.5,"*","*","*","*",227
"Amistad Academy District","=""2790013""",08,"N",18,18,"*",18,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""",08,"R",13,13,"*",13,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""",10,"F",39,39,100.0,39,10,25.6,14,35.9,13,33.3,"*","*","*","*","*","*",211
"Amistad Academy District","=""2790013""",10,"N",12,12,"*",12,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""",10,"R",7,7,"*",7,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""",05,"F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""",05,"N","*","*","*","*",0,0.0,"*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""",05,"F",106,106,100.0,106,18,17.0,26,24.5,41,38.7,"*","*","*","*","*","*",220
"Ansonia School District","=""0020011""",05,"N",59,59,100.0,59,"*","*","*","*","*","*",26,44.1,"*","*","*","*",235
"Ansonia School District","=""0020011""",05,"R",20,19,95.0,19,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""",08,"F",115,115,100.0,115,40,34.8,22,19.1,33,28.7,20,17.4,0,0.0,20,17.4,215
"Ansonia School District","=""0020011""",08,"N",49,49,100.0,49,"*","*","*","*","*","*",18,36.7,"*","*","*","*",236
"Ansonia School District","=""0020011""",08,"R",23,23,100.0,23,"*","*","*","*","*","*",8,34.8,0,0.0,8,34.8,227
"Ansonia School District","=""0020011""",10,"F",99,96,97.0,96,37,38.5,19,19.8,31,32.3,"*","*","*","*","*","*",207
