"CMT/CAPT Science Assessment, 2015-16"
"All Districts, All Grades Combined, English Learner Status (EL)"

"",,,,,,,"Below Basic",,"Basic",,"Proficient",,"Goal",,"Advanced",,"At or Above Goal",
"District","District Code","English Learner Status (EL)","Total Numberof Students","Total NumberTested","ParticipationRate","Total Number with Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","Count","%"
"Achievement First Hartford Academy Inc. District","=""2880013""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Achievement First Hartford Academy Inc. District","=""2880013""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""","N",224,224,100.0,224,"*","*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""","Y",11,11,"*",11,"*","*","*","*","*","*","*","*","*","*","*","*"
"Andover School District","=""0010011""","N",44,43,97.7,43,0,0.0,"*","*","*","*",20,46.5,19,44.2,39,90.7
"Ansonia School District","=""0020011""","N",526,520,98.9,519,"*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","Y",11,11,"*",11,"*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","N",431,417,96.8,413,"*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Y",14,14,"*",14,"*","*","*","*","*","*","*","*","*","*","*","*"
"Ashford School District","=""0030011""","N",75,75,100.0,75,"*","*","*","*",8,10.7,43,57.3,17,22.7,60,80.0
"Avon School District","=""0040011""","N",822,817,99.4,816,"*","*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","Y",13,13,"*",13,"*","*","*","*","*","*","*","*","*","*","*","*"
"Barkhamsted School District","=""0050011""","N",47,45,95.7,45,"*","*","*","*",7,15.6,25,55.6,8,17.8,33,73.3
"Berlin School District","=""0070011""","N",672,668,99.4,668,"*","*","*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","Y",8,8,"*",8,"*","*","*","*","*","*","*","*","*","*","*","*"
"Bethany School District","=""0080011""","N","*","*","*","*",0,0.0,"*","*","*","*","*","*","*","*","*","*"
"Bethany School District","=""0080011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bethel School District","=""0090011""","N",610,605,99.2,605,"*","*","*","*","*","*","*","*","*","*","*","*"
"Bethel School District","=""0090011""","Y",14,14,"*",14,"*","*","*","*","*","*","*","*","*","*","*","*"
"Bloomfield School District","=""0110011""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bloomfield School District","=""0110011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bolton School District","=""0120011""","N",197,194,98.5,194,13,6.7,6,3.1,41,21.1,83,42.8,51,26.3,134,69.1
"Bozrah School District","=""0130011""","N",51,50,98.0,50,0,0.0,0,0.0,6,12.0,32,64.0,12,24.0,44,88.0
"Branford School District","=""0140011""","N",672,660,98.2,660,"*","*","*","*","*","*","*","*","*","*","*","*"
"Branford School District","=""0140011""","Y",11,10,"*",10,"*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport Achievement First District","=""2850013""","N",196,195,99.5,194,48,24.7,47,24.2,"*","*","*","*",8,4.1,"*","*"
"Bridgeport Achievement First District","=""2850013""","Y",28,27,96.4,27,7,25.9,12,44.4,"*","*","*","*",0,0.0,"*","*"
"Bridgeport School District","=""0150011""","N",3894,3689,94.7,3647,1145,31.4,807,22.1,898,24.6,643,17.6,154,4.2,797,21.9
"Bridgeport School District","=""0150011""","Y",593,567,95.6,552,385,69.7,104,18.8,48,8.7,15,2.7,0,0.0,15,2.7
"Bristol School District","=""0170011""","N",1711,1681,98.2,1681,"*","*",168,10.0,415,24.7,"*","*",287,17.1,"*","*"
"Bristol School District","=""0170011""","Y",60,60,100.0,60,23,38.3,"*","*",18,30.0,"*","*",0,0.0,"*","*"
"Brookfield School District","=""0180011""","N",603,594,98.5,593,"*","*","*","*","*","*","*","*","*","*","*","*"
"Brookfield School District","=""0180011""","Y",13,13,"*",13,"*","*","*","*","*","*","*","*","*","*","*","*"
"Brooklyn School District","=""0190011""","N",211,209,99.1,209,6,2.9,11,5.3,27,12.9,111,53.1,54,25.8,165,78.9
"Canaan School District","=""0210011""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Canaan School District","=""0210011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Canterbury School District","=""0220011""","N",116,115,99.1,115,"*","*","*","*",20,17.4,70,60.9,10,8.7,80,69.6
"Canton School District","=""0230011""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Canton School District","=""0230011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Capital Preparatory Harbor School Inc. District","=""2970013""","N",76,75,98.7,75,23,30.7,23,30.7,17,22.7,12,16.0,0,0.0,12,16.0
